dataset,llm,n_pairs,wrong_zs_?A1=A2,corrected_?A1=A2,pct_corrected_?A1=A2,wrong_zs_?A1=A3+A4,corrected_?A1=A3+A4,pct_corrected_?A1=A3+A4,wrong_zs_?A1>A3,corrected_?A1>A3,pct_corrected_?A1>A3,wrong_zs_?A1>A4,corrected_?A1>A4,pct_corrected_?A1>A4,wrong_zs_?A3∅A4,corrected_?A3∅A4,pct_corrected_?A3∅A4,wrong_zs_?A4=A1|3,corrected_?A4=A1|3,pct_corrected_?A4=A1|3,wrong_zs_?A1=A1*,corrected_?A1=A1*,pct_corrected_?A1=A1*,wrong_zs_?A1=A1**,corrected_?A1=A1**,pct_corrected_?A1=A1**,wrong_zs_?A1*=A1**,corrected_?A1*=A1**,pct_corrected_?A1*=A1**
LC-QuAD,deepseek-chat,150,105,72,48.0,127,83,55.33,85,69,46.0,103,92,61.33,76,67,44.67,146,84,56.0,105,37,25.0,0,0,,0,0,
LC-QuAD,deepseek-reasoner,150,129,95,63.33,134,96,64.0,93,79,52.67,110,102,68.0,22,20,13.33,139,95,63.33,0,0,,0,0,,0,0,
LC-QuAD,gemini-2.0-flash,150,114,86,57.33,138,102,68.0,97,79,52.67,108,98,65.33,54,53,35.33,145,104,69.33,40,27,18.24,0,0,,0,0,
LC-QuAD,gemini-2.5-flash,150,109,99,66.0,125,110,73.33,80,71,47.33,108,97,64.67,23,21,14.0,127,108,72.0,59,36,24.32,0,0,,0,0,
LC-QuAD,gemini-2.5-pro,150,114,95,63.33,124,102,68.0,89,73,48.67,99,94,62.67,23,22,14.67,129,105,70.0,82,31,20.95,0,0,,0,0,
LC-QuAD,gpt-4.1-2025-04-14,150,115,79,52.67,137,101,67.33,92,79,52.67,113,104,69.33,49,44,29.33,142,101,67.33,105,10,6.76,0,0,,0,0,
LC-QuAD,gpt-4.1-mini-2025-04-14,150,122,83,55.33,139,93,62.0,94,82,54.67,113,102,68.0,49,39,26.0,146,94,62.67,121,14,9.46,0,0,,0,0,
LC-QuAD,gpt-4.1-nano-2025-04-14,150,123,41,27.33,132,23,15.33,97,45,30.0,109,56,37.33,49,30,20.0,144,27,18.0,118,9,6.08,0,0,,0,0,
LC-QuAD,gpt-4o,150,85,60,40.0,111,80,53.33,72,62,41.33,81,75,50.0,70,29,19.33,148,63,42.0,95,31,20.95,0,0,,0,0,
LC-QuAD,gpt-5,150,65,57,38.0,105,77,51.33,67,56,37.33,69,65,43.33,33,16,10.67,133,80,53.33,62,17,11.49,0,0,,0,0,
LC-QuAD,gpt-5-mini,150,53,40,26.67,79,46,30.67,53,45,30.0,50,44,29.33,67,26,17.33,136,49,32.67,44,15,10.14,0,0,,0,0,
LC-QuAD,gpt-5-nano,150,58,41,27.33,85,57,38.0,56,38,25.33,58,54,36.0,64,29,19.33,136,53,35.33,65,25,16.89,0,0,,0,0,
LC-QuAD,gpt-oss:20b,150,125,53,35.33,133,76,50.67,108,81,54.0,107,98,65.33,23,17,11.33,140,73,48.67,121,11,7.43,0,0,,0,0,
LC-QuAD,grok-3-mini,150,109,93,62.0,121,104,69.33,84,77,51.33,98,95,63.33,23,20,13.33,126,98,65.33,0,0,,0,0,,0,0,
LC-QuAD,llama3.1:70b,150,133,75,50.0,142,60,40.0,113,74,49.33,122,96,64.0,41,33,22.0,149,61,40.67,0,0,,0,0,,0,0,
LC-QuAD,llama3.1:8b,150,148,11,7.33,150,1,0.67,149,13,8.67,150,11,7.33,14,9,6.0,150,0,0.0,146,0,0.0,0,0,,0,0,
LC-QuAD,mistral-small:24b,148,89,55,37.16,113,58,39.19,79,57,38.51,85,77,52.03,72,70,47.3,148,77,52.03,72,21,14.19,0,0,,0,0,
LC-QuAD,o3,148,103,61,41.22,126,92,62.16,77,68,45.95,107,105,70.95,14,12,8.11,134,94,63.51,111,17,11.49,0,0,,0,0,
qawiki,deepseek-chat,150,119,90,60.0,128,87,58.0,88,75,50.0,95,89,59.33,57,55,36.67,141,96,64.0,120,32,21.62,0,0,,0,0,
qawiki,deepseek-reasoner,150,131,73,48.67,138,67,44.67,107,68,45.33,120,97,64.67,27,24,16.0,139,62,41.33,129,6,4.05,0,0,,0,0,
qawiki,gemini-2.0-flash,150,114,79,52.67,131,80,53.33,97,75,50.0,94,83,55.33,52,50,33.33,144,89,59.33,98,64,43.24,0,0,,0,0,
qawiki,gemini-2.5-flash,150,110,93,62.0,117,100,66.67,83,68,45.33,98,94,62.67,24,21,14.0,123,96,64.0,109,68,45.95,0,0,,0,0,
qawiki,gemini-2.5-pro,150,115,83,55.33,128,72,48.0,103,71,47.33,107,90,60.0,32,32,21.33,129,70,46.67,111,41,27.7,0,0,,0,0,
qawiki,gpt-4.1-2025-04-14,150,108,75,50.0,136,99,66.0,90,74,49.33,100,93,62.0,56,52,34.67,141,92,61.33,126,52,35.14,0,0,,0,0,
qawiki,gpt-4.1-mini-2025-04-14,150,111,76,50.67,133,87,58.0,83,63,42.0,97,95,63.33,66,61,40.67,144,85,56.67,127,39,26.35,0,0,,0,0,
qawiki,gpt-4.1-nano-2025-04-14,150,115,46,30.67,136,20,13.33,87,40,26.67,98,37,24.67,54,30,20.0,147,18,12.0,125,52,35.14,0,0,,0,0,
qawiki,gpt-4o,150,87,66,44.0,102,71,47.33,77,67,44.67,79,70,46.67,58,55,36.67,142,104,69.33,99,33,22.3,0,0,,0,0,
qawiki,gpt-5,150,48,38,25.33,64,51,34.0,40,34,22.67,39,38,25.33,63,20,13.33,122,50,33.33,42,12,8.11,0,0,,0,0,
qawiki,gpt-5-mini,150,42,29,19.33,61,44,29.33,41,36,24.0,37,34,22.67,72,38,25.33,132,66,44.0,40,13,8.78,0,0,,0,0,
qawiki,gpt-5-nano,150,66,36,24.0,79,43,28.67,52,33,22.0,46,42,28.0,61,25,16.67,133,49,32.67,61,20,13.51,0,0,,0,0,
qawiki,grok-3-mini,150,103,84,56.0,115,86,57.33,79,69,46.0,92,90,60.0,15,13,8.67,122,85,56.67,0,0,,0,0,,0,0,
qawiki,llama3.1:70b,150,123,63,42.0,142,64,42.67,123,77,51.33,120,91,60.67,40,31,20.67,148,60,40.0,0,0,,0,0,,0,0,
qawiki,llama3.1:8b,150,149,14,9.33,149,3,2.0,143,19,12.67,149,18,12.0,19,14,9.33,150,1,0.67,0,0,,0,0,,0,0,
qawiki,mistral-small:24b,148,79,54,36.49,106,43,29.05,77,49,33.11,74,66,44.59,88,86,58.11,148,69,46.62,0,0,,0,0,,0,0,
qawiki,o3,148,107,65,43.92,124,85,57.43,83,68,45.95,105,92,62.16,31,30,20.27,131,87,58.78,108,26,17.57,0,0,,0,0,
spinach,deepseek-chat,150,101,78,52.0,128,93,62.0,81,65,43.33,84,78,52.0,65,63,42.0,138,101,67.33,106,30,20.83,0,0,,0,0,
spinach,deepseek-reasoner,150,121,73,48.67,132,66,44.0,88,56,37.33,106,90,60.0,22,20,13.33,134,63,42.0,113,13,9.03,0,0,,0,0,
spinach,gemini-2.0-flash,150,90,61,40.67,135,102,68.0,86,74,49.33,102,91,60.67,51,50,33.33,145,110,73.33,74,52,36.11,0,0,,0,0,
spinach,gemini-2.5-flash,150,100,84,56.0,112,93,62.0,81,64,42.67,78,74,49.33,27,27,18.0,116,92,61.33,93,50,34.72,0,0,,0,0,
spinach,gemini-2.5-pro,150,102,75,50.0,117,90,60.0,87,63,42.0,85,81,54.0,27,26,17.33,121,92,61.33,96,48,33.33,0,0,,0,0,
spinach,gpt-4.1-2025-04-14,150,79,67,44.67,119,85,56.67,74,68,45.33,86,78,52.0,57,57,38.0,131,97,64.67,101,55,38.19,0,0,,0,0,
spinach,gpt-4.1-mini-2025-04-14,150,85,66,44.0,121,86,57.33,67,54,36.0,90,88,58.67,75,73,48.67,139,103,68.67,114,53,36.81,0,0,,0,0,
spinach,gpt-4.1-nano-2025-04-14,150,100,76,50.67,128,54,36.0,69,38,25.33,87,60,40.0,63,34,22.67,144,43,28.67,83,13,12.38,0,0,,0,0,
spinach,gpt-4o,150,68,64,42.67,108,81,54.0,64,57,38.0,70,66,44.0,50,46,30.67,136,103,68.67,90,41,28.47,0,0,,0,0,
spinach,gpt-5,150,54,46,30.67,81,59,39.33,49,41,27.33,49,46,30.67,43,13,8.67,116,60,40.0,51,23,15.97,0,0,,0,0,
spinach,gpt-5-mini,150,47,34,22.67,75,46,30.67,53,43,28.67,44,36,24.0,58,26,17.33,128,62,41.33,48,22,15.28,0,0,,0,0,
spinach,gpt-5-nano,150,56,38,25.33,86,54,36.0,60,41,27.33,55,54,36.0,48,26,17.33,123,59,39.33,55,18,12.5,0,0,,0,0,
spinach,grok-3-mini,150,100,85,56.67,109,87,58.0,67,56,37.33,79,76,50.67,18,18,12.0,110,86,57.33,0,0,,0,0,,0,0,
spinach,llama3.1:70b,150,116,59,39.33,137,72,48.0,102,64,42.67,111,89,59.33,40,38,25.33,143,76,50.67,0,0,,0,0,,0,0,
spinach,llama3.1:8b,150,147,16,10.67,150,6,4.0,145,25,16.67,145,19,12.67,31,14,9.33,150,4,2.67,0,0,,0,0,,0,0,
spinach,mistral-small:24b,144,73,55,38.19,105,48,33.33,73,48,33.33,79,68,47.22,60,57,39.58,139,65,45.14,0,0,,0,0,,0,0,
spinach,o3,144,84,62,43.06,95,65,45.14,60,53,36.81,67,61,42.36,13,13,9.03,99,66,45.83,98,27,18.75,0,0,,0,0,
synthetic,deepseek-chat,150,80,65,43.33,118,97,64.67,73,65,43.33,77,76,50.67,66,65,43.33,131,106,70.67,98,51,34.0,0,0,,0,0,
synthetic,deepseek-reasoner,150,107,74,49.33,115,70,46.67,71,50,33.33,83,69,46.0,37,33,22.0,123,72,48.0,3,1,25.0,0,0,,0,0,
synthetic,gemini-2.0-flash,150,86,69,46.0,123,101,67.33,71,56,37.33,84,80,53.33,67,66,44.0,136,111,74.0,59,41,27.33,0,0,,0,0,
synthetic,gemini-2.5-flash,150,80,69,46.0,98,85,56.67,59,52,34.67,67,62,41.33,19,17,11.33,103,88,58.67,79,53,35.33,0,0,,0,0,
synthetic,gemini-2.5-pro,150,83,53,35.33,97,75,50.0,59,44,29.33,76,67,44.67,29,28,18.67,104,80,53.33,86,24,16.0,0,0,,0,0,
synthetic,gpt-4.1-2025-04-14,150,60,48,32.0,109,91,60.67,45,42,28.0,69,64,42.67,58,55,36.67,125,103,68.67,95,50,33.33,0,0,,0,0,
synthetic,gpt-4.1-mini-2025-04-14,150,80,53,35.33,123,95,63.33,67,57,38.0,70,67,44.67,72,59,39.33,138,102,68.0,101,49,32.67,0,0,,0,0,
synthetic,gpt-4.1-nano-2025-04-14,150,95,42,28.0,133,49,32.67,73,41,27.33,83,56,37.33,62,32,21.33,141,29,19.33,109,38,25.33,0,0,,0,0,
synthetic,gpt-4o,150,89,66,44.0,126,91,60.67,67,61,40.67,88,83,55.33,45,45,30.0,137,102,68.0,82,30,20.0,0,0,,0,0,
synthetic,gpt-5,150,67,50,33.33,91,78,52.0,59,56,37.33,53,52,34.67,20,15,10.0,99,75,50.0,73,20,13.33,0,0,,0,0,
synthetic,gpt-5-mini,150,66,44,29.33,98,69,46.0,70,57,38.0,60,56,37.33,34,18,12.0,118,68,45.33,61,22,14.67,0,0,,0,0,
synthetic,gpt-5-nano,150,66,54,36.0,88,60,40.0,48,32,21.33,62,60,40.0,21,13,8.67,104,61,40.67,67,21,14.0,0,0,,0,0,
synthetic,gpt-oss:20b,150,109,62,41.33,117,73,48.67,75,52,34.67,90,79,52.67,31,31,20.67,124,78,52.0,0,0,,0,0,,0,0,
