QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	0.7142857142857143	0	0	1
2	1.0	0	1	1
3	1.0	0	1	1
4	0.9074074074074074	0	1	1
5	1.0	0	1	1
6	0.6410256410256411	0	1	1
7	0.0	0	0	1
8	1.0	0	1	1
9	0.6666666666666666	0	1	1
10	1.0	0	1	0
11	0.8235294117647058	0	0	0
12	0.7272727272727273	0	0	1
13	0.8695652173913043	0	0	0
14	0.5769230769230769	0	0	0
15	0.2916666666666667	0	0	0
16	0.8571428571428571	0	1	1
17	0.6923076923076923	0	1	1
18	1.0	0	1	1
19	0.8771929824561403	0	0	0
20	0.6666666666666666	0	0	1
21	0.7142857142857143	0	1	1
22	0.6111111111111112	0	0	1
23	0.44680851063829785	0	0	0
24	0.9	0	1	1
25	0.8	0	1	0
26	0.9411764705882353	0	0	0
27	1.0	0	1	1
28	0.6666666666666666	0	1	1
29	0.3333333333333333	0	1	1
30	1.0	0	1	1
31	0.0	0	0	1
32	1.0	0	1	1
33	0.7555555555555555	0	0	1
34	1.0	0	1	0
35	0.9473684210526315	0	1	1
36	1.0	0	1	1
37	0.8333333333333334	0	1	1
38	0.7058823529411765	0	1	1
39	0.625	0	1	1
40	0.47058823529411764	0	0	1
41	0.2	0	1	0
42	1.0	0	1	1
43	0.03759398496240601	0	0	1
44	0.8085106382978723	0	0	1
45	0.8	0	1	1
46	1.0	0	1	1
47	1.0	0	1	0
48	1.0	0	1	1
49	1.0	0	1	0
50	1.0	0	1	1
51	1.0	0	1	1
52	0.875	0	1	1
53	0.8679245283018868	0	0	0
54	1.0	0	1	1
55	1.0	0	1	1
56	0.25	0	0	1
57	0.0	0	0	1
58	1.0	0	1	1
59	0.0	0	0	0
60	0.8	0	1	1
61	1.0	0	1	1
62	0.9310344827586207	0	1	1
63	0.47058823529411764	0	0	1
64	0.0	0	0	0
65	0.06666666666666667	0	1	1
66	0.8	0	1	0
67	1.0	0	1	1
68	0.4	0	0	1
69	1.0	0	1	1
70	0.36363636363636365	0	1	1
71	0.8666666666666667	0	1	1
72	1.0	0	1	1
73	1.0	0	1	0
74	0.5	0	1	1
75	1.0	0	1	1
76	0.7272727272727273	0	1	1
77	0.5	0	0	1
78	1.0	0	1	1
79	0.5333333333333333	0	0	1
80	0.5714285714285714	0	1	1
81	0.8780487804878049	0	0	1
82	1.0	0	1	1
83	0.45	0	0	1
84	0.4444444444444444	0	0	1
85	0.41025641025641024	0	0	1
86	1.0	0	1	1
87	0.6037735849056604	0	1	0
88	0.5	0	1	1
89	0.8947368421052632	0	1	1
90	0.0	0	0	0
91	1.0	0	1	1
92	0.0	0	0	1
93	0.25	0	0	1
94	0.8	0	1	1
95	0.95	0	1	1
96	0.0	0	0	1
97	0.07692307692307693	0	0	1
98	0.5	0	1	1
99	0.75	0	1	1
100	0.875	0	0	0
101	1.0	0	1	1
102	0.6956521739130435	0	1	1
103	1.0	0	1	1
104	0.5	0	0	1
105	0.125	0	0	1
106	0.7333333333333333	0	1	1
107	0.3409090909090909	0	0	1
108	0.25	0	0	1
109	0.21428571428571427	0	0	1
110	1.0	0	1	1
111	0.9333333333333333	0	1	0
112	0.8571428571428571	0	1	1
113	0.2	0	0	1
114	0.45454545454545453	0	0	0
115	1.0	0	1	1
116	0.9056603773584906	0	1	0
117	0.5714285714285714	0	0	1
118	0.44	0	0	0
119	0.8333333333333334	0	1	1
120	0.9047619047619048	0	0	0
121	0.30434782608695654	0	0	0
122	1.0	0	1	1
123	0.8571428571428571	0	0	1
124	0.5	0	1	1
125	0.5714285714285714	0	0	1
126	1.0	0	1	0
127	0.8	0	1	0
128	0.9	0	1	1
129	1.0	0	1	1
130	0.625	0	1	0
131	0.0	0	0	0
132	0.2	0	1	1
133	0.9090909090909091	0	1	0
134	0.8333333333333334	0	1	0
135	1.0	0	1	1
136	0.6923076923076923	0	1	0
137	1.0	0	1	1
138	0.9166666666666666	0	0	0
139	1.0	0	1	1
140	1.0	0	1	0
141	1.0	0	1	1
142	0.07142857142857142	0	0	1
143	0.6	0	0	1
144	0.11764705882352941	0	0	1
145	1.0	0	1	0
146	0.8333333333333334	0	1	1
147	1.0	0	1	0
148	0.0	0	0	0
149	0.5	0	0	0
