llm,set_pair,n_questions_with_partial_match,n_partial_match_pairs
deepseek-chat,A1×A2,96,795
deepseek-chat,A1×A3,83,322
deepseek-chat,A1×A4,92,436
deepseek-chat,A2×A3,86,322
deepseek-chat,A2×A4,91,479
deepseek-chat,A3×A4,49,155
deepseek-reasoner,A1×A2,96,466
deepseek-reasoner,A1×A3,91,365
deepseek-reasoner,A1×A4,100,478
deepseek-reasoner,A2×A3,99,379
deepseek-reasoner,A2×A4,101,509
deepseek-reasoner,A3×A4,37,94
gemini-2.0-flash,A1×A2,81,427
gemini-2.0-flash,A1×A3,60,172
gemini-2.0-flash,A1×A4,84,337
gemini-2.0-flash,A2×A3,59,162
gemini-2.0-flash,A2×A4,74,291
gemini-2.0-flash,A3×A4,30,58
gemini-2.5-flash,A1×A2,74,385
gemini-2.5-flash,A1×A3,63,177
gemini-2.5-flash,A1×A4,77,345
gemini-2.5-flash,A2×A3,63,170
gemini-2.5-flash,A2×A4,76,372
gemini-2.5-flash,A3×A4,27,47
gemini-2.5-pro,A1×A2,104,676
gemini-2.5-pro,A1×A3,88,401
gemini-2.5-pro,A1×A4,108,724
gemini-2.5-pro,A2×A3,94,444
gemini-2.5-pro,A2×A4,107,756
gemini-2.5-pro,A3×A4,34,81
gpt-4.1-2025-04-14,A1×A2,73,409
gpt-4.1-2025-04-14,A1×A3,81,254
gpt-4.1-2025-04-14,A1×A4,89,441
gpt-4.1-2025-04-14,A2×A3,85,271
gpt-4.1-2025-04-14,A2×A4,86,450
gpt-4.1-2025-04-14,A3×A4,31,93
gpt-4.1-mini-2025-04-14,A1×A2,69,320
gpt-4.1-mini-2025-04-14,A1×A3,68,191
gpt-4.1-mini-2025-04-14,A1×A4,76,278
gpt-4.1-mini-2025-04-14,A2×A3,69,204
gpt-4.1-mini-2025-04-14,A2×A4,79,297
gpt-4.1-mini-2025-04-14,A3×A4,40,88
gpt-4.1-nano-2025-04-14,A1×A2,64,254
gpt-4.1-nano-2025-04-14,A1×A3,56,150
gpt-4.1-nano-2025-04-14,A1×A4,62,212
gpt-4.1-nano-2025-04-14,A2×A3,64,160
gpt-4.1-nano-2025-04-14,A2×A4,61,203
gpt-4.1-nano-2025-04-14,A3×A4,39,76
gpt-4o,A1×A2,66,271
gpt-4o,A1×A3,60,151
gpt-4o,A1×A4,72,289
gpt-4o,A2×A3,64,154
gpt-4o,A2×A4,66,292
gpt-4o,A3×A4,23,69
gpt-5,A1×A2,72,441
gpt-5,A1×A3,65,249
gpt-5,A1×A4,84,452
gpt-5,A2×A3,65,253
gpt-5,A2×A4,88,453
gpt-5,A3×A4,24,43
gpt-5-mini,A1×A2,70,383
gpt-5-mini,A1×A3,51,200
gpt-5-mini,A1×A4,72,322
gpt-5-mini,A2×A3,53,190
gpt-5-mini,A2×A4,66,335
gpt-5-mini,A3×A4,15,38
gpt-5-nano,A1×A2,54,235
gpt-5-nano,A1×A3,52,189
gpt-5-nano,A1×A4,55,172
gpt-5-nano,A2×A3,53,178
gpt-5-nano,A2×A4,53,159
gpt-5-nano,A3×A4,18,29
gpt-oss:20b,A1×A2,77,361
gpt-oss:20b,A1×A3,63,197
gpt-oss:20b,A1×A4,81,331
gpt-oss:20b,A2×A3,66,260
gpt-oss:20b,A2×A4,76,353
gpt-oss:20b,A3×A4,29,66
grok-3-mini,A1×A2,78,839
grok-3-mini,A1×A3,58,203
grok-3-mini,A1×A4,86,408
grok-3-mini,A2×A3,62,201
grok-3-mini,A2×A4,87,400
grok-3-mini,A3×A4,20,47
llama3.1:70b,A1×A2,64,279
llama3.1:70b,A1×A3,63,140
llama3.1:70b,A1×A4,87,279
llama3.1:70b,A2×A3,65,148
llama3.1:70b,A2×A4,86,262
llama3.1:70b,A3×A4,28,40
llama3.1:8b,A1×A2,67,238
llama3.1:8b,A1×A3,52,105
llama3.1:8b,A1×A4,68,178
llama3.1:8b,A2×A3,51,109
llama3.1:8b,A2×A4,59,166
llama3.1:8b,A3×A4,28,56
mistral-small:24b,A1×A2,52,265
mistral-small:24b,A1×A3,45,97
mistral-small:24b,A1×A4,63,195
mistral-small:24b,A2×A3,43,90
mistral-small:24b,A2×A4,63,189
mistral-small:24b,A3×A4,28,50
o3,A1×A2,95,651
o3,A1×A3,89,433
o3,A1×A4,111,934
o3,A2×A3,94,435
o3,A2×A4,112,863
o3,A3×A4,30,75
