QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.3333333333333333	0	0	1
1	0.2	0	0	0
2	0.2619047619047619	0	1	1
3	0.050505050505050504	0	1	1
4	0.2	0	0	0
5	0.3383838383838384	0	0	0
6	1.0	0	1	0
7	0.3076923076923077	0	1	1
8	1.0	0	1	0
9	0.2857142857142857	0	0	1
10	0.9166666666666666	0	1	1
11	0.6	0	1	0
12	1.0	0	1	0
13	0.5	0	0	1
14	0.20588235294117646	0	1	0
15	0.0	0	0	1
16	0.16666666666666666	0	0	0
17	0.6666666666666666	0	1	0
18	0.8181818181818182	0	1	0
19	1.0	0	1	1
20	1.0	0	1	1
21	0.9	0	0	0
22	0.42105263157894735	0	0	1
23	0.5555555555555556	0	0	0
24	0.9285714285714286	0	1	0
25	0.25	0	0	0
26	1.0	0	1	1
27	0.5384615384615384	0	0	1
28	0.9545454545454546	0	1	0
29	0.7857142857142857	0	1	0
30	0.0	0	0	1
31	0.208955223880597	0	0	1
32	0.078125	0	0	1
33	0.9827586206896551	0	1	0
34	0.6666666666666666	0	1	0
35	0.5	0	1	0
36	0.75	0	1	0
37	0.8	0	1	1
38	0.020833333333333332	0	0	1
39	0.6666666666666666	0	1	1
40	0.32	0	1	0
41	0.3181818181818182	0	0	1
42	0.47619047619047616	0	0	0
43	0.5	0	1	1
44	0.1453287197231834	0	0	0
45	0.40425531914893614	0	1	1
46	0.6842105263157895	0	1	1
47	0.28611898016997167	0	0	1
48	0.4	0	0	1
49	0.0	0	0	1
50	1.0	0	1	1
51	0.4838709677419355	0	1	1
52	0.7857142857142857	0	1	1
53	0.7142857142857143	0	0	0
54	1.0	0	1	1
55	0.8571428571428571	0	1	0
56	1.0	0	1	1
57	0.3	0	0	0
58	0.8571428571428571	0	0	1
59	1.0	0	1	1
60	1.0	0	1	0
61	0.9523809523809523	0	1	0
62	0.5714285714285714	0	0	1
63	0.01991465149359886	0	0	1
64	0.8571428571428571	0	0	0
65	0.34375	0	0	0
66	1.0	0	1	0
67	0.08461538461538462	0	0	1
68	0.07142857142857142	0	0	1
69	0.5135135135135135	0	1	0
70	1.0	0	1	0
71	0.052083333333333336	0	1	0
72	0.16071428571428573	0	0	1
73	1.0	0	1	0
74	0.6785714285714286	0	1	1
75	0.75	0	1	1
76	0.5	0	0	1
77	0.3333333333333333	0	1	1
78	0.3	0	0	1
79	0.6666666666666666	0	0	0
80	0.6666666666666666	0	1	0
81	0.75	0	0	1
82	1.0	0	1	0
83	0.4666666666666667	0	0	0
84	0.8333333333333334	0	1	0
85	0.5813953488372093	0	0	1
86	0.5	0	1	1
87	0.7142857142857143	0	0	1
88	0.021638330757341576	0	0	0
89	0.2	0	0	0
90	0.4	0	0	1
91	0.19811320754716982	0	1	0
92	0.5714285714285714	0	0	0
93	0.001287001287001287	0	0	0
94	0.0	0	0	1
95	0.3333333333333333	0	1	1
96	1.0	0	1	1
97	0.0393646408839779	0	0	1
98	0.1875	0	0	0
99	1.0	0	1	0
100	0.0	0	1	1
101	0.0	1	1	1
102	0.15555555555555556	0	0	0
103	0.0	0	0	0
104	0.20496894409937888	0	1	0
105	0.0	0	0	0
106	0.23529411764705882	0	0	1
107	0.0851063829787234	0	1	1
108	0.14130434782608695	0	0	1
109	0.375	0	0	1
110	0.2727272727272727	0	0	1
111	0.2318840579710145	0	0	0
112	0.5	0	0	1
113	0.25	0	1	1
114	0.0	1	1	1
115	0.25	0	0	1
116	0.7272727272727273	0	0	0
117	0.75	0	1	1
118	0.8947368421052632	0	1	0
119	0.6666666666666666	0	1	1
120	0.06060606060606061	0	0	1
121	0.0	0	1	1
122	0.5897435897435898	0	0	1
123	0.1926605504587156	0	0	0
124	0.6521739130434783	0	1	0
125	0.09090909090909091	0	0	1
126	0.6	0	0	1
127	0.18181818181818182	0	0	1
128	0.0	0	0	1
129	0.15384615384615385	0	0	0
130	0.15789473684210525	0	0	1
131	0.4444444444444444	0	0	0
132	0.0	0	1	1
133	0.035555555555555556	0	0	1
134	0.6666666666666666	0	1	1
135	0.375	0	0	1
136	1.0	0	1	0
137	0.05319148936170213	0	1	1
138	0.14285714285714285	0	0	0
139	1.0	0	1	1
140	0.0	1	1	1
141	0.10465116279069768	0	0	0
142	0.047619047619047616	0	0	0
143	0.3333333333333333	0	0	1
144	0.45695364238410596	0	0	1
145	0.6666666666666666	0	0	1
146	0.0	0	0	0
147	0.14814814814814814	0	1	0
148	0.09333333333333334	0	0	1
149	0.07894736842105263	0	0	1
