QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	1.0	0	1	0
2	1.0	0	1	0
3	1.0	0	1	0
4	0.0	0	0	0
5	1.0	0	1	1
6	1.0	0	1	0
7	0.6666666666666666	0	1	1
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	1.0	0	1	0
12	0.23076923076923078	0	1	1
13	0.75	0	1	0
14	1.0	0	1	0
15	0.0	0	0	1
16	0.5925925925925926	0	0	0
17	0.3333333333333333	0	0	1
18	0.043478260869565216	0	0	1
19	0.75	0	0	1
20	1.0	0	1	1
21	0.9642857142857143	0	0	1
22	1.0	0	1	1
23	0.5714285714285714	0	0	1
24	0.5454545454545454	0	1	1
25	0.3548387096774194	0	0	1
26	0.75	0	1	1
27	1.0	0	1	1
28	0.4666666666666667	0	0	1
29	0.7777777777777778	0	1	1
30	0.375	0	0	1
31	0.75	0	1	1
32	1.0	0	1	1
33	0.5	0	0	1
34	1.0	0	1	1
35	1.0	0	1	1
36	1.0	0	1	0
37	0.7777777777777778	0	1	0
38	0.0	0	0	0
39	1.0	0	1	0
40	0.4117647058823529	0	0	1
41	0.16129032258064516	0	0	1
42	0.225	0	0	1
43	0.16666666666666666	0	0	1
44	0.5	0	1	1
45	0.4444444444444444	0	1	1
46	0.0	0	0	1
47	0.6666666666666666	0	1	1
48	0.6428571428571429	0	0	0
49	1.0	0	1	1
50	0.46153846153846156	0	0	0
51	0.5	0	0	1
52	0.3888888888888889	0	0	1
53	0.875	0	1	1
54	0.8181818181818182	0	1	0
55	1.0	0	1	0
56	1.0	0	1	0
57	0.2	0	1	1
58	0.0	0	0	1
59	0.7857142857142857	0	0	1
60	0.9285714285714286	0	1	1
61	0.0	0	0	1
62	1.0	0	1	0
63	0.1	0	0	1
64	0.0	0	0	1
65	0.11764705882352941	0	0	1
66	0.6	0	0	1
67	0.40540540540540543	0	0	0
68	0.6153846153846154	0	0	1
69	1.0	0	1	0
70	0.5681818181818182	0	0	0
71	0.9230769230769231	0	0	1
72	0.8461538461538461	0	1	1
73	0.08536585365853659	0	0	1
74	0.9047619047619048	0	1	1
75	0.8333333333333334	0	1	0
76	0.2878787878787879	0	0	0
77	0.5	0	1	1
78	0.6206896551724138	0	1	1
79	0.2	0	0	1
80	0.4246575342465753	0	0	1
81	0.9354838709677419	0	0	0
82	0.8571428571428571	0	1	1
83	1.0	0	1	1
84	1.0	0	1	1
85	0.4583333333333333	0	0	0
86	0.3333333333333333	0	0	1
87	0.75	0	1	1
88	0.4444444444444444	0	0	0
89	1.0	0	1	0
90	0.5	0	0	1
91	0.6923076923076923	0	0	1
92	0.18181818181818182	0	0	1
93	1.0	0	1	0
94	1.0	0	1	0
95	1.0	0	1	0
96	0.5714285714285714	0	0	1
97	1.0	0	1	0
98	1.0	0	1	0
99	0.3108108108108108	0	1	1
100	0.75	0	0	0
101	0.0	0	0	0
102	0.5555555555555556	0	1	1
103	0.6666666666666666	0	1	0
104	0.55	0	1	1
105	1.0	0	1	0
106	1.0	0	1	0
107	0.23529411764705882	0	0	1
108	0.07894736842105263	0	0	0
109	0.0	0	0	0
110	0.48	0	0	1
111	1.0	0	1	0
112	1.0	0	1	0
113	0.0	0	0	0
114	0.5666666666666667	0	0	0
115	0.375	0	0	1
116	1.0	0	1	1
117	0.9090909090909091	0	0	1
118	0.05555555555555555	0	0	1
119	0.34782608695652173	0	0	0
120	1.0	0	1	0
121	0.7777777777777778	0	1	1
122	1.0	0	1	0
123	0.045454545454545456	0	0	1
124	0.5	0	0	1
125	0.15789473684210525	0	0	1
126	0.16666666666666666	0	1	1
127	1.0	0	1	0
128	0.1791044776119403	0	0	1
129	1.0	0	1	0
130	0.14285714285714285	0	0	1
131	0.8	0	0	1
132	0.5	0	0	1
133	0.21212121212121213	0	0	0
134	0.65	0	1	0
135	0.17073170731707318	0	0	1
136	0.23529411764705882	0	0	1
137	0.21428571428571427	0	0	1
138	0.7777777777777778	0	1	1
139	0.3333333333333333	0	0	1
140	1.0	0	1	0
141	0.6666666666666666	0	0	1
142	1.0	0	1	1
143	1.0	0	1	0
144	1.0	0	1	0
145	0.75	0	0	1
146	0.5555555555555556	0	0	1
147	0.3	0	1	1
148	0.625	0	0	1
149	0.3333333333333333	0	1	1
