ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2)_x,p(A1=A3+A4)_x,p(A1>A3)_x,p(A1>A4)_x,p(A3∅A4)_x,p(A4=A1|3)_x,p(A1=A2)_y,p(A1=A3+A4)_y,p(A1>A3)_y,p(A1>A4)_y,p(A3∅A4)_y,p(A4=A1|3)_y
A,overall,classification,llama3.1:8b,0.1633,0.0833,0.0983,0.3383,0.6817,0.05,0.045,0.0367,0.0317,0.5603,0.5018,0.0974,0.3899,0.2944,0.253,0.2497,,,,,,0.0,0.0033,0.0,0.0,0.0378,0.2657,0.000825,,,,,,,,,,,,,,,,,0.0,0.0,0.9335,0.0,0.6679,0.0,0.0,0.0,0.9335,0.0,0.6679,0.0
B,overall,classification,gpt-oss:20b,0.6717,0.4833,0.3933,0.7317,0.8467,0.38,0.2717,0.2483,0.2633,0.7939,0.7677,0.1073,0.6099,0.4892,0.4829,0.4894,,,,,,0.1567,0.1183,0.1483,0.2067,0.2611,0.4872,0.1575,,,,,,,,,,,,,,,,,0.0,0.0,0.2877,0.0,0.1508,0.0,0.0,0.0,0.2877,0.0,0.1508,0.0
C,overall,classification,gpt-4.1-nano-2025-04-14,0.9733,0.565,0.6733,0.5667,0.3817,0.0,0.96,0.9583,0.955,0.9757,0.7272,0.6149,0.0017,0.9608,0.96,0.9558,,,,,,0.9833,0.9733,0.6717,0.565,0.9578,0.9589,0.798325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D,overall,classification,mistral-small:24b,0.845,0.565,0.4467,0.8067,0.7983,0.4233,0.3467,0.2517,0.28,0.9257,0.811,0.1774,0.6371,0.5922,0.5026,0.524,,,,,,0.1133,0.1217,0.1133,0.1083,0.2928,0.5396,0.11415,,,,,,,,,,,,,,,,,0.0,0.0,0.0768,0.0,0.0,0.0,0.0,0.0,0.0768,0.0,0.0,0.0
E,overall,classification,llama3.1:70b,0.8033,0.5733,0.3783,0.8633,0.935,0.5617,0.2033,0.1767,0.18,0.9071,0.8621,0.0295,0.812,0.4882,0.4549,0.4659,,,,,,0.0133,0.03,0.0183,0.0333,0.1867,0.4697,0.023725000000000003,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,overall,classification,gemini-2.0-flash,0.8817,0.8483,0.53,0.945,0.6433,0.5383,0.42,0.3867,0.3683,0.9384,0.9292,0.2782,0.6268,0.659,0.6005,0.5822,,,,,,0.155,0.1483,0.275,0.32,0.3917,0.6139,0.22457500000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5475,0.0,0.0,0.0,0.0,0.0,0.5475,0.0
G,overall,classification,gpt-4.1-mini-2025-04-14,0.8983,0.8633,0.4967,0.9483,0.7717,0.64,0.345,0.3383,0.365,0.9573,0.9482,0.2183,0.7241,0.5946,0.5772,0.6007,,,,,,0.1667,0.165,0.1583,0.2517,0.3494,0.5908,0.185425,,,,,,,,,,,,,,,,,0.0,0.0,0.0125,0.0,0.2672,0.0,0.0,0.0,0.0125,0.0,0.2672,0.0
H,overall,classification,gpt-4o,0.9733,0.9367,0.5233,0.9833,0.3633,0.3067,0.6,0.32,0.4233,0.5867,0.9801,0.6279,0.3508,0.4333,0.4147,0.5083,,,,,,0.5683,0.5733,0.6167,0.635,0.4478,0.4521,0.598325,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,overall,classification,gpt-4.1-2025-04-14,0.9183,0.87,0.575,0.975,0.87,0.7483,0.2983,0.2917,0.325,0.9754,0.9711,0.1174,0.8484,0.6209,0.6051,0.6229,,,,,,0.0517,0.0533,0.0933,0.1283,0.305,0.6163,0.08165,,,,,,,,,,,,,,,,,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0043,0.0,0.0,0.0
J,overall,classification,grok-3-mini,0.9083,0.7883,0.5767,0.9,0.8667,0.6683,0.3767,0.365,0.3717,0.9639,0.9366,0.1277,0.7869,0.6309,0.6203,0.6182,,,,,,0.1133,0.115,0.1433,0.175,0.3711,0.6231,0.13665,,,,,,,,,,,,,,,,,0.0,0.0,0.0121,0.0,0.9142,0.0,0.0,0.0,0.0121,0.0,0.9142,0.0
K,overall,classification,deepseek-chat,0.945,0.825,0.7467,0.9117,0.6733,0.5417,0.5033,0.48,0.4917,0.9722,0.9404,0.3101,0.6274,0.6937,0.6687,0.6839,,,,,,0.2167,0.2267,0.2983,0.3467,0.4917,0.6821,0.2721,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0024,0.0
L,overall,classification,gemini-2.5-flash,0.8983,0.93,0.5767,0.9683,0.9067,0.8483,0.33,0.3383,0.3267,0.9383,0.9607,0.0882,0.8392,0.6356,0.6168,0.6381,,,,,,0.0717,0.0667,0.1217,0.14,0.3317,0.6302,0.100025,,,,,,,,,,,,,,,,,0.0,0.0,0.0002,0.0,0.0989,0.0,0.0,0.0,0.0002,0.0,0.0989,0.0
