ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,classification,llama3.1:8b,0.1633,0.0833,0.0983,0.3383,0.6817,0.05,0.045,0.0367,0.0317,0.81,0.7833,,,0.8267,0.5603,0.5018,0.3899,0.2944,0.253,0.2497,0.0974,0.0,0.0033,0.0,0.0,0.0,0.0,0.0378,0.2657,0.0008,0.0,0.0,0.9335,0.0,0.6679,0.0
B,overall,classification,gpt-oss:20b,0.56,0.385,0.3033,0.5783,0.6733,0.36,0.165,0.1533,0.17,0.7183,0.5367,,,0.675,0.6823,0.5756,0.5244,0.3825,0.3879,0.3961,0.2806,0.1567,0.1183,0.1483,0.2067,0.1467,0.14,0.1628,0.3888,0.1575,0.0,0.0,0.2877,0.0,0.1508,0.0
C,overall,classification,gpt-4.1-nano-2025-04-14,0.0067,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.995,0.9967,,,1.0,0.0082,0.001,0.0,0.0,0.0,0.0,0.8966,0.9833,0.9733,0.6717,0.565,0.9767,0.975,0.0,0.0,0.7983,0.0,0.0,0.0,0.0,1.0,1.0
D,overall,classification,mistral-small:24b,0.7367,0.4767,0.4117,0.7017,0.68,0.4117,0.2867,0.235,0.265,0.9033,0.5867,,,0.59,0.8173,0.6394,0.5668,0.5322,0.4859,0.509,0.2958,0.1133,0.1217,0.1133,0.1083,0.085,0.025,0.2622,0.509,0.1142,0.0,0.0,0.0768,0.0,0.0,0.0
E,overall,classification,llama3.1:70b,0.7917,0.5683,0.3767,0.855,0.9,0.5583,0.2033,0.1767,0.18,0.8417,0.5983,,,0.5783,0.8954,0.8336,0.7978,0.4882,0.4549,0.4659,0.0645,0.0133,0.03,0.0183,0.0333,0.0017,0.0017,0.1867,0.4697,0.0237,0.0,0.0,0.0,0.0,0.0,0.0
F,overall,classification,gemini-2.0-flash,0.7367,0.5433,0.3917,0.6283,0.5717,0.4817,0.3183,0.2667,0.275,0.8983,0.655,,,0.7033,0.8017,0.6085,0.5779,0.5558,0.4796,0.4825,0.3597,0.155,0.1483,0.275,0.32,0.1267,0.25,0.2867,0.506,0.2246,0.0,0.0,0.0,0.0,0.5475,0.0
G,overall,classification,gpt-4.1-mini-2025-04-14,0.7417,0.6117,0.385,0.685,0.7117,0.6033,0.22,0.2033,0.2083,0.9267,0.6133,,,0.8717,0.8006,0.6645,0.6579,0.4696,0.4422,0.4441,0.2783,0.1667,0.165,0.1583,0.2517,0.1867,0.25,0.2105,0.452,0.1854,0.0,0.0,0.0125,0.0,0.2672,0.0
H,overall,classification,gpt-4o,0.4067,0.2833,0.2733,0.3183,0.3333,0.2717,0.1683,0.1617,0.2033,0.9867,0.8883,,,0.8733,0.4184,0.3031,0.2922,0.2799,0.2563,0.2883,0.6579,0.5683,0.5733,0.6167,0.635,0.5433,0.6217,0.1778,0.2748,0.5983,0.0,0.0,0.0,0.0,0.0,0.0
I,overall,classification,gpt-4.1-2025-04-14,0.8667,0.7517,0.525,0.86,0.8283,0.7417,0.2617,0.245,0.2717,0.9283,0.6267,,,0.8917,0.9238,0.8233,0.8232,0.5839,0.5585,0.5693,0.159,0.0517,0.0533,0.0933,0.1283,0.0567,0.11,0.2595,0.5706,0.0816,0.0,0.0,0.0043,0.0,0.0,0.0
J,overall,classification,grok-3-mini,0.7967,0.6583,0.4917,0.7583,0.7817,0.65,0.3,0.28,0.2933,0.9383,0.655,,,0.885,0.8522,0.7442,0.7307,0.5543,0.5353,0.5398,0.2127,0.1133,0.115,0.1433,0.175,0.0967,0.1183,0.2911,0.5431,0.1366,0.0,0.0,0.0121,0.0,0.9142,0.0
