usparql,Q1,Q2,Q3,Q4
no_usparql_9,Which museums exhibit The Scream by Edvard Munch?,In which museums can The Scream by Edvard Munch be seen?,Which museums exhibit The Scream by Edvard Munch in their permanent collection?,Which museums currently have The Scream by Edvard Munch on temporary display or loan?
no_usparql_13,Which television shows were created by John Cleese?,What television programs did John Cleese create?,Which television shows were created by John Cleese and first aired before the year 2000?,Which television shows were created by John Cleese and first aired in or after the year 2000?
no_usparql_17,Give me all communist countries.,List all the countries that are communist.,Give me all communist countries in Asia.,Give me all communist countries outside of Asia.
no_usparql_18,Which awards did Douglas Hofstadter win?,Which awards did Douglas Hofstadter win?,Which major awards did Douglas Hofstadter win?,Which other awards did Douglas Hofstadter win?
no_usparql_24,Through which countries does the Yenisei river flow?,Which countries does the Yenisei river pass through?,Through which countries does the Yenisei river flow in its upper course?,Through which countries does the Yenisei river flow in its lower course?
no_usparql_26,Which politicians were married to a German person?,Which politicians had a spouse who was German?,Which politicians were married to a German woman?,Which politicians were married to a German man?
no_usparql_29,Give me all soccer clubs in Spain.,Can you list every soccer club located in Spain?,Give me all soccer clubs in Spain that play in La Liga.,Give me all soccer clubs in Spain that do not play in La Liga.
no_usparql_32,Which telecommunications organizations are located in Belgium?,Which telecommunications organizations have their offices in Belgium?,Which telecommunications organizations are located in Belgium and headquartered in Brussels?,Which telecommunications organizations are located in Belgium but not headquartered in Brussels?
no_usparql_40,Which actors were born in Germany?,Who are the actors that have Germany as their birthplace?,Which actors were born in Germany and are currently living there?,Which actors were born in Germany but are currently living outside of Germany?
no_usparql_50,On which stock exchanges are Siemens AG shares traded?,In which stock exchanges can Siemens AG shares be found trading?,On which European stock exchanges are Siemens AG shares traded?,On which non-European stock exchanges are Siemens AG shares traded?
no_usparql_59,How many different individuals have served as president of Russia starting from 1990 onward?,"Since 1990, how many individuals have served as president of Russia?",How many different individuals became president of Russia after 1990 and served at any time before the year 2000?,How many different individuals became president of Russia after 1990 and served at any time from the year 2000 onward?
no_usparql_107,How many French kings died by unnatural causes?,How many French kings died by unnatural causes?,How many French kings were killed in battle?,How many French kings were assassinated or executed?
no_usparql_170,In which countries is the Himalayas located?,Which countries does the Himalayas span?,In which countries is the Himalayas located that are in South Asia?,In which countries is the Himalayas located that are outside South Asia?
no_usparql_207,On which video streaming services can I watch the Hunter x Hunter anime series?,On which video streaming services can I watch the Hunter x Hunter anime series?,On which video streaming services can I watch the Hunter x Hunter anime series with a subscription?,On which video streaming services can I watch the Hunter x Hunter anime series for free?
no_usparql_214,Through which countries does the Danube flow?,Which countries does the Danube flow through?,Through which countries does the Danube flow in Central Europe?,Through which countries does the Danube flow in Eastern Europe?
no_usparql_224,What are the spin-offs of Breaking Bad?,Which shows have been created as spin-offs of Breaking Bad?,What are the spin-offs of Breaking Bad that focus on main characters from the original series?,What are the spin-offs of Breaking Bad that explore new characters or storylines unrelated to the main cast?
no_usparql_228,"What are the German names of academic disciplines containing the term ""linguistik""?","Which academic fields include the term ""linguistik"" in their German names?","What are the German names of academic disciplines containing the exact term ""Sprachlinguistik""?","What are the German names of academic disciplines containing the term ""linguistik"" but not ""Sprachlinguistik""?"
no_usparql_230,What are the professions of John Lennon’s sons?,In which professions are John Lennon’s sons involved?,"What are the professions of Julian Lennon, John Lennon’s eldest son?","What are the professions of Sean Lennon, John Lennon’s younger son?"
no_usparql_231,What are the titles of the Star Wars series movies?,What are the names of the movies in the Star Wars series?,What are the titles of the Star Wars series movies released before 2000?,What are the titles of the Star Wars series movies released in or after 2000?
no_usparql_237,What instruments did Louis Armstrong play?,Which instruments were played by Louis Armstrong?,What brass instruments did Louis Armstrong play?,What non-brass instruments did Louis Armstrong play?
no_usparql_263,What notes make up a C major chord?,What notes make up a C major chord?,What notes make up a C major chord when played in root position?,What notes make up a C major chord when played in an inverted position?
no_usparql_269,Which creator of The OA also acted in it?,"Who, among the creators of The OA, also acted in the series?",Which creator of The OA also played a lead role in it?,Which creator of The OA also played a supporting role in it?
