QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.0	0	0
1	0.3333333333333333	0	0
2	0.0	0	0
3	0.0	0	0
4	1.0	0	1
5	1.0	0	1
6	1.0	0	1
7	0.5	0	0
8	0.0	1	1
9	0.0	1	1
10	1.0	0	1
11	0.0	0	0
12	0.0	0	0
13	0.0	0	0
14	1.0	0	1
15	0.0	1	1
16	0.0	1	1
17	0.0	1	1
18	0.0	0	0
19	0.375	0	0
20	0.0	1	1
21	0.0	1	1
22	1.0	0	1
23	0.0	0	0
24	0.6666666666666666	0	0
25	0.5	0	0
26	1.0	0	1
27	1.0	0	1
28	0.0	0	0
29	0.625	0	0
30	0.0	1	1
31	0.9259259259259259	0	0
32	0.0	0	0
33	0.0	0	0
34	0.0	0	0
35	1.0	0	1
36	0.14285714285714285	0	0
37	0.6	0	0
38	0.0	0	0
39	0.3333333333333333	0	0
40	0.0	0	0
41	0.0	1	1
42	0.0	1	1
43	0.3	0	0
44	0.0	0	0
45	0.0	0	0
46	0.13793103448275862	0	0
47	0.3333333333333333	0	0
48	1.0	0	1
49	1.0	0	1
