QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	1.0	0	1	0
2	0.08333333333333333	0	0	1
3	0.6	0	1	1
4	0.018518518518518517	0	0	1
5	0.0	0	0	1
6	0.25	0	0	1
7	1.0	0	1	0
8	0.5	0	0	1
9	1.0	0	1	0
10	0.0	0	0	0
11	0.25	0	0	1
12	0.2	0	0	1
13	1.0	0	1	0
14	0.11764705882352941	0	0	1
15	0.14285714285714285	0	0	1
16	0.38461538461538464	0	1	1
17	0.0	0	0	0
18	0.0	0	0	1
19	0.012987012987012988	0	0	1
20	0.0	0	0	0
21	0.0	0	0	0
22	1.0	0	1	0
23	0.0	0	0	0
24	1.0	0	1	0
25	0.75	0	0	1
26	1.0	0	1	0
27	1.0	0	1	0
28	1.0	0	1	0
29	0.6	0	1	1
30	0.07692307692307693	0	1	1
31	1.0	0	1	0
32	0.25	0	1	1
33	0.03333333333333333	0	0	1
34	0.375	0	0	1
35	0.0196078431372549	0	0	1
36	0.375	0	0	1
37	1.0	0	1	0
38	0.09090909090909091	0	0	1
39	0.25	0	0	1
40	0.25	0	0	1
41	1.0	0	1	0
42	0.2	0	0	1
43	1.0	0	1	0
44	0.0625	0	0	1
45	0.0	0	0	0
46	0.6	0	1	0
47	1.0	0	1	0
48	0.25	0	0	1
49	1.0	0	1	1
50	0.25	0	0	1
51	0.2	0	0	1
52	0.0625	0	0	1
53	0.06666666666666667	0	0	1
54	0.25	0	0	1
55	1.0	0	1	0
56	1.0	0	1	0
57	1.0	0	1	0
58	0.8	0	1	1
59	1.0	0	1	0
60	1.0	0	1	0
61	0.875	0	1	0
62	0.20408163265306123	0	0	1
63	0.2222222222222222	0	1	1
64	1.0	0	1	0
65	0.46153846153846156	0	0	1
66	1.0	0	1	0
67	0.11428571428571428	0	1	1
68	0.0	0	0	0
69	0.625	0	0	1
70	0.25	0	1	1
71	1.0	0	1	0
72	0.5	0	1	1
73	0.2	0	0	1
74	0.25	0	0	1
75	0.25	0	0	1
76	0.25	0	0	1
77	0.25	0	0	1
78	1.0	0	1	1
79	1.0	0	1	0
80	0.0	0	0	0
81	0.0	0	0	0
82	0.5925925925925926	0	0	1
83	0.05263157894736842	0	0	1
84	1.0	0	1	0
85	1.0	0	1	0
86	0.25	0	1	1
87	0.18032786885245902	0	0	1
88	1.0	0	1	0
89	1.0	0	1	0
90	1.0	0	1	0
91	0.5	0	1	1
92	0.3333333333333333	0	1	1
93	1.0	0	1	0
94	0.058823529411764705	0	0	1
95	0.09523809523809523	0	1	1
96	1.0	0	1	0
97	1.0	0	1	0
98	1.0	0	1	1
99	0.4	0	1	1
100	0.0	0	0	0
101	1.0	0	1	0
102	0.6	0	1	1
103	1.0	0	1	0
104	0.3333333333333333	0	0	1
105	1.0	0	1	0
106	0.0	0	0	0
107	1.0	0	1	0
108	1.0	0	1	0
109	1.0	0	1	0
110	0.0	0	0	0
111	0.9230769230769231	0	0	0
112	1.0	0	1	0
113	1.0	0	1	0
114	0.25	0	0	1
115	1.0	0	1	0
116	0.2857142857142857	0	0	1
117	0.75	0	0	0
118	1.0	0	1	0
119	0.6	0	1	0
120	0.35	0	0	1
121	1.0	0	1	0
122	0.04	0	0	1
123	0.16666666666666666	0	0	1
124	0.0	0	0	1
125	0.5	0	0	1
126	0.8333333333333334	0	0	1
127	0.0	0	0	1
128	0.9	0	1	1
129	1.0	0	1	0
130	0.49056603773584906	0	0	1
131	0.0	0	0	0
132	0.5	0	0	1
133	0.5111111111111111	0	0	0
134	1.0	0	1	0
135	0.0	0	0	1
136	1.0	0	1	0
137	0.4	0	1	1
138	1.0	0	1	0
139	0.0	0	0	1
140	0.0	0	0	1
141	0.0	0	0	1
142	1.0	0	1	0
143	1.0	0	1	0
144	0.17647058823529413	0	0	1
145	1.0	0	1	0
146	0.3333333333333333	0	0	1
147	0.8571428571428571	0	1	0
148	1.0	0	1	0
149	0.0	0	0	0
