QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.3333333333333333	0	1	1
1	0.5714285714285714	0	0	1
2	0.2094240837696335	0	0	0
3	0.21052631578947367	0	1	1
4	0.4	0	0	0
5	0.19130434782608696	0	0	1
6	1.0	0	1	0
7	0.0784313725490196	0	0	1
8	1.0	0	1	0
9	0.6153846153846154	0	0	0
10	0.9166666666666666	0	1	1
11	0.6666666666666666	0	1	1
12	0.0	0	0	0
13	0.0	0	0	1
14	0.5	0	0	1
15	1.0	0	1	0
16	0.16666666666666666	0	0	0
17	0.6666666666666666	0	1	1
18	0.6363636363636364	0	1	0
19	1.0	0	1	1
20	1.0	0	1	1
21	0.8181818181818182	0	0	0
22	0.47058823529411764	0	1	1
23	1.0	0	1	0
24	0.75	0	1	0
25	0.65	0	0	0
26	0.3333333333333333	0	1	1
27	0.04065040650406504	0	0	1
28	1.0	0	1	0
29	0.8275862068965517	0	0	0
30	0.0	0	1	1
31	0.5	0	0	1
32	0.3220338983050847	0	0	1
33	0.95	0	0	0
34	0.03508771929824561	0	1	1
35	1.0	0	1	1
36	0.6	0	1	0
37	1.0	0	1	1
38	0.02197802197802198	0	0	0
39	1.0	0	1	1
40	0.6785714285714286	0	1	1
41	0.3684210526315789	0	0	1
42	0.3380281690140845	0	0	0
43	0.6	0	1	1
44	0.07192982456140351	0	0	0
45	0.5535714285714286	0	0	0
46	0.7619047619047619	0	0	1
47	0.1880597014925373	0	0	1
48	0.75	0	1	0
49	0.0	0	1	1
50	1.0	0	1	1
51	0.0	0	0	1
52	0.8	0	0	1
53	0.8571428571428571	0	0	0
54	0.8	0	0	1
55	0.8571428571428571	0	1	0
56	1.0	0	1	1
57	0.3333333333333333	0	1	1
58	0.8571428571428571	0	0	1
59	0.7142857142857143	0	0	1
60	1.0	0	1	0
61	1.0	0	1	1
62	0.375	0	1	1
63	0.13	0	0	0
64	0.8333333333333334	0	0	0
65	0.13297872340425532	0	0	0
66	0.4	0	0	1
67	0.05	0	0	1
68	0.8	0	1	1
69	0.95	0	1	0
70	0.6666666666666666	0	1	0
71	0.75	0	1	0
72	0.0	1	1	1
73	0.75	0	1	0
74	0.09523809523809523	0	1	1
75	0.875	0	1	1
76	0.2	0	0	0
77	0.10526315789473684	0	0	1
78	0.6666666666666666	0	0	1
79	1.0	0	1	1
80	0.6666666666666666	0	1	0
81	0.7777777777777778	0	0	1
82	1.0	0	1	0
83	0.42857142857142855	0	0	1
84	1.0	0	1	0
85	0.027777777777777776	0	0	1
86	1.0	0	1	1
87	0.75	0	1	0
88	0.08171206225680934	0	0	0
89	1.0	0	1	1
90	0.5	0	0	1
91	0.14285714285714285	0	1	0
92	0.4444444444444444	0	0	0
93	0.0	1	1	1
94	0.0	0	0	1
95	0.06896551724137931	0	1	1
96	1.0	0	1	1
97	0.0	1	1	1
98	0.8571428571428571	0	0	0
99	0.8333333333333334	0	0	0
100	0.0	0	0	1
101	0.0	1	1	1
102	0.3877551020408163	0	0	0
103	0.2857142857142857	0	0	0
104	0.2740740740740741	0	0	0
105	0.1794871794871795	0	1	1
106	0.25	0	0	1
107	0.0	1	1	1
108	0.5333333333333333	0	1	1
109	0.5454545454545454	0	1	1
110	0.29545454545454547	0	0	1
111	0.0	0	0	1
112	0.25	0	1	1
113	0.22727272727272727	0	1	0
114	0.0	1	1	1
115	0.2857142857142857	0	0	1
116	0.85	0	0	0
117	0.8571428571428571	0	1	1
118	0.8974358974358975	0	0	0
119	0.5454545454545454	0	1	1
120	0.15384615384615385	0	0	1
121	0.125	0	1	1
122	0.0	0	0	1
123	0.36666666666666664	0	0	1
124	0.0625	0	0	1
125	0.0	0	0	1
126	0.6666666666666666	0	0	0
127	0.0	0	0	1
128	0.4782608695652174	0	0	1
129	0.23529411764705882	0	0	0
130	0.012844036697247707	0	0	1
131	0.8571428571428571	0	1	0
132	0.0	0	1	1
133	0.001394700139470014	0	0	1
134	1.0	0	1	0
135	0.08064516129032258	0	1	0
136	1.0	0	1	0
137	0.0	0	1	1
138	0.6363636363636364	0	1	1
139	1.0	0	1	1
140	0.0	1	1	1
141	0.189873417721519	0	0	1
142	0.0	1	1	1
143	0.0	0	1	1
144	0.4897959183673469	0	1	1
145	0.8888888888888888	0	1	0
146	0.6935483870967742	0	0	0
147	0.09900990099009901	0	1	0
148	0.09016393442622951	0	0	1
149	0.0	0	1	1
