ql1	ql2
¿Cuál es el taxón común más bajo de las cebras y las jirafas?	¿Cuál es el taxón común más específico de las jirafas y las cebras?
¿Qué parques hay en Perth?	¿Qué parques tiene Perth?
¿Quién interpretó a Once en *Stranger Things*?	En la serie *Stranger Things*, ¿quién actuó en el papel de Once?
¿Quién es el creador de *One-Punch Man*?	¿Quién creó la franquicia *One-Punch Man*?
¿Cuál es el país más grande de África por población?	¿Qué país africano es el más poblado?
¿Cuál es la capital de Irlanda?	¿Cuál es la capital irlandesa?
¿Quién escribió *The Hitchhiker's Guide to the Galaxy*?	¿Quién es el autor de *The Hitchhiker's Guide to the Galaxy*?
¿Está muerto Stan Lee?	¿Murió Stan Lee?
¿Qué edad tenía Stan Lee cuando murió?	¿Cuántos años tenía Stan Lee al morir?
¿Qué ciudad tiene más catedrales?	¿Qué ciudad contiene la mayor cantidad de catedrales?
¿De qué marca es un Corolla?	¿Qué fabricante de automóviles produce el Corolla?
¿Cuál es la montaña más alta de los Andes?	¿Cuál es el pico andino más elevado?
¿Qué presidente de EE. UU. tuvo más cónyuges?	¿Qué presidente estadounidense tuvo el mayor número de matrimonios?
¿En qué países se conduce por la izquierda?	¿En qué países el tráfico circula por la izquierda?
¿Cuándo se inventó el cubo de Rubik?	¿Cuándo se creó el cubo de Rubik?
¿Qué conferencias fueron organizadas por ganadores del Premio Turing?	¿Qué conferencias tuvieron como organizador a un laureado con el Premio Turing?
¿Qué videojuegos fueron creados por el desarrollador de *League of Legends*?	¿Qué videojuegos desarrollaron los desarrolladores de *League of Legends*?
¿Qué escritores hablan francés, árabe y japonés?	¿Qué autores hablan francés, árabe y japonés?
¿Qué pandemia duró más tiempo?	¿Qué pandemia se prolongó durante más tiempo?
¿Qué destilerías de whisky están radicadas en Irlanda?	¿Qué destilerías de whisky son irlandesas?
¿Cuántas regiones tiene Francia?	¿Cuántas regiones francesas hay?
¿Qué serie de HBO tiene la puntuación más alta en el Tomatometer?	¿Qué programa de HBO tiene la mejor puntuación en el Tomatometer?
¿Cuál es el código postal de Alberobello?	¿Cuál es el código postal de Alberobello?
¿Quién es el actual poseedor del récord mundial de los 200 metros masculinos?	¿Quién tiene el récord de los 200 metros lisos?
¿Qué idiomas hablaba Kofi Annan?	¿Qué lenguas conocía Kofi Annan?
¿Cuál es la especie de mamífero más rápida?	¿Qué especie de mamífero es la más veloz?
¿Qué profesión estudia las mariposas?	¿Cómo se llama un experto en mariposas?
¿Quién descubrió Plutón?	¿Quién halló Plutón?
¿Qué colecciones fuera de África exhiben los Bronces de Benín?	¿Qué lugares no africanos muestran Bronces de Benín?
¿Qué países limitan con Sudán del Sur?	¿Con qué países hace frontera Sudán del Sur?
¿Cuál es el lema del Data Link Institute?	¿Cuál es el eslogan del Data Link Institute?
¿Qué países están en el espacio Schengen?	¿Qué países forman parte del espacio Schengen?
¿Quién compuso el himno nacional de Tonga?	¿Quién escribió el himno de Tonga?
¿Quién es la persona más rica del mundo?	¿Quién tiene el patrimonio neto más alto?
¿Quién es el primer ministro de Corea del Sur?	¿Quién es el jefe de gobierno surcoreano?
¿Ha habido alguna presidenta en Chile?	¿Ha habido una mujer presidenta de Chile?
¿Qué causa las cataratas?	¿Qué provoca las cataratas?
¿Qué países tienen el islam como religión oficial?	¿En qué países el islam es una religión oficial?
¿Quiénes son los campeones actuales del Super Bowl?	¿Quién ganó el último Super Bowl?
¿Cuáles son los idiomas oficiales de Haití?	¿Qué idiomas hablan los haitianos?
¿Cuántos kilómetros hay en un año luz?	¿A cuántos kilómetros equivale un año luz?
¿A qué distancia está Bangkok de Hanói?	¿A qué distancia está Hanói de Bangkok?
¿Qué edad tenía Daniel Day-Lewis cuando ganó su primer Premio de la Academia?	¿Cuántos años tenía Daniel Day-Lewis al recibir su primer Óscar?
¿Qué músicos son de Suecia?	¿Qué músicos son suecos?
¿Cuántas películas ha dirigido Tarantino?	¿De cuántas películas ha sido director Quentin Tarantino?
¿Es Nueva York más grande que Pekín en población?	¿La ciudad de Nueva York tiene más habitantes que Pekín?
¿Qué países forman parte de la Unión Europea?	¿Qué países componen la Unión Europea?
¿Es Leonardo DiCaprio mayor que Joaquin Phoenix?	¿Es Joaquin Phoenix más joven que Leonardo DiCaprio?
¿En qué país se encuentra el Museo del Prado?	¿En qué país está el Museo del Prado?
¿De qué partidos políticos fue miembro Abraham Lincoln?	¿En qué partidos políticos militó Abraham Lincoln?
