action,dataset,predicate,llm,llama3.1:8b,gpt-oss:20b,gpt-4.1-nano-2025-04-14,mistral-small:24b,llama3.1:70b,gemini-2.0-flash,gpt-4.1-mini-2025-04-14,gpt-4o,gpt-4.1-2025-04-14,grok-3-mini,deepseek-chat,gemini-2.5-flash,gpt-5-nano,deepseek-reasoner,gemini-2.5-pro,gpt-5-mini,o3,gpt-5
classification,LC-QuAD,?A1=A2,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1=A2,gpt-oss:20b,0.0,1.0,1.0,0.9993,0.9663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9865,0.1712,1.0,1.0,0.9912,1.0
classification,LC-QuAD,?A1=A2,gpt-4.1-nano-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0112,0.0002,0.6875,0.0112,0.0547,0.0012,0.0021,0.0,0.0,0.0327,0.0004,0.0,0.0898
classification,LC-QuAD,?A1=A2,mistral-small:24b,0.0,0.0019,1.0,1.0,0.14,0.9955,0.9252,1.0,0.9974,0.9997,0.9855,0.9927,0.2354,0.0,0.9993,0.9449,0.2612,0.9998
classification,LC-QuAD,?A1=A2,llama3.1:70b,0.0,0.0587,1.0,0.9179,1.0,0.9999,0.9942,1.0,0.9999,1.0,0.9989,0.9993,0.6641,0.0041,1.0,0.996,0.7084,1.0
classification,LC-QuAD,?A1=A2,gemini-2.0-flash,0.0,0.0,0.9983,0.0122,0.0005,1.0,0.1239,0.9983,0.6128,0.8666,0.2517,0.3318,0.0006,0.0,0.7597,0.1635,0.0007,0.8949
classification,LC-QuAD,?A1=A2,gpt-4.1-mini-2025-04-14,0.0,0.0001,1.0,0.1405,0.0138,0.939,1.0,1.0,0.9534,0.9887,0.779,0.8463,0.0147,0.0,0.9827,0.6399,0.0288,0.9978
classification,LC-QuAD,?A1=A2,gpt-4o,0.0,0.0,0.6875,0.0,0.0,0.0112,0.0001,1.0,0.0112,0.0547,0.0012,0.0002,0.0,0.0,0.0327,0.0001,0.0,0.0625
classification,LC-QuAD,?A1=A2,gpt-4.1-2025-04-14,0.0,0.0,0.9983,0.0081,0.0002,0.6128,0.105,0.9983,1.0,0.8666,0.2517,0.3238,0.0004,0.0,0.7597,0.1635,0.0003,0.8949
classification,LC-QuAD,?A1=A2,grok-3-mini,0.0,0.0,0.9893,0.0012,0.0,0.2905,0.032,0.9893,0.2905,1.0,0.0717,0.1316,0.0,0.0,0.5,0.0318,0.0001,0.7095
classification,LC-QuAD,?A1=A2,deepseek-chat,0.0,0.0,0.9999,0.0378,0.0032,0.8684,0.3506,0.9999,0.8684,0.9755,1.0,0.655,0.0057,0.0,0.9519,0.4225,0.0068,0.9738
classification,LC-QuAD,?A1=A2,gemini-2.5-flash,0.0,0.0,0.9997,0.0216,0.0022,0.8083,0.2706,1.0,0.8204,0.9423,0.5,1.0,0.0017,0.0,0.9408,0.3555,0.0012,0.9755
classification,LC-QuAD,?A1=A2,gpt-5-nano,0.0,0.0267,1.0,0.8438,0.4439,0.9998,0.9947,1.0,0.9999,1.0,0.998,0.9996,1.0,0.0009,1.0,0.9917,0.6286,1.0
classification,LC-QuAD,?A1=A2,deepseek-reasoner,0.0,0.8825,1.0,1.0,0.9982,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997,1.0,1.0,1.0,0.9998,1.0
classification,LC-QuAD,?A1=A2,gemini-2.5-pro,0.0,0.0,0.9941,0.0026,0.0001,0.4073,0.0466,0.9941,0.4073,0.6964,0.1189,0.1509,0.0001,0.0,1.0,0.0669,0.0002,0.788
classification,LC-QuAD,?A1=A2,gpt-5-mini,0.0,0.0001,1.0,0.1077,0.0098,0.9157,0.5,1.0,0.9157,0.9904,0.7214,0.7709,0.0192,0.0,0.9738,1.0,0.0266,0.9915
classification,LC-QuAD,?A1=A2,o3,0.0,0.0182,1.0,0.8316,0.3919,0.9998,0.9878,1.0,0.9999,1.0,0.9977,0.9997,0.5,0.0005,1.0,0.9881,1.0,1.0
classification,LC-QuAD,?A1=A2,gpt-5,0.0,0.0,0.9805,0.0007,0.0,0.2272,0.0096,0.9922,0.2272,0.5,0.0669,0.0717,0.0,0.0,0.3953,0.0262,0.0,1.0
classification,LC-QuAD,?A1=A3+A4,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1=A3+A4,gpt-oss:20b,0.0,1.0,0.8736,0.9191,0.9989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9948,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1=A3+A4,gpt-4.1-nano-2025-04-14,0.0,0.1871,1.0,0.6362,0.9789,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995,0.9349,1.0,0.9992,1.0,1.0
classification,LC-QuAD,?A1=A3+A4,mistral-small:24b,0.0,0.1264,0.4538,1.0,0.9662,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9993,0.9091,1.0,0.9991,1.0,1.0
classification,LC-QuAD,?A1=A3+A4,llama3.1:70b,0.0,0.0023,0.0356,0.055,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,0.9402,0.3045,1.0,0.8556,1.0,1.0
classification,LC-QuAD,?A1=A3+A4,gemini-2.0-flash,0.0,0.0,0.0,0.0,0.0005,1.0,0.99,1.0,0.99,0.7443,0.8659,1.0,0.038,0.0,0.9962,0.0124,0.72,0.9338
classification,LC-QuAD,?A1=A3+A4,gpt-4.1-mini-2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0235,1.0,0.9996,0.5,0.0662,0.1553,0.9793,0.0001,0.0,0.7077,0.0,0.0662,0.2366
classification,LC-QuAD,?A1=A3+A4,gpt-4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,1.0,0.0007,0.0,0.0001,0.1334,0.0,0.0,0.0096,0.0,0.0,0.0003
classification,LC-QuAD,?A1=A3+A4,gpt-4.1-2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0251,0.6399,0.9999,1.0,0.068,0.1808,0.9827,0.0002,0.0,0.7878,0.0,0.0748,0.2983
classification,LC-QuAD,?A1=A3+A4,grok-3-mini,0.0,0.0,0.0,0.0,0.0001,0.3714,0.9674,1.0,0.9693,1.0,0.7566,0.9999,0.015,0.0,0.9919,0.0027,0.5679,0.8595
classification,LC-QuAD,?A1=A3+A4,deepseek-chat,0.0,0.0,0.0,0.0,0.0,0.2148,0.9123,1.0,0.8998,0.3642,1.0,0.9995,0.0052,0.0,0.9552,0.0004,0.3642,0.6911
classification,LC-QuAD,?A1=A3+A4,gemini-2.5-flash,0.0,0.0,0.0,0.0,0.0,0.0001,0.0577,0.9539,0.0466,0.0005,0.002,1.0,0.0,0.0,0.0898,0.0,0.0011,0.0073
classification,LC-QuAD,?A1=A3+A4,gpt-5-nano,0.0,0.0,0.0011,0.0016,0.0941,0.9799,1.0,1.0,1.0,0.9928,0.9977,1.0,1.0,0.0284,1.0,0.3638,0.9928,0.9987
classification,LC-QuAD,?A1=A3+A4,deepseek-reasoner,0.0,0.0103,0.1003,0.1375,0.7787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.984,1.0,1.0,0.9615,1.0,1.0
classification,LC-QuAD,?A1=A3+A4,gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0,0.01,0.4278,0.9978,0.345,0.0214,0.0877,0.9713,0.0,0.0,1.0,0.0,0.0288,0.1405
classification,LC-QuAD,?A1=A3+A4,gpt-5-mini,0.0,0.0001,0.0018,0.0022,0.2048,0.994,1.0,1.0,1.0,0.9989,0.9999,1.0,0.7193,0.065,1.0,1.0,0.9991,1.0
classification,LC-QuAD,?A1=A3+A4,o3,0.0,0.0,0.0,0.0,0.0001,0.3854,0.9674,1.0,0.9646,0.5679,0.7566,0.9997,0.015,0.0,0.9878,0.0023,1.0,0.8316
classification,LC-QuAD,?A1=A3+A4,gpt-5,0.0,0.0,0.0,0.0,0.0,0.1215,0.8595,1.0,0.8115,0.2366,0.434,0.998,0.0031,0.0,0.9252,0.0002,0.2612,1.0
classification,LC-QuAD,?A1>A3,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-oss:20b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,mistral-small:24b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,llama3.1:70b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gemini-2.0-flash,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-4.1-mini-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-4o,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-4.1-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,grok-3-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,deepseek-chat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gemini-2.5-flash,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-5-nano,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,deepseek-reasoner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-5-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,o3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A3,gpt-5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A4,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A4,gpt-oss:20b,0.0,1.0,0.0,0.8438,0.9997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8092,0.1831,1.0,0.7787,1.0,1.0
classification,LC-QuAD,?A1>A4,gpt-4.1-nano-2025-04-14,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A1>A4,mistral-small:24b,0.0,0.2354,0.0,1.0,0.9931,1.0,1.0,1.0,1.0,0.9992,0.9995,1.0,0.5,0.0407,1.0,0.5,0.9995,1.0
classification,LC-QuAD,?A1>A4,llama3.1:70b,0.0,0.001,0.0,0.0158,1.0,0.9827,0.9964,1.0,0.9999,0.7976,0.8463,0.9941,0.0098,0.0,0.9987,0.0113,0.8675,0.9622
classification,LC-QuAD,?A1>A4,gemini-2.0-flash,0.0,0.0,0.0,0.0,0.0466,1.0,0.788,0.998,0.9922,0.1189,0.1796,0.6964,0.0001,0.0,0.8867,0.0,0.2517,0.5
classification,LC-QuAD,?A1>A4,gpt-4.1-mini-2025-04-14,0.0,0.0,0.0,0.0,0.0133,0.3953,1.0,0.9922,0.9102,0.0481,0.0592,0.5,0.0,0.0,0.7256,0.0,0.1051,0.2905
classification,LC-QuAD,?A1>A4,gpt-4o,0.0,0.0,0.0,0.0,0.0001,0.0195,0.0625,1.0,0.3125,0.0005,0.0009,0.0352,0.0,0.0,0.1094,0.0,0.0017,0.0107
classification,LC-QuAD,?A1>A4,gpt-4.1-2025-04-14,0.0,0.0,0.0,0.0,0.0007,0.0625,0.2539,0.9375,1.0,0.0017,0.0106,0.1719,0.0,0.0,0.3438,0.0,0.0176,0.073
classification,LC-QuAD,?A1>A4,grok-3-mini,0.0,0.0001,0.0,0.0025,0.3388,0.9519,0.9846,1.0,0.9999,1.0,0.6612,0.9755,0.0017,0.0,0.9936,0.0033,0.7214,0.9283
classification,LC-QuAD,?A1>A4,deepseek-chat,0.0,0.0001,0.0,0.0017,0.2706,0.9165,0.9824,0.9999,0.9979,0.5,1.0,0.9519,0.0008,0.0,0.9846,0.0006,0.6612,0.8811
classification,LC-QuAD,?A1>A4,gemini-2.5-flash,0.0,0.0,0.0,0.0,0.0207,0.5,0.7461,0.9961,0.9453,0.0717,0.1189,1.0,0.0,0.0,0.8555,0.0,0.1796,0.3872
classification,LC-QuAD,?A1>A4,gpt-5-nano,0.0,0.28,0.0,0.6043,0.996,1.0,1.0,1.0,1.0,0.9995,0.9998,1.0,1.0,0.0524,1.0,0.5522,0.9999,1.0
classification,LC-QuAD,?A1>A4,deepseek-reasoner,0.0,0.8775,0.0008,0.978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.971,1.0,1.0,0.9615,1.0,1.0
classification,LC-QuAD,?A1>A4,gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0059,0.2744,0.5,0.9844,0.8906,0.0245,0.0481,0.3633,0.0,0.0,1.0,0.0,0.0717,0.212
classification,LC-QuAD,?A1>A4,gpt-5-mini,0.0,0.3045,0.0,0.6196,0.9952,1.0,1.0,1.0,1.0,0.9988,0.9998,1.0,0.5522,0.065,1.0,1.0,0.9999,1.0
classification,LC-QuAD,?A1>A4,o3,0.0,0.0001,0.0,0.0014,0.2291,0.8684,0.9616,0.9999,0.9963,0.4225,0.5,0.9165,0.0005,0.0,0.9755,0.0005,1.0,0.8204
classification,LC-QuAD,?A1>A4,gpt-5,0.0,0.0,0.0,0.0001,0.0843,0.6855,0.8666,0.999,0.9807,0.1662,0.2403,0.8062,0.0001,0.0,0.9102,0.0,0.3238,1.0
classification,LC-QuAD,?A3∅A4,llama3.1:8b,1.0,1.0,0.0,0.9989,1.0,0.9998,0.976,0.0,1.0,1.0,0.077,1.0,0.0,0.9987,1.0,0.049,1.0,0.8775
classification,LC-QuAD,?A3∅A4,gpt-oss:20b,0.0,1.0,0.0,0.0843,0.998,0.2122,0.0068,0.0,0.9242,0.2786,0.0,0.9915,0.0,0.1325,0.9998,0.0,0.9827,0.0003
classification,LC-QuAD,?A3∅A4,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9977,1.0,0.0,1.0,1.0,0.9942,1.0,1.0
classification,LC-QuAD,?A3∅A4,mistral-small:24b,0.0027,0.9622,0.0,1.0,1.0,0.7634,0.1405,0.0,0.9988,0.8275,0.0,1.0,0.0,0.6321,1.0,0.0,1.0,0.0175
classification,LC-QuAD,?A3∅A4,llama3.1:70b,0.0,0.0073,0.0,0.0001,1.0,0.0011,0.0,0.0,0.0946,0.0012,0.0,0.3238,0.0,0.0003,0.6964,0.0,0.2517,0.0
classification,LC-QuAD,?A3∅A4,gemini-2.0-flash,0.0006,0.8852,0.0,0.3601,0.9997,1.0,0.0662,0.0,0.9964,0.6399,0.0,0.9998,0.0,0.4357,1.0,0.0,0.9988,0.0083
classification,LC-QuAD,?A3∅A4,gpt-4.1-mini-2025-04-14,0.0435,0.9977,0.0,0.9252,1.0,0.9674,1.0,0.0,1.0,0.9795,0.0,1.0,0.0,0.9283,1.0,0.0,1.0,0.2148
classification,LC-QuAD,?A3∅A4,gpt-4o,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4402,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A3∅A4,gpt-4.1-2025-04-14,0.0,0.1537,0.0,0.0047,0.9608,0.0133,0.0002,0.0,1.0,0.0065,0.0,0.9453,0.0,0.0121,0.9968,0.0,0.8338,0.0
classification,LC-QuAD,?A3∅A4,grok-3-mini,0.0001,0.8365,0.0,0.2858,0.9997,0.5,0.0448,0.0,0.9991,1.0,0.0,0.9998,0.0,0.3679,1.0,0.0,0.998,0.0023
classification,LC-QuAD,?A3∅A4,deepseek-chat,0.952,1.0,0.0048,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.9999
classification,LC-QuAD,?A3∅A4,gemini-2.5-flash,0.0,0.0262,0.0,0.0003,0.8204,0.0013,0.0,0.0,0.1719,0.0013,0.0,1.0,0.0,0.0017,0.9453,0.0,0.5,0.0
classification,LC-QuAD,?A3∅A4,gpt-5-nano,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6742,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A3∅A4,deepseek-reasoner,0.0031,0.932,0.0,0.5,0.9999,0.6864,0.1279,0.0,0.9959,0.7502,0.0,0.9996,0.0,1.0,1.0,0.0,0.9989,0.0244
classification,LC-QuAD,?A3∅A4,gemini-2.5-pro,0.0,0.0013,0.0,0.0,0.5,0.0,0.0,0.0,0.0193,0.0,0.0,0.1719,0.0,0.0,1.0,0.0,0.1509,0.0
classification,LC-QuAD,?A3∅A4,gpt-5-mini,0.9721,1.0,0.0107,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6286,1.0,0.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A3∅A4,o3,0.0,0.0466,0.0,0.0002,0.8684,0.0047,0.0,0.0,0.3145,0.0073,0.0,0.6964,0.0,0.0035,0.9408,0.0,1.0,0.0
classification,LC-QuAD,?A3∅A4,gpt-5,0.1831,0.9999,0.0,0.9932,1.0,0.9968,0.8659,0.0,1.0,0.9993,0.0003,1.0,0.0,0.9887,1.0,0.0002,1.0,1.0
classification,LC-QuAD,?A4=A1|3,llama3.1:8b,1.0,1.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3125,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A4=A1|3,gpt-oss:20b,0.0,1.0,0.0,0.7825,1.0,1.0,1.0,0.0002,1.0,1.0,0.9951,1.0,0.0,0.9978,1.0,0.0557,1.0,1.0
classification,LC-QuAD,?A4=A1|3,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,LC-QuAD,?A4=A1|3,mistral-small:24b,0.0,0.3015,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.976,1.0,0.0,0.9836,1.0,0.008,1.0,1.0
classification,LC-QuAD,?A4=A1|3,llama3.1:70b,0.0,0.0,0.0,0.0001,1.0,0.8625,0.7787,0.0,0.9997,0.9296,0.007,1.0,0.0,0.0124,1.0,0.0,0.9984,0.4022
