QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.75	0	0	0
1	1.0	0	1	0
2	0.0	1	1	0
3	1.0	0	1	0
4	0.0625	0	0	0
5	1.0	0	1	0
6	0.0	0	0	0
7	1.0	0	1	0
8	1.0	0	1	0
9	1.0	0	1	0
10	0.0	0	0	0
11	1.0	0	1	0
12	0.11242603550295859	0	0	0
13	0.0	0	0	0
14	1.0	0	1	0
15	0.48	0	0	0
16	0.24705882352941178	0	0	0
17	0.0	0	0	0
18	0.043478260869565216	0	0	0
19	1.0	0	1	0
20	1.0	0	1	0
21	1.0	0	1	0
22	1.0	0	1	0
23	1.0	0	1	0
24	0.0	0	0	0
25	0.0	0	0	0
26	0.0	0	0	0
27	1.0	0	1	0
28	1.0	0	1	0
29	0.0	0	0	0
30	0.6666666666666666	0	0	0
31	0.0	1	1	0
32	1.0	0	1	0
33	0.4	0	0	0
34	1.0	0	1	0
35	1.0	0	1	0
36	0.0945945945945946	0	0	0
37	0.6	0	0	0
38	0.42592592592592593	0	0	0
39	0.0	1	1	0
40	0.037037037037037035	0	0	0
41	0.37142857142857144	0	0	0
42	0.020100502512562814	0	0	0
43	0.0	0	0	0
44	1.0	0	1	0
45	0.0	0	0	0
46	0.8461538461538461	0	0	0
47	0.15789473684210525	0	0	0
48	0.47368421052631576	0	0	0
49	0.5	0	0	0
50	0.3333333333333333	0	0	0
51	0.2857142857142857	0	0	0
52	0.6	0	0	0
53	0.14285714285714285	0	0	0
54	0.5319148936170213	0	0	0
55	0.0	0	0	0
56	0.37735849056603776	0	0	0
57	0.0	1	1	0
58	0.8181818181818182	0	0	0
59	0.0	0	0	0
60	0.0	0	0	0
61	0.25	0	0	0
62	0.0	1	1	0
63	0.005681818181818182	0	0	0
64	0.05	0	0	0
65	0.058823529411764705	0	0	0
66	1.0	0	1	0
67	0.7073170731707317	0	0	0
68	0.21428571428571427	0	0	0
69	0.0049504950495049506	0	0	0
70	0.8	0	0	0
71	1.0	0	1	0
72	1.0	0	1	0
73	0.3333333333333333	0	0	0
74	1.0	0	1	0
75	1.0	0	1	0
76	0.4444444444444444	0	0	0
77	0.6666666666666666	0	0	0
78	0.5064935064935064	0	0	0
79	0.3125	0	0	0
80	0.9862068965517241	0	0	0
81	1.0	0	1	0
82	1.0	0	1	0
83	0.375	0	0	0
84	1.0	0	1	0
85	1.0	0	1	0
86	0.16883116883116883	0	0	0
87	1.0	0	1	0
88	0.6666666666666666	0	0	0
89	0.0	1	1	0
90	0.009411764705882352	0	0	0
91	0.35714285714285715	0	0	0
92	0.5789473684210527	0	0	0
93	0.0	1	1	0
94	0.8333333333333334	0	0	0
95	0.06557377049180328	0	0	0
96	0.0	1	1	0
97	0.0	0	0	0
98	0.7777777777777778	0	0	0
99	0.4716981132075472	0	0	0
100	0.35714285714285715	0	0	0
101	0.0	1	1	0
102	0.37142857142857144	0	0	0
103	1.0	0	1	0
104	0.5625	0	0	0
105	0.0	1	1	0
106	0.10714285714285714	0	0	0
107	0.0	0	0	0
108	0.6875	0	0	0
109	0.7142857142857143	0	0	0
110	0.0603290676416819	0	0	0
111	0.0	1	1	0
112	0.05056179775280899	0	0	0
113	0.0	0	0	0
114	1.0	0	1	0
115	0.0	0	0	0
116	1.0	0	1	0
117	0.0	0	0	0
118	0.0	1	1	0
119	0.21052631578947367	0	0	0
120	0.08695652173913043	0	0	0
121	0.6	0	0	0
122	0.22033898305084745	0	0	0
123	0.375	0	0	0
124	0.0	0	0	0
125	0.4262295081967213	0	0	0
126	0.42857142857142855	0	0	0
127	0.0	1	1	0
128	0.0	0	0	0
129	0.0	0	0	0
130	0.0625	0	0	0
131	0.0	0	0	0
132	0.25	0	0	0
133	0.0	0	0	0
134	0.030303030303030304	0	0	0
135	0.0625	0	0	0
136	0.0	1	1	0
137	0.028985507246376812	0	0	0
138	1.0	0	1	0
139	0.7777777777777778	0	0	0
140	0.0	1	1	0
141	0.0	0	0	0
142	1.0	0	1	0
143	0.0	1	1	0
144	0.0	1	1	0
145	1.0	0	1	0
146	0.0	1	1	0
147	0.5714285714285714	0	0	0
148	0.6666666666666666	0	0	0
149	0.5714285714285714	0	0	0
