QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.8	0	1	1
1	1.0	0	1	1
2	1.0	0	1	1
3	1.0	0	1	1
4	0.39473684210526316	0	0	0
5	0.8	0	0	1
6	0.0	0	1	1
7	1.0	0	1	1
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	1.0	0	1	1
12	0.11764705882352941	0	1	1
13	0.8333333333333334	0	0	0
14	1.0	0	1	1
15	0.1935483870967742	0	0	0
16	0.2857142857142857	0	0	0
17	0.01639344262295082	0	1	1
18	0.07857142857142857	0	0	0
19	1.0	0	1	1
20	1.0	0	1	1
21	1.0	0	1	1
22	1.0	0	1	1
23	1.0	0	1	1
24	0.37037037037037035	0	0	1
25	0.0	0	0	0
26	0.5714285714285714	0	0	0
27	1.0	0	1	1
28	1.0	0	1	1
29	0.7391304347826086	0	0	1
30	0.4444444444444444	0	0	1
31	1.0	0	1	1
32	1.0	0	1	1
33	0.6153846153846154	0	1	0
34	1.0	0	1	1
35	1.0	0	1	1
36	0.0945945945945946	0	1	1
37	0.875	0	1	0
38	0.38461538461538464	0	0	0
39	1.0	0	1	1
40	0.25	0	0	1
41	0.04411764705882353	0	0	0
42	0.03537735849056604	0	0	1
43	0.012048192771084338	0	0	1
44	1.0	0	1	1
45	0.75	0	1	1
46	0.7857142857142857	0	0	1
47	0.2619047619047619	0	1	0
48	0.5217391304347826	0	0	1
49	0.9	0	1	1
50	0.3333333333333333	0	1	1
51	0.0847457627118644	0	0	0
52	0.45454545454545453	0	0	1
53	0.4	0	1	1
54	0.5660377358490566	0	0	1
55	0.0	0	0	1
56	0.37735849056603776	0	1	1
57	0.0	1	1	1
58	0.8181818181818182	0	1	1
59	0.0	0	0	1
60	0.6666666666666666	0	1	1
61	0.38	0	0	0
62	1.0	0	1	1
63	0.06521739130434782	0	0	0
64	0.15217391304347827	0	0	1
65	0.12	0	0	1
66	1.0	0	1	1
67	0.6792452830188679	0	0	0
68	0.28888888888888886	0	0	0
69	0.0049504950495049506	0	1	1
70	0.9512195121951219	0	1	1
71	1.0	0	1	1
72	1.0	0	1	1
73	0.2727272727272727	0	0	1
74	1.0	0	1	1
75	1.0	0	1	1
76	0.6153846153846154	0	0	0
77	0.875	0	0	1
78	0.5119047619047619	0	0	1
79	0.3611111111111111	0	0	1
80	0.9947643979057592	0	1	0
81	0.9642857142857143	0	0	1
82	1.0	0	1	1
83	0.23076923076923078	0	0	1
84	1.0	0	1	1
85	0.9615384615384616	0	0	1
86	0.23809523809523808	0	0	0
87	1.0	0	1	1
88	0.6363636363636364	0	0	1
89	0.0	0	0	1
90	0.039634146341463415	0	0	0
91	0.47058823529411764	0	1	1
92	0.6363636363636364	0	1	1
93	1.0	0	1	1
94	0.8571428571428571	0	1	1
95	0.22972972972972974	0	1	1
96	0.0	1	1	1
97	0.1111111111111111	0	1	1
98	0.7777777777777778	0	1	1
99	0.4380165289256198	0	0	0
100	0.3888888888888889	0	0	1
101	1.0	0	1	1
102	0.45	0	1	1
103	1.0	0	1	1
104	0.6	0	1	1
105	1.0	0	1	1
106	0.189873417721519	0	0	0
107	0.11333333333333333	0	0	1
108	0.631578947368421	0	0	0
109	0.7142857142857143	0	1	1
110	0.05892857142857143	0	0	1
111	1.0	0	1	1
112	0.05056179775280899	0	1	1
113	0.0	0	0	0
114	1.0	0	1	1
115	1.0	0	1	0
116	1.0	0	1	1
117	0.25	0	0	0
118	0.6363636363636364	0	0	1
119	0.3076923076923077	0	0	1
120	0.47058823529411764	0	0	1
121	0.8	0	1	0
122	0.16455696202531644	0	0	1
123	0.5	0	1	1
124	0.1336206896551724	0	0	1
125	0.38571428571428573	0	0	1
126	0.5	0	1	1
127	1.0	0	1	1
128	0.006006006006006006	0	0	1
129	0.13636363636363635	0	0	1
130	0.10526315789473684	0	0	0
131	0.42424242424242425	0	0	1
132	0.5	0	0	1
133	0.0	0	0	1
134	0.07058823529411765	0	0	0
135	0.2222222222222222	0	0	1
136	0.0	1	1	1
137	0.05333333333333334	0	0	0
138	1.0	0	1	1
139	0.64	0	0	1
140	0.0	1	1	1
141	0.13924050632911392	0	0	1
142	1.0	0	1	1
143	1.0	0	1	1
144	1.0	0	1	1
145	1.0	0	1	1
146	1.0	0	1	1
147	0.6	0	1	1
148	1.0	0	1	0
149	0.625	0	1	1
