ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,zero-shot,llama3.1:8b,0.0178,0.0,0.0335,0.0134,0.8277,0.0,0.0557,,,0.1866,0.1272,0.0327,0.0718,0.3239,,,0.9333,0.8622,0.86,0.2956,0.9711,0.0089,0.0044,0.0311,0.0422,,,0.02165,0.10714285714285714,0.011848341232227487,0.29545000000000005,0.17935829383886256,0.04081632653061224,0.03740648379052369,0.0,0.017766497461928935,0.797752808988764,0.8282548476454293,0.039576404494382024,0.03905844875346261,0.0,0.002288329519450801,0.1711769230769231,0.12791167048054922,1.0,1.0,1.0,1.0,1.0,1.0
B,overall,zero-shot,gpt-oss:20b,0.1783,0.1415,0.3839,0.2929,0.8511,0.1114,0.2234,,,0.4361,0.4118,0.0409,0.321,0.4821,,,0.2889,0.4356,0.3311,0.7867,0.1689,0.12,0.12,0.1,0.1489,,,0.122225,0.2422062350119904,0.12121212121212122,0.47540623501199036,0.32519696969696965,0.4182692307692308,0.35294117647058826,0.3295194508009153,0.6153846153846154,0.8345498783454988,0.717948717948718,0.06531265206812652,0.16529230769230768,0.1721698113207547,0.07692307692307693,0.4301103773584906,0.2731423076923077,1.0,1.0,1.0,1.0,1.0,1.0
C,overall,zero-shot,gpt-4.1-nano-2025-04-14,0.2993,0.1041,0.476,0.3932,0.62,0.0385,0.0951,,,0.5696,0.4399,0.1626,0.2397,0.20995,,,0.4911,0.4867,0.5089,0.52,0.96,0.0378,0.0511,0.1289,0.1111,0.1902,0.4199,0.08222499999999999,0.3559870550161812,0.2127659574468085,0.616746925566343,0.4724007092198581,0.4731182795698925,0.5037878787878788,0.39790575916230364,0.4092664092664093,0.5932203389830508,0.6193548387096774,0.19952440677966102,0.17359354838709676,,0.11777777777777777,,0.44538844444444436,1.0,1.0,1.0,1.0,1.0,1.0
D,overall,zero-shot,mistral-small:24b,0.3486,0.1138,0.4263,0.3462,0.6296,0.0159,0.3484,,,0.5933,0.4471,0.1699,0.2522,0.6253,,,0.5158,0.4819,0.5362,0.5068,0.8529,0.2036,0.2172,0.3009,0.3733,,,0.27375,0.4838709677419355,0.15384615384615385,0.6768937965260545,0.42898974358974357,0.0,0.5170068027210885,0.4,0.4622425629290618,0.5068181818181818,0.5,0.33326931818181815,0.5,0.26666666666666666,0.23821989528795812,0.5468983333333334,0.5188167539267016,1.0,1.0,1.0,1.0,1.0,1.0
E,overall,zero-shot,llama3.1:70b,0.2309,0.0694,0.2975,0.2489,0.714,0.0358,0.2215,,,0.4943,0.369,0.0903,0.2155,0.5248,,,0.2622,0.6622,0.5978,0.7067,0.0511,0.0133,0.02,0.0222,0.06,,,0.028874999999999998,0.2437357630979499,0.0,0.5050587699316629,0.24763636363636363,0.2777777777777778,0.30434782608695654,0.23387096774193547,0.26380368098159507,0.7069351230425056,0.3333333333333333,0.10213489932885908,0.15,0.0744920993227991,0.14285714285714285,0.37178284424379227,0.4664428571428572,1.0,1.0,1.0,1.0,1.0,1.0
F,overall,zero-shot,gemini-2.0-flash,0.3587,0.1356,0.4365,0.3803,0.625,0.0556,0.469,,,0.629,0.4833,0.1305,0.2983,0.7094,,,0.4111,0.4356,0.6067,0.6289,0.2422,0.0222,0.0378,0.0133,0.0289,0.4873,0.7182,0.02555,0.3670886075949367,0.2727272727272727,0.6347832911392406,0.57136,0.4198895027624309,0.5,0.46153846153846156,0.3565459610027855,0.6342042755344418,0.4482758620689655,0.13074869358669833,0.13222758620689656,0.1271186440677966,0.16666666666666666,0.48134011299435026,0.490540625,1.0,1.0,1.0,1.0,1.0,1.0
G,overall,zero-shot,gpt-4.1-mini-2025-04-14,0.3826,0.1607,0.5156,0.4273,0.5236,0.0647,0.2585,,,0.6932,0.5499,0.1695,0.3092,0.5429999999999999,,,0.4356,0.4311,0.5867,0.5333,0.0889,0.0089,0.0111,0.0267,0.0556,0.226,0.4959,0.025575,0.4024390243902439,0.225,0.7042580487804879,0.55334,0.4258064516129032,0.5661016949152542,0.5402298850574713,0.4022038567493113,0.5302013422818792,0.0,0.16593199105145415,0.7544,0.15242494226327943,0.4117647058823529,0.5464489607390299,0.6322235294117647,1.0,1.0,1.0,1.0,1.0,1.0
H,overall,zero-shot,gpt-4o,0.3476,0.1204,0.4483,0.3489,0.8033,0.0864,0.3771,,,0.5987,0.4714,0.0603,0.3307,0.6667000000000001,,,0.4622,0.4978,0.5311,0.66,0.3756,0.2222,0.2178,0.24,0.3756,0.3256,0.633,0.26389999999999997,0.45734597156398105,0.4642857142857143,0.6739348341232226,0.5535535714285714,0.5512820512820513,0.5306122448979592,0.52,0.4675,0.6607142857142857,0.5,0.22783593750000003,0.5,0.24324324324324326,0.2727272727272727,0.5719158783783784,0.5116584415584415,1.0,1.0,1.0,1.0,1.0,1.0
I,overall,zero-shot,gpt-4.1-2025-04-14,0.4487,0.1879,0.5347,0.4318,0.6222,0.1163,0.2851,,,0.7201,0.5764,0.1072,0.3798,0.60635,,,0.4822,0.5333,0.5311,0.6244,0.1267,0.0067,0.0111,0.0467,0.0667,0.2688,0.5669,0.032799999999999996,0.46445497630331756,0.25,0.7389452606635071,0.4563321428571429,0.5348314606741573,0.6,0.47368421052631576,0.3493150684931507,0.6227678571428571,0.0,0.11235491071428572,0.52085,0.1905829596412556,0.25,0.5788394618834081,0.37377499999999997,1.0,1.0,1.0,1.0,1.0,1.0
J,overall,zero-shot,grok-3-mini,0.3449,0.2683,0.5392,0.4514,0.9055,0.25,0.3772,,,0.6492,0.6051,0.0266,0.4886,0.6473,,,0.4244,0.5489,0.4644,0.8889,0.2844,0.0533,0.0622,0.0711,0.1244,,,0.07775,0.3842364532019704,0.20454545454545456,0.6708985221674878,0.5014136363636363,0.5526932084309133,0.5217391304347826,0.46543778801843316,0.5625,0.89749430523918,0.45454545454545453,0.042386104783599096,0.26505454545454543,0.29128440366972475,0.07142857142857142,0.6126348623853212,0.40927142857142856,1.0,1.0,1.0,1.0,1.0,1.0
