llm,n_total_zs,n_answered_zs,idk_rate_zs,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,n_total_clf,n_answered_clf,idk_rate_clf,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
deepseek-chat,600,580,0.0333,0.3086,0.1414,0.4362,0.381,0.5621,0.0638,0.5693,0.4616,0.1546,0.2627,600,495,0.175,0.9333,0.7939,0.8202,0.899,0.8121,0.6566,0.9663,0.9312,0.1678,0.7604,0.6247,0.6525,0.384,0.518,0.25,0.5928,0.397,0.4696,0.0132,0.4977
deepseek-reasoner,600,595,0.0083,0.1815,0.1294,0.3966,0.2975,0.8202,0.1042,0.4632,0.412,0.0383,0.3142,600,547,0.0883,0.7642,0.7715,0.7422,0.841,0.7605,0.5649,0.807,0.8645,0.2321,0.6184,0.5827,0.6421,0.3456,0.5435,-0.0597,0.4607,0.3438,0.4525,0.1938,0.3042
gemini-2.0-flash,600,600,0.0,0.3267,0.1217,0.415,0.3533,0.6267,0.05,0.6008,0.4605,0.13,0.2914,600,504,0.16,0.8671,0.8274,1.0,0.9405,0.748,0.625,0.9381,0.9275,0.1741,0.7298,0.5404,0.7057,0.585,0.5872,0.1213,0.575,0.3373,0.467,0.0441,0.4384
gemini-2.5-flash,600,594,0.01,0.33,0.2407,0.4899,0.4091,0.8485,0.2172,0.6112,0.5402,0.0313,0.4426,600,572,0.0467,0.8951,0.9336,1.0,0.9703,0.9423,0.8864,0.9406,0.9655,0.0523,0.8785,0.5651,0.6929,0.5101,0.5612,0.0938,0.6692,0.3294,0.4253,0.021,0.4359
gemini-2.5-pro,600,597,0.005,0.3065,0.2194,0.4338,0.3853,0.8157,0.1926,0.6329,0.5677,0.031,0.4721,600,578,0.0367,0.8495,0.7664,1.0,0.8841,0.9585,0.7388,0.8956,0.8658,0.0334,0.8202,0.543,0.547,0.5662,0.4988,0.1428,0.5462,0.2627,0.2981,0.0024,0.3481
gpt-4.1-2025-04-14,600,597,0.005,0.3936,0.1608,0.4958,0.3836,0.6348,0.1005,0.6755,0.5412,0.1091,0.3582,600,575,0.0417,0.9148,0.8643,0.6922,0.9739,0.9078,0.7809,0.9744,0.9699,0.079,0.8852,0.5212,0.7035,0.1964,0.5903,0.273,0.6804,0.2989,0.4287,-0.0301,0.527
gpt-4.1-mini-2025-04-14,600,592,0.0133,0.3294,0.1301,0.4747,0.3767,0.5659,0.0524,0.628,0.4966,0.1511,0.285,600,544,0.0933,0.8879,0.8529,0.6048,0.943,0.8474,0.7059,0.9529,0.9455,0.1415,0.795,0.5585,0.7228,0.1301,0.5663,0.2815,0.6535,0.3249,0.4489,-0.0096,0.51
gpt-4.1-nano-2025-04-14,600,577,0.0383,0.2565,0.0867,0.4367,0.3501,0.636,0.0347,0.5056,0.3794,0.1679,0.2101,600,376,0.3733,0.9574,0.3112,0.5559,0.3138,0.609,0.0,0.9612,0.57,0.3855,0.0027,0.7009,0.2245,0.1192,-0.0363,-0.027,-0.0347,0.4556,0.1906,0.2176,-0.2074
gpt-4o,600,506,0.1567,0.3518,0.1186,0.4486,0.3735,0.7431,0.0711,0.591,0.4547,0.1327,0.3078,600,290,0.5167,0.9448,0.8793,0.9862,0.9724,0.7483,0.6345,0.8863,0.9681,0.2337,0.7223,0.593,0.7607,0.5376,0.5989,0.0052,0.5634,0.2953,0.5134,0.101,0.4145
gpt-5,600,483,0.195,0.5155,0.294,0.5549,0.5652,0.9068,0.2629,0.7328,0.6083,0.0386,0.5962,600,455,0.2417,0.9011,0.8769,1.0,0.9538,0.8945,0.7846,0.9577,0.9369,0.1037,0.8483,0.3856,0.5829,0.4451,0.3886,-0.0123,0.5217,0.2249,0.3286,0.0651,0.2521
gpt-5-mini,600,412,0.3133,0.4951,0.2403,0.4733,0.5364,0.8859,0.199,0.6702,0.5232,0.0766,0.5352,600,409,0.3183,0.824,0.5501,1.0,0.6406,0.9193,0.4988,0.8911,0.7127,0.0807,0.5863,0.3289,0.3098,0.5267,0.1042,0.0334,0.2998,0.2209,0.1895,0.0041,0.0511
gpt-5-nano,600,458,0.2367,0.4651,0.262,0.5284,0.5175,0.8799,0.2205,0.6413,0.5214,0.0879,0.5025,600,599,0.0017,0.778,0.6912,1.0,0.7696,0.1937,0.005,0.7813,0.7621,0.8052,0.0783,0.3129,0.4292,0.4716,0.2521,-0.6862,-0.2155,0.14,0.2407,0.7173,-0.4242
gpt-oss:20b,600,575,0.0417,0.1896,0.1235,0.3583,0.2974,0.8539,0.0991,0.4291,0.3823,0.0495,0.3037,600,550,0.0833,0.6418,0.4545,1.0,0.7164,0.9073,0.4145,0.7752,0.7588,0.0425,0.6563,0.4522,0.331,0.6417,0.419,0.0534,0.3154,0.3461,0.3765,-0.007,0.3526
grok-3-mini,600,583,0.0283,0.3293,0.2453,0.5129,0.4254,0.8919,0.2281,0.6326,0.5693,0.0389,0.4608,600,548,0.0867,0.8996,0.7737,1.0,0.8942,0.9434,0.7318,0.9605,0.9321,0.0504,0.8597,0.5703,0.5284,0.4871,0.4688,0.0515,0.5037,0.3279,0.3628,0.0115,0.3989
llama3.1:70b,600,593,0.0117,0.1973,0.059,0.2799,0.2293,0.7184,0.0287,0.465,0.3466,0.09,0.2092,600,599,0.0017,0.803,0.5743,1.0,0.8648,0.9349,0.5626,0.907,0.8625,0.0296,0.8133,0.6057,0.5153,0.7201,0.6355,0.2165,0.5339,0.442,0.5159,-0.0604,0.6041
llama3.1:8b,600,600,0.0,0.0167,0.0017,0.03,0.0117,0.8433,0.0,0.1667,0.1173,0.0329,0.0644,600,600,0.0,0.1633,0.0833,1.0,0.3383,0.6817,0.05,0.5603,0.5018,0.0974,0.3899,0.1466,0.0816,0.97,0.3266,-0.1616,0.05,0.3936,0.3845,0.0645,0.3255
mistral-small:24b,590,513,0.1305,0.3567,0.1267,0.4288,0.3704,0.5789,0.0117,0.5898,0.451,0.2521,0.2346,600,585,0.025,0.841,0.5624,1.0,0.8103,0.8154,0.4342,0.9238,0.8142,0.1597,0.6535,0.4843,0.4357,0.5712,0.4399,0.2365,0.4225,0.334,0.3632,-0.0924,0.4189
o3,590,578,0.0203,0.3304,0.2128,0.4965,0.3737,0.8824,0.1938,0.6185,0.5349,0.0374,0.4474,600,572,0.0467,0.8112,0.8077,0.8776,0.9108,0.9633,0.7832,0.9291,0.9132,0.0287,0.8755,0.4808,0.5949,0.3811,0.5371,0.0809,0.5894,0.3106,0.3783,-0.0087,0.4281
