usparql	Q1	Q2	Q3	Q4	type	Q1Ans	Q2Ans	Q2SAns	Q4Ans	Q3Ans
no_usparql_13	Which television shows were created by John Cleese?	What television programs did John Cleese create?	Which television shows were created by John Cleese and first aired before the year 2000?	Which television shows were created by John Cleese and first aired on or after the year 2000?					"[""Monty Python's Flying Circus""]"	"[""Monty Python's Flying Circus""]"
no_usparql_17	Give me all current communist countries.	What countries have a communist government?	Give me all communist countries in Asia.	Give me all communist countries outside of Asia.		['China', 'Cuba', 'Laos', 'Vietnam', 'North Korea']	['China', 'Cuba', 'Laos', 'Vietnam', 'North Korea']		['North Korea']	"[""People's Republic of China"", ""Lao People's Democratic Republic"", 'Socialist Republic of Vietnam', ""Democratic People's Republic of Korea""]"
no_usparql_26	Which politicians were married to a German person?	Which politicians had a spouse who was German?	Which politicians were married to a German woman?	Which politicians were married to a German man or non-binary person?					['Angela Merkel was married to a German woman named Joachim Sauer', 'idk']	
no_usparql_29	Give me all soccer clubs in Spain that play in La Liga.	Can you list every soccer club located in Spain that play in La Liga?	Please tell me all the Spanish football clubs that play in La Liga and have won the Champions League.	Please tell me all the Spanish football clubs that play in La Liga and never won the Champions League.		['Real Madrid', 'Barcelona', 'Atlético Madrid', 'Sevilla', 'Villarreal', 'Real Sociedad', 'Real Betis', 'Athletic Bilbao', 'Osasuna', 'Rayo Vallecano', 'Cádiz', 'Getafe', 'Almería', 'Valencia', 'Mallorca', 'Espanyol', 'Girona', 'Valladolid', 'Celta Vigo', 'Las Palmas']	['Real Madrid', 'Barcelona', 'Atlético Madrid', 'Sevilla', 'Villarreal', 'Real Sociedad', 'Real Betis', 'Athletic Bilbao', 'Osasuna', 'Rayo Vallecano', 'Cádiz', 'Getafe', 'Almería', 'Valencia', 'Mallorca', 'Espanyol', 'Girona', 'Valladolid', 'Celta Vigo', 'Las Palmas']		['Real Madrid Club de Fútbol', 'Futbol Club Barcelona', 'Club Atlético de Madrid', 'Real Sociedad de Fútbol', 'Valencia Club de Fútbol', 'Villarreal Club de Fútbol', 'Real Betis Balompié', 'Athletic Club de Bilbao', 'Celta de Vigo', 'Rayo Vallecano de Madrid', 'Getafe Club de Fútbol', 'Elche Club de Fútbol', 'Racing de Santander', 'Real Valladolid Club de Fútbol', 'Girona Football Club', 'Sevilla Football Club', 'Cadiz Club de Fútbol', 'Almeria Club de Fútbol', 'Mallorca Football Club', 'Osasuna', 'Granada Club de Fútbol', 'Levante Unión Deportiva']	['Real Madrid Club de Fútbol', 'Futbol Club Barcelona']
no_usparql_32	Which telecommunications organizations are located in Belgium?	Which telecommunications organizations are based in Belgium?	Which telecommunications organizations are located in Belgium and headquartered in Brussels?	Which telecommunications organizations are located in Belgium but not headquartered in Brussels?		['Proximus', 'Orange Belgium', 'Telenet', 'VOO', 'Scarlet', 'Base', 'Mobile Vikings']	['Proximus', 'Orange Belgium', 'Telenet', 'VOO', 'Scarlet', 'Base', 'Mobile Vikings']		['Telenet Group', 'Voo', 'Scarlet', 'Base Company']	['Belgacom (now known as Proximus Group)', 'Orange Belgium']
no_usparql_40	Which actors were born in Germany?	What actors have a German birthplace?	Which actors were born in Germany and are currently living there?	Which actors were born in Germany but are currently living outside of Germany?		['Diane Kruger', 'Daniel Brühl', 'Moritz Bleibtreu', 'Til Schweiger', 'Nina Hoss', 'August Diehl', 'Alexandra Maria Lara', 'Christian Berkel', 'Armin Mueller-Stahl', 'Bruno Ganz']	['Diane Kruger', 'Daniel Brühl', 'Moritz Bleibtreu', 'Til Schweiger', 'Nina Hoss', 'August Diehl', 'Alexandra Maria Lara', 'Christian Berkel', 'Armin Mueller-Stahl', 'Bruno Ganz']		['Diane Kruger', 'Moritz Bleibtreu', 'Nina Hoss', 'August Diehl', 'Alexandra Maria Lara', 'Christian Berkel', 'Franka Potente', 'Armin Mueller-Stahl', 'Bruno Ganz']	['Daniel Brühl', 'Diane Kruger', 'Moritz Bleibtreu', 'Nina Hoss', 'August Diehl', 'Alexandra Maria Lara', 'Christian Berkel', 'Armin Mueller-Stahl', 'Franka Potente', 'Til Schweiger']
no_usparql_170	In which countries are the Himalayas located?	Which countries do the Himalayas span?	In which countries with a population of less than one million are the Himalayas located?	In which countries with a population of at least one million are the Himalayas located?		['India', 'Nepal', 'Bhutan', 'China', 'Pakistan']	['India', 'Nepal', 'Bhutan', 'China', 'Pakistan']		['India', 'China', 'Pakistan', 'Afghanistan']	['Bhutan', 'Nepal']
no_usparql_207	On what video streaming services can I watch the Hunter x Hunter anime series?	Which platforms stream the Hunter x Hunter anime series?	On which video streaming services can I watch the Hunter x Hunter anime series with a subscription?	On which video streaming services can I watch the Hunter x Hunter anime series without subscription?		['Crunchyroll', 'Funimation', 'Hulu', 'Netflix', 'Amazon Prime Video']	['Crunchyroll', 'Funimation', 'Hulu', 'Netflix', 'Amazon Prime Video']		['Netflix', 'Hulu']	['Funimation', 'Hulu', 'Amazon Prime Video']
no_usparql_214	Through which countries does the Danube flow?	Which countries does the Danube flow through?	Through which countries that use Central Europe Time does the Danube flow?	Through which countries that do not use Central Europe Time does the Danube flow?		['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria', 'Moldova', 'Ukraine']	['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria', 'Moldova', 'Ukraine']		['Germany', 'Slovakia', 'Croatia', 'Serbia', 'Romania', 'Moldova', 'Ukraine', 'Bosnia and Herzegovina', 'Montenegro', 'Kosovo', 'Albania']	['Germany', 'Austria', 'Slovakia', 'Hungary', 'Croatia', 'Serbia', 'Romania', 'Bulgaria']
no_usparql_230	What are the professions of John Lennon’s sons?	In which professions are John Lennon’s sons involved?	What are the musical professions of John Lennon’s sons?	What are the non-musical professions of John Lennon’s sons?						
