q1	ql1	ql2
http://qawiki.org/entity/Q271	What is the lowest common taxon of zebras and giraffes?	What is the most specific common taxon of giraffes and zebras?
http://qawiki.org/entity/Q275	Which parks are in Perth?	List parks in Perth
http://qawiki.org/entity/Q275	Which parks are in Perth?	What parks are in Perth?
http://qawiki.org/entity/Q275	Which parks are in Perth?	What parks does Perth have?
http://qawiki.org/entity/Q11	Who played Eleven in Stranger Things?	In the series Stranger Things, who acted in the role of Eleven?
http://qawiki.org/entity/Q11	Who played Eleven in Stranger Things?	Which actress played the character 11 in Stranger Things?
http://qawiki.org/entity/Q11	Who played Eleven in Stranger Things?	Who played Eleven in the series Stranger Things?
http://qawiki.org/entity/Q15	Who is the creator of One-Punch Man?	Who created the One-Punch Man franchise?
http://qawiki.org/entity/Q15	Who is the creator of One-Punch Man?	Who started the One-Punch Man franchise?
http://qawiki.org/entity/Q17	What is the largest country in Africa by population?	Which African country is the most populous?
http://qawiki.org/entity/Q17	What is the largest country in Africa by population?	Which country in Africa has the highest population?
http://qawiki.org/entity/Q17	What is the largest country in Africa by population?	Which country in Africa has the most people?
http://qawiki.org/entity/Q18	What is the largest country in Africa by area?	What is the largest country in Africa by landmass?
http://qawiki.org/entity/Q18	What is the largest country in Africa by area?	Which African country has the largest area?
http://qawiki.org/entity/Q18	What is the largest country in Africa by area?	What is the most expansive African country?
http://qawiki.org/entity/Q19	What is the capital of Ireland?	What is the capital city of Ireland?
http://qawiki.org/entity/Q19	What is the capital of Ireland?	What is the Irish capital?
http://qawiki.org/entity/Q42	Who wrote The Hitchhiker's Guide to the Galaxy?	Who authored The Hitchhiker's Guide to the Galaxy?
http://qawiki.org/entity/Q42	Who wrote The Hitchhiker's Guide to the Galaxy?	Who is the author of The Hitchhiker's Guide to the Galaxy?
http://qawiki.org/entity/Q61	Is Stan Lee alive?	Is Stan Lee still alive?
http://qawiki.org/entity/Q61	Is Stan Lee alive?	Is Stan Lee still living?
http://qawiki.org/entity/Q63	Is Stan Lee dead?	Did Stan Lee die?
http://qawiki.org/entity/Q63	Is Stan Lee dead?	Did Stan Lee pass away?
http://qawiki.org/entity/Q63	Is Stan Lee dead?	Has Stan Lee passed away?
http://qawiki.org/entity/Q64	When did Stan Lee die?	On what date did Stan Lee pass away?
http://qawiki.org/entity/Q64	When did Stan Lee die?	When did Stan Lee pass away?
http://qawiki.org/entity/Q65	What age was Stan Lee when he died?	At what age did Stan Lee die?
http://qawiki.org/entity/Q65	What age was Stan Lee when he died?	How many years old was Stan Lee when he died?
http://qawiki.org/entity/Q65	What age was Stan Lee when he died?	How old was Stan Lee when he died?
http://qawiki.org/entity/Q65	What age was Stan Lee when he died?	How old was Stan Lee when he passed away?
http://qawiki.org/entity/Q66	What age is Stan Lee?	How many years old is Stan Lee?
http://qawiki.org/entity/Q66	What age is Stan Lee?	How old is Stan Lee?
http://qawiki.org/entity/Q67	What age would Stan Lee be if he were still alive?	How many years old would Stan Lee be if he were not dead?
http://qawiki.org/entity/Q67	What age would Stan Lee be if he were still alive?	How old would Stan Lee be if he hadn't died?
http://qawiki.org/entity/Q169	Which city has the most cathedrals?	What city contains the most cathedrals?
http://qawiki.org/entity/Q169	Which city has the most cathedrals?	Which city has the highest number of cathedrals?
http://qawiki.org/entity/Q170	What make of car is a Corolla?	Which automobile manufacturer makes the Corolla?
http://qawiki.org/entity/Q170	What make of car is a Corolla?	Who manufactures the Corolla car?
http://qawiki.org/entity/Q171	What is the tallest mountain in the Andes?	What is the highest Andean peak?
http://qawiki.org/entity/Q171	What is the tallest mountain in the Andes?	What is the highest mountain in the Andes?
http://qawiki.org/entity/Q172	Which U.S. president had the most spouses?	What American president had the highest number of marriages?
http://qawiki.org/entity/Q172	Which U.S. president had the most spouses?	Which American president had the most wives or husbands?
http://qawiki.org/entity/Q173	Which countries drive on the left?	In which countries does traffic drive on the left?
http://qawiki.org/entity/Q174	When was the Rubik's cube invented?	When was the Rubix cube created?
http://qawiki.org/entity/Q175	Which conferences were organized by Turing Award winners?	What conferences had a Turing Award winner organizing them?
http://qawiki.org/entity/Q176	What video games are made by the developer of League of Legends?	What video games did the developers of League of Legends develop?
http://qawiki.org/entity/Q176	What video games are made by the developer of League of Legends?	Which video games are made by the same developers as LoL?
http://qawiki.org/entity/Q177	Which writers speak French, Arabic and Japanese?	Which authors speak French, Arabic and Japanese?
http://qawiki.org/entity/Q177	Which writers speak French, Arabic and Japanese?	Which writers speak Arabic, French and Japanese?
http://qawiki.org/entity/Q178	Which pandemic lasted the longest?	What pandemic went on for the longest time?
http://qawiki.org/entity/Q178	Which pandemic lasted the longest?	Which pandemic had the longest duration?
http://qawiki.org/entity/Q179	What whisky distilleries are based in Ireland?	Give me all whiskey distilleries in Ireland
http://qawiki.org/entity/Q179	What whisky distilleries are based in Ireland?	What whiskey distilleries are Irish?
http://qawiki.org/entity/Q180	What animals have Twitter accounts?	Find animals with Twitter accounts
http://qawiki.org/entity/Q180	What animals have Twitter accounts?	Which animals use Twitter?
http://qawiki.org/entity/Q181	How many regions of France are there?	How many French regions are there?
http://qawiki.org/entity/Q181	How many regions of France are there?	How many regions does France have?
http://qawiki.org/entity/Q376	What HBO series has the highest Tomatometer score?	What HBO show has the best Tomatometer score?
http://qawiki.org/entity/Q376	What HBO series has the highest Tomatometer score?	Which TV series on HBO has the top Tomatometer score?
http://qawiki.org/entity/Q377	What is the area of New South Wales?	How big is New South Wales?
http://qawiki.org/entity/Q377	What is the area of New South Wales?	How expansive is N.S.W.?
http://qawiki.org/entity/Q377	What is the area of New South Wales?	What size is NSW?
http://qawiki.org/entity/Q380	What is the postal code of Alberobello?	What is Alberobello's post code?
http://qawiki.org/entity/Q380	What is the postal code of Alberobello?	What is the zip code of Alberobello?
http://qawiki.org/entity/Q381	Who is the patron saint of photographers?	Who is the saint of photographers?
http://qawiki.org/entity/Q383	Who is the current world record holder for the men's 200 meter sprint?	Who holds the record for 200 meter sprint?
http://qawiki.org/entity/Q383	Who is the current world record holder for the men's 200 meter sprint?	Who is the record holder for 200 meters?
http://qawiki.org/entity/Q384	What is the highest dan in Go?	What is the best dan in Go?
http://qawiki.org/entity/Q384	What is the highest dan in Go?	What is the highest Go rank?
http://qawiki.org/entity/Q384	What is the highest dan in Go?	What is the top dan in Go?
http://qawiki.org/entity/Q385	What languages did Kofi Annan speak?	What languages did Kofi Annan know?
http://qawiki.org/entity/Q385	What languages did Kofi Annan speak?	Which languages did Kofi Annan speak?
http://qawiki.org/entity/Q386	What is the fastest species of mammal?	What is the fastest mammal?
http://qawiki.org/entity/Q386	What is the fastest species of mammal?	What mammal species is the fastest?
http://qawiki.org/entity/Q387	What profession studies butterflies?	What do you call an expert on butterflies?
http://qawiki.org/entity/Q387	What profession studies butterflies?	What do you call someone who studies butterflies?
http://qawiki.org/entity/Q388	Who discovered Pluto?	Who found Pluto?
http://qawiki.org/entity/Q388	Who discovered Pluto?	Who was the discoverer of Pluto?
http://qawiki.org/entity/Q389	Who is the manager of Crystal Palace F.C.?	Who is the head coach of Crystal Palace?
http://qawiki.org/entity/Q390	What collections outside of Africa exhibit Benin Bronzes?	Which locations not in Africa show Benin Bronzes?
http://qawiki.org/entity/Q390	What collections outside of Africa exhibit Benin Bronzes?	Which non-African places have Benin Bronzes?
http://qawiki.org/entity/Q222	Which countries border South Sudan?	Which countries does South Sudan border?
http://qawiki.org/entity/Q222	Which countries border South Sudan?	Which countries neighbor South Sudan?
http://qawiki.org/entity/Q222	Which countries border South Sudan?	Which countries share a border with South Sudan?
http://qawiki.org/entity/Q222	Which countries border South Sudan?	With which countries does South Sudan share a border?
http://qawiki.org/entity/Q223	From which country did Botswana secede?	What country did Botswana get independence from?
http://qawiki.org/entity/Q223	From which country did Botswana secede?	Which country did Botswana separate from?
http://qawiki.org/entity/Q224	What is the motto of the Data Link Institute?	What is Data Link Institute's slogan?
http://qawiki.org/entity/Q225	What countries are in the Schengen area?	Which countries are part of the Schengen area?
http://qawiki.org/entity/Q227	Which countries observe Victory in Europe day?	In which countries is VE day commemorated?
http://qawiki.org/entity/Q227	Which countries observe Victory in Europe day?	What countries celebrate VE day?
http://qawiki.org/entity/Q228	Who composed the national anthem of Tonga?	Who wrote the Tongan anthem?
http://qawiki.org/entity/Q229	Who is the richest person in the world?	Who has the highest net worth?
http://qawiki.org/entity/Q229	Who is the richest person in the world?	Who is the wealthiest person in the world?
