llm,action,?A1=A1*,J(A1-A1*),?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,ave_?A,J(A1-A2),J(A3-A4),J(A4-A1|3),idk,?A1=A3+A4,?A1=A1**,?A1*=A1**,J(A1-A34),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave
llama3.1:8b,zero-shot,0.0555555555555555,0.3235651111111111,0.0178,0.0356,0.0134,0.8277,0.0,0.1789,0.1866,0.0327,0.0718,0.017775,0.0,,,0.1272,,,0.9333333333333332,0.8622222222222222,0.86,0.2955555555555555,0.9711111111111111,0.0067,0.0044,0.0267,0.0333,,
llama3.1:8b,classification,0.0555555555555555,0.3235651111111111,0.1822,1.0,0.3622,0.6867,0.06,0.45822,0.5751,0.0958,0.4059,0.2511,0.0867,0.0444444444444444,0.0377777777777777,0.5207,0.2751346666666667,0.2769486666666667,0.7955555555555556,0.1177777777777777,,,0.8,0.0,0.0044,1.0,0.0,0.0459,0.2919
llama3.1:8b,fixing,0.0288888888888888,0.1890013333333333,0.14,0.1778,0.14,0.6156,0.0244,0.21956000000000003,0.475,0.1101,0.2542,0.00165,0.0333,0.02,0.0333333333333333,0.3465,0.1806771111111111,0.2061275555555555,,,,,,0.0,0.0022,0.0044,0.0,0.0274,0.1919
gpt-oss:20b,zero-shot,0.2233766233766233,0.482092987012987,0.1783,0.3839,0.2929,0.8511,0.1114,0.36351999999999995,0.4361,0.0409,0.321,0.122225,0.1415,,,0.4118,,,0.2888888888888888,0.4355555555555555,0.3311111111111111,0.7866666666666666,0.1688888888888889,0.12,0.12,0.1,0.1489,,
gpt-oss:20b,classification,0.2233766233766233,0.482092987012987,0.6262,1.0,0.723,0.9141,0.4314,0.7389399999999999,0.7732,0.0207,0.659,0.3627749999999999,0.4706,0.2025974025974026,0.2777777777777778,0.7692,0.4933376623376623,0.5178951111111111,0.6577777777777778,0.8933333333333333,,,0.4088888888888889,0.1444,0.1089,1.0,0.1978,0.2346,0.4978
gpt-oss:20b,fixing,0.2986111111111111,0.6175527777777778,0.6621,0.8163,0.9041,0.9932,0.7007,0.8152800000000001,0.8444,0.0009,0.8684,0.058325,0.7007,0.3125,0.3066666666666666,0.8785,0.6218756944444443,0.5970846666666667,,,,,,0.04,0.0333,0.0733,0.0867,0.3059,0.6122
gpt-4.1-nano-2025-04-14,zero-shot,0.0951156812339331,0.2099690231362467,0.2993,0.476,0.3932,0.62,0.0385,0.3654,0.5696,0.1626,0.2397,0.081675,0.1041,,,0.4399,,,0.4911111111111111,0.4866666666666667,0.5088888888888888,0.52,0.96,0.0378,0.0489,0.1289,0.1111,0.1902,0.4199
gpt-4.1-nano-2025-04-14,classification,0.0,0.0,0.1765,0.0514,0.0361,0.5464,0.0,0.16208,0.2297,0.4468,0.0033,0.787225,0.3816,0.0,0.9555555555555556,0.6091,0.0,0.9555555555555556,0.6844444444444444,0.4222222222222222,,,1.0,0.9822,0.9689,0.6178,0.58,0.3185,0.3185
gpt-4.1-nano-2025-04-14,fixing,0.3351063829787234,0.5597148936170213,0.5485,0.5658,0.5925,0.5864,0.1959,0.49782000000000004,0.6741,0.2377,0.3576,0.177225,0.3065,0.3457446808510638,0.5288888888888889,0.5201,0.5655412234042553,0.6303582222222223,,,,,,0.1644,0.2067,0.2267,0.1111,0.4032,0.5852
mistral-small:24b,zero-shot,0.3475,0.62494575,0.3486,0.4263,0.3462,0.6296,0.0159,0.35332,0.5933,0.1699,0.2522,0.27375,0.1138,,,0.4471,,,0.5158371040723982,0.4819004524886878,0.5361990950226244,0.5067873303167421,0.8529411764705882,0.2036,0.2172,0.3009,0.3733,,
