QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	1.0	0	1	0
2	0.6666666666666666	0	0	0
3	1.0	0	1	0
4	0.75	0	0	0
5	1.0	0	1	0
6	1.0	0	1	0
7	1.0	0	1	0
8	1.0	0	1	0
9	0.0	0	0	0
10	1.0	0	1	0
11	1.0	0	1	0
12	1.0	0	1	0
13	0.0	0	0	0
14	0.75	0	0	0
15	0.6666666666666666	0	0	0
16	1.0	0	1	0
17	1.0	0	1	0
18	1.0	0	1	0
19	1.0	0	1	0
20	1.0	0	1	0
21	1.0	0	1	0
22	0.8181818181818182	0	0	0
23	1.0	0	1	0
24	0.6923076923076923	0	0	0
25	0.5333333333333333	0	0	0
26	1.0	0	1	0
27	0.5	0	0	0
28	1.0	0	1	0
29	0.8	0	0	0
30	0.0	0	0	0
31	0.47368421052631576	0	0	0
32	1.0	0	1	0
33	0.9482758620689655	0	0	0
34	1.0	0	1	0
35	1.0	0	1	0
36	1.0	0	1	0
37	1.0	0	1	0
38	1.0	0	1	0
39	1.0	0	1	0
40	1.0	0	1	0
41	0.5	0	0	0
42	1.0	0	1	0
43	0.5	0	0	0
44	0.10294117647058823	0	0	0
45	0.6060606060606061	0	0	0
46	0.9333333333333333	0	0	0
47	0.8181818181818182	0	0	0
48	0.5	0	0	0
49	0.4838709677419355	0	0	0
50	0.0	0	0	0
51	0.7647058823529411	0	0	0
52	1.0	0	1	0
53	1.0	0	1	0
54	1.0	0	1	0
55	1.0	0	1	0
56	1.0	0	1	0
57	1.0	0	1	0
58	1.0	0	1	0
59	1.0	0	1	0
60	1.0	0	1	0
61	1.0	0	1	0
62	0.45454545454545453	0	0	0
63	0.5555555555555556	0	0	0
64	1.0	0	1	0
65	0.6666666666666666	0	0	0
66	0.6	0	0	0
67	0.7272727272727273	0	0	0
68	1.0	0	1	0
69	0.11764705882352941	0	0	0
70	1.0	0	1	0
71	0.6666666666666666	0	0	0
72	0.4444444444444444	0	0	0
73	1.0	0	1	0
74	0.6666666666666666	0	0	0
75	1.0	0	1	0
76	1.0	0	1	0
77	1.0	0	1	0
78	0.6666666666666666	0	0	0
79	1.0	0	1	0
80	1.0	0	1	0
81	1.0	0	1	0
82	1.0	0	1	0
83	0.0	0	0	0
84	1.0	0	1	0
85	0.25	0	0	0
86	1.0	0	1	0
87	1.0	0	1	0
88	1.0	0	1	0
89	1.0	0	1	0
90	1.0	0	1	0
91	1.0	0	1	0
92	0.6666666666666666	0	0	0
93	0.45	0	0	0
94	0.0	0	0	0
95	0.5	0	0	0
96	1.0	0	1	0
97	0.01509433962264151	0	0	0
98	0.875	0	0	0
99	1.0	0	1	0
100	0.0	1	1	0
101	0.3333333333333333	0	0	0
102	0.8947368421052632	0	0	0
103	0.0	0	0	0
104	0.5454545454545454	0	0	0
105	1.0	0	1	0
106	0.6	0	0	0
107	0.0	0	0	0
108	0.8947368421052632	0	0	0
109	1.0	0	1	0
110	1.0	0	1	0
111	1.0	0	1	0
112	0.06666666666666667	0	0	0
113	1.0	0	1	0
114	0.0	0	0	0
115	1.0	0	1	0
116	0.75	0	0	0
117	1.0	0	1	0
118	0.68	0	0	0
119	1.0	0	1	0
120	0.25	0	0	0
121	1.0	0	1	0
122	1.0	0	1	0
123	0.20833333333333334	0	0	0
124	0.45454545454545453	0	0	0
125	0.0	1	1	0
126	0.35	0	0	0
127	1.0	0	1	0
128	0.8333333333333334	0	0	0
129	0.14285714285714285	0	0	0
130	0.0782608695652174	0	0	0
131	1.0	0	1	0
132	0.42857142857142855	0	0	0
133	0.25	0	0	0
134	1.0	0	1	0
135	1.0	0	1	0
136	0.25	0	0	0
137	0.23076923076923078	0	0	0
138	0.2	0	0	0
139	1.0	0	1	0
140	0.0	0	0	0
141	1.0	0	1	0
142	0.5	0	0	0
143	0.25	0	0	0
144	0.8181818181818182	0	0	0
145	0.8	0	0	0
146	0.0	0	0	0
147	0.8	0	0	0
148	0.0	0	0	0
149	0.0	0	0	0
