ql1	ql2	ql3
¿Qué universidades con sede en Perú se establecieron a partir de 1950?	¿Qué universidades tienen su sede en Perú?	¿Qué universidades tienen su sede en Perú excluyendo aquellas que se establecieron a partir de 1950?
¿Qué universidades con sede en Perú se establecieron antes de 1950?	¿Qué universidades tienen su sede en Perú?	¿Qué universidades tienen su sede en Perú excluyendo aquellas que se establecieron antes de 1950?
¿Qué artículos publicó Amrapali Zaveri como autora principal?	¿Qué artículos publicó Amrapali Zaveri?	¿Qué artículos publicó Amrapali Zaveri excluyendo aquellos en los que figura como autora principal?
¿Qué países que limitan con Ghana tienen una población mayor que la de Ghana?	¿Qué países limitan con Ghana?	¿Qué países limitan con Ghana excluyendo aquellos que tienen una población mayor que la de Ghana?
¿Qué países que limitan con Ghana tienen una población menor que la de Ghana?	¿Qué países limitan con Ghana?	¿Qué países limitan con Ghana excluyendo aquellos que tienen una población menor que la de Ghana?
¿Qué país que limita con Ghana limita con el mayor número de países?	¿Qué países limitan con Ghana?	¿Qué países limitan con Ghana excluyendo aquel que limita con el mayor número de países?
¿Qué especies existentes pertenecen al orden Monotremata?	¿Qué especies pertenecen al orden Monotremata?	¿Qué especies pertenecen al orden Monotremata excluyendo aquellas que pertenecen al orden Monotremata?
¿Qué especies extintas pertenecen al orden Monotremata?	¿Qué especies pertenecen al orden Monotremata?	¿Qué especies pertenecen al orden Monotremata excluyendo aquellas especies extintas que pertenecen al orden Monotremata?
¿Qué películas de ciencia ficción protagoniza Uma Thurman?	¿Qué películas protagoniza Uma Thurman?	¿Qué películas protagoniza Uma Thurman excluyendo aquellas de ciencia ficción que protagoniza Uma Thurman?
¿Quién es la esposa de Elon Musk?	¿Quién es la cónyuge de Elon Musk?	¿Quién es la cónyuge de Elon Musk excluyendo a su esposa?
¿Quién es el esposo de Elon Musk?	¿Quién es el cónyuge de Elon Musk?	¿Quién es el cónyuge de Elon Musk excluyendo a su esposo?
¿Quiénes son los editores en jefe de EMMA?	¿Quiénes son los editores de EMMA?	¿Quiénes son los editores de EMMA excluyendo a quienes son editores en jefe de EMMA?
¿En qué revistas ha publicado Amrapali Zaveri como autora principal?	¿En qué revistas ha publicado Amrapali Zaveri?	¿En qué revistas ha publicado Amrapali Zaveri excluyendo aquellas en las que figura como autora principal?
¿Qué partículas elementales interactúan con la fuerza fuerte y la fuerza débil?	¿Qué partículas elementales interactúan con la fuerza débil?	¿Qué partículas elementales interactúan con la fuerza débil excluyendo aquellas que interactúan tanto con la fuerza fuerte como con la débil?
¿Qué partículas elementales interactúan con la fuerza fuerte y la fuerza débil?	¿Qué partículas elementales interactúan con la fuerza fuerte?	¿Qué partículas elementales interactúan con la fuerza fuerte excluyendo aquellas que interactúan con la fuerza débil?
¿Qué guerras civiles comenzaron en Sudamérica en el siglo XIX?	¿Qué guerras civiles tuvieron lugar en Sudamérica?	¿Qué guerras civiles tuvieron lugar en Sudamérica excluyendo aquellas que comenzaron en Sudamérica en el siglo XIX?
¿Qué guerras civiles comenzaron en Sudamérica en el siglo XIX?	¿Qué guerras civiles comenzaron en el siglo XIX?	¿Qué guerras civiles comenzaron en el siglo XIX excluyendo aquellas que comenzaron en Sudamérica en el siglo XIX?
¿Quién fue el último santo en morir por crucifixión?	¿Qué santos murieron por crucifixión?	¿Qué santos murieron por crucifixión excluyendo al último santo que murió por crucifixión?
¿Qué edificios combinan funcionalismo y brutalismo?	¿Qué edificios son brutalistas?	¿Qué edificios son brutalistas excluyendo aquellos que combinan funcionalismo y brutalismo?
¿Qué edificios combinan funcionalismo y brutalismo?	¿Qué edificios son funcionalistas?	¿Qué edificios son funcionalistas excluyendo aquellos que combinan funcionalismo y brutalismo?
¿Qué otros edificios funcionalistas tienen el mismo arquitecto que el edificio Tsentrosoyuz?	¿Qué otros edificios tienen el mismo arquitecto que el edificio Tsentrosoyuz?	¿Qué otros edificios tienen el mismo arquitecto excluyendo el edificio Tsentrosoyuz?
¿Qué lenguas oficiales de la Unión Europea no son indoeuropeas?	¿Cuáles son las lenguas oficiales de la Unión Europea?	¿Cuáles son las lenguas oficiales de la Unión Europea excluyendo aquellas que no son indoeuropeas?
¿Qué lenguas oficiales de la Unión Europea no son indoeuropeas?	¿Qué lenguas naturales no son indoeuropeas?	¿Qué lenguas naturales no son indoeuropeas excluyendo las lenguas de la Unión Europea?
¿Qué futbolistas nacidos en Senegal han jugado para Francia y el Inter de Milán?	¿Qué futbolistas nacidos en Senegal han jugado para Francia?	¿Qué futbolistas nacidos en Senegal han jugado para Francia excluyendo a los que han jugado en el Inter de Milán?
¿Qué centrocampistas de fútbol nacidos en Senegal han jugado para Francia?	¿Qué futbolistas nacidos en Senegal han jugado para Francia?	¿Qué futbolistas nacidos en Senegal han jugado para Francia excluyendo a aquellos que son centrocampistas de fútbol?
¿Qué telescopios están ubicados en Chile?	¿Qué telescopios están ubicados en Chile o en países que limitan con Chile?	¿Qué telescopios están ubicados en países que limitan con Chile excluyendo aquellos ubicados en Chile?
¿Qué telescopios están ubicados en países que limitan con Chile?	¿Qué telescopios están ubicados en Chile o en países que limitan con Chile?	¿Qué telescopios están ubicados en Chile o en países que limitan con Chile excluyendo aquellos ubicados en países que limitan con Chile?
¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro mediante captura electrónica?	¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro?	¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro excluyendo aquellos que lo hacen mediante captura electrónica?
¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro?	¿Qué isótopos de carbono pueden desintegrarse recursivamente en isótopos de boro?	¿Qué isótopos de carbono pueden desintegrarse recursivamente en isótopos de boro excluyendo aquellos que pueden desintegrarse en isótopos de boro?
