QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.4666666666666667	0	0	0
2	0.6363636363636364	0	0	0
3	1.0	0	1	0
4	0.49473684210526314	0	0	0
5	1.0	0	1	0
6	0.425	0	0	0
7	0.75	0	0	0
8	1.0	0	1	0
9	1.0	0	1	0
10	1.0	0	1	0
11	1.0	0	1	0
12	1.0	0	1	0
13	0.978494623655914	0	0	0
14	1.0	0	1	0
15	0.8636363636363636	0	0	0
16	1.0	0	1	0
17	1.0	0	1	0
18	1.0	0	1	0
19	0.6530612244897959	0	0	0
20	0.6666666666666666	0	0	0
21	0.2	0	0	0
22	1.0	0	1	0
23	0.8596491228070176	0	0	0
24	0.8181818181818182	0	0	0
25	1.0	0	1	0
26	0.9411764705882353	0	0	0
27	1.0	0	1	0
28	0.6666666666666666	0	0	0
29	1.0	0	1	0
30	1.0	0	1	0
31	0.5	0	0	0
32	1.0	0	1	0
33	0.9795918367346939	0	0	0
34	1.0	0	1	0
35	1.0	0	1	0
36	1.0	0	1	0
37	1.0	0	1	0
38	0.0	0	0	0
39	1.0	0	1	0
40	1.0	0	1	0
41	1.0	0	1	0
42	1.0	0	1	0
43	0.8596491228070176	0	0	0
44	0.9534883720930233	0	0	0
45	1.0	0	1	0
46	1.0	0	1	0
47	0.6428571428571429	0	0	0
48	1.0	0	1	0
49	0.96875	0	0	0
50	1.0	0	1	0
51	1.0	0	1	0
52	1.0	0	1	0
53	1.0	0	1	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.0	0	0	0
57	1.0	0	1	0
58	1.0	0	1	0
59	0.971830985915493	0	0	0
60	1.0	0	1	0
61	1.0	0	1	0
62	0.9545454545454546	0	0	0
63	1.0	0	1	0
64	0.8571428571428571	0	0	0
65	1.0	0	1	0
66	0.875	0	0	0
67	0.9	0	0	0
68	0.0	0	0	0
69	1.0	0	1	0
70	1.0	0	1	0
71	0.0	0	0	0
72	1.0	0	1	0
73	0.7777777777777778	0	0	0
74	1.0	0	1	0
75	1.0	0	1	0
76	0.8181818181818182	0	0	0
77	0.6875	0	0	0
78	1.0	0	1	0
79	1.0	0	1	0
80	0.7058823529411765	0	0	0
81	1.0	0	1	0
82	1.0	0	1	0
83	1.0	0	1	0
84	0.6923076923076923	0	0	0
85	1.0	0	1	0
86	1.0	0	1	0
87	0.7543859649122807	0	0	0
88	0.5	0	0	0
89	0.9	0	0	0
90	0.7	0	0	0
91	1.0	0	1	0
92	0.8709677419354839	0	0	0
93	1.0	0	1	0
94	1.0	0	1	0
95	1.0	0	1	0
96	1.0	0	1	0
97	0.25	0	0	0
98	1.0	0	1	0
99	1.0	0	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	1.0	0	1	0
103	1.0	0	1	0
104	0.375	0	0	0
105	0.3793103448275862	0	0	0
106	1.0	0	1	0
107	0.525	0	0	0
108	1.0	0	1	0
109	0.6818181818181818	0	0	0
110	1.0	0	1	0
111	1.0	0	1	0
112	1.0	0	1	0
113	0.0	0	0	0
114	0.8235294117647058	0	0	0
115	1.0	0	1	0
116	1.0	0	1	0
117	1.0	0	1	0
118	1.0	0	1	0
119	1.0	0	1	0
120	1.0	0	1	0
121	0.38095238095238093	0	0	0
122	1.0	0	1	0
123	1.0	0	1	0
124	1.0	0	1	0
125	1.0	0	1	0
126	1.0	0	1	0
127	1.0	0	1	0
128	1.0	0	1	0
129	1.0	0	1	0
130	0.0	0	0	0
131	0.8125	0	0	0
132	1.0	0	1	0
133	0.9777777777777777	0	0	0
134	0.7777777777777778	0	0	0
135	1.0	0	1	0
136	1.0	0	1	0
137	1.0	0	1	0
138	0.46153846153846156	0	0	0
139	1.0	0	1	0
140	1.0	0	1	0
141	1.0	0	1	0
142	0.18181818181818182	0	0	0
143	1.0	0	1	0
144	0.17647058823529413	0	0	0
145	0.3783783783783784	0	0	0
146	1.0	0	1	0
147	1.0	0	1	0
148	0.6666666666666666	0	0	0
149	0.45454545454545453	0	0	0
