QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.0	0	0
1	0.09090909090909091	0	0
2	0.18181818181818182	0	0
3	0.0	0	0
4	0.0	0	0
5	0.6666666666666666	0	0
6	1.0	0	1
7	1.0	0	1
8	0.0	0	0
9	0.0	0	0
10	0.0	0	0
11	0.0	0	0
12	0.0	0	0
13	0.5	0	0
14	0.0	0	0
15	0.5	0	0
16	0.0	0	0
17	0.0	0	0
18	0.125	0	0
19	0.2	0	0
20	0.0	0	0
21	0.0	0	0
22	0.0	0	0
23	0.07692307692307693	0	0
24	0.0	0	0
25	0.0	0	0
26	0.4	0	0
27	0.0	0	0
28	0.0	0	0
29	0.0	0	0
30	0.5	0	0
31	0.5	0	0
32	0.0	0	0
33	0.5	0	0
34	0.42857142857142855	0	0
35	0.45	0	0
36	1.0	0	1
37	0.0	0	0
38	0.14285714285714285	0	0
