new_Q_ID,dataset,Q_ID,Q1,Q2,Q3,Q4,A1,A2,A3,A4,golden_llm,golden_action,llm_rank,?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,idk_A1,idk_A2,idk_A3,idk_A4,n_consistent_zeroshot,n_consistent_all_actions,n_consistent_llms,overall_consistency_ratio,?A1=A2_ratio,?A1>A3_ratio,?A1>A4_ratio,?A3∅A4_ratio,?A4=A1|3_ratio,idk_A1_ratio,idk_A2_ratio,idk_A3_ratio,idk_A4_ratio,at_least_one_restriction_ratio
LC-QuAD-0,LC-QuAD,0,In which cities did Jan Brueghel the Elder live and work?,In what cities did Jan Brueghel the Elder live and carry out his work?,In which Italian cities did Jan Brueghel the Elder live and work?,In which cities outside Italy did Jan Brueghel the Elder live and work?,"['Brussels', 'Naples', 'Milan', 'Rome', 'Antwerp']","['Brussels', 'Naples', 'Milan', 'Rome', 'Antwerp']","['Naples', 'Milan', 'Rome']","['Brussels', 'Antwerp']",o3,zero-shot,1,1,1,1,1,1,0,0,0,0,1,10,8,0.15625,0.65625,0.75,0.734375,0.765625,0.421875,0.125,0.140625,0.5,0.171875,0.9375
LC-QuAD-1,LC-QuAD,1,What are the tributaries of the Rhône River?,Which tributaries does the Rhône have?,Which tributaries join the Rhône River in Switzerland?,Which tributaries join the Rhône River outside Switzerland?,"['Garon', 'Saltina', 'Guiers', 'Isère', 'Ouvèze', 'Allondon', 'Durance', 'Ain', 'Massa', 'Doux', 'Valserine', 'Cèze', 'Bourbre', 'Lizerne', 'Trient', 'Lonza', 'Dala', 'Aigues', 'Laire', 'Fier', 'Eyrieux', 'Gier', 'Drôme', 'Drance', 'Arve', 'Saône', 'Gardon', 'Gère', 'Ardèche', 'Turtmänna', 'Vispa']","['Garon', 'Saltina', 'Guiers', 'Isère', 'Ouvèze', 'Allondon', 'Durance', 'Ain', 'Massa', 'Doux', 'Valserine', 'Cèze', 'Bourbre', 'Lizerne', 'Trient', 'Lonza', 'Dala', 'Aigues', 'Laire', 'Fier', 'Eyrieux', 'Gier', 'Drôme', 'Drance', 'Arve', 'Saône', 'Gardon', 'Gère', 'Ardèche', 'Turtmänna', 'Vispa']","['Trient', 'Lonza', 'Massa', 'Arve', 'Saltina', 'Venoge', 'Vispa', 'Dranse']","['Garon', 'Guiers', 'Isère', 'Ouvèze', 'Durance', 'Ain', 'Doux', 'Valserine', 'Cèze', 'Bourbre', 'Aigues', 'Fier', 'Eyrieux', 'Gier', 'Drôme', 'Saône', 'Gardon', 'Gère', 'Ardèche']",gemini-2.5-pro,fixing,3,1,1,1,1,1,0,0,0,0,0,3,3,0.046875,0.625,0.5625,0.640625,0.671875,0.125,0.265625,0.234375,0.5625,0.28125,0.953125
LC-QuAD-10,LC-QuAD,10,What countries border Senegal and are members of AFRISTAT?,Which countries that Senegal borders are members of AFRISTAT?,Which country that borders Senegal is a member of AFRISTAT and hosts its headquarters?,Which countries that border Senegal are members of AFRISTAT but do not host its headquarters?,"['Guinea-Bissau', 'Mali', 'Guinea', 'Mauritania']","['Guinea-Bissau', 'Mali', 'Guinea', 'Mauritania']",['Mali'],"['Guinea-Bissau', 'Guinea', 'Mauritania']",gemini-2.5-flash,zero-shot,6,1,1,1,1,1,0,0,0,0,1,9,8,0.140625,0.484375,0.78125,0.671875,0.796875,0.375,0.109375,0.09375,0.328125,0.15625,0.953125
LC-QuAD-100,LC-QuAD,100,What novels did Truman Capote write?,Which novels were authored by Truman Capote?,What novels authored by Truman Capote were published during his lifetime?,What novels authored by Truman Capote were published posthumously?,"['Summer Crossing', 'In Cold Blood', 'Answered Prayers', ""Breakfast at Tiffany's"", 'The Grass Harp', 'Other Voices, Other Rooms']","['Summer Crossing', 'In Cold Blood', 'Answered Prayers', ""Breakfast at Tiffany's"", 'The Grass Harp', 'Other Voices, Other Rooms']","['The Grass Harp', 'Other Voices, Other Rooms', 'In Cold Blood', ""Breakfast at Tiffany's""]","['Answered Prayers', 'Summer Crossing']",gpt-5,fixing,0,1,1,1,1,1,0,0,0,0,0,8,7,0.125,0.578125,0.796875,0.546875,0.859375,0.4375,0.046875,0.046875,0.296875,0.203125,0.96875
LC-QuAD-101,LC-QuAD,101,What are the business divisions of Ford Motor Company?,List all business divisions of Ford Motor Company.,Which business divisions of Ford Motor Company focus on electric cars?,Which business divisions of Ford Motor Company do not focus on electric cars?,"['Ford Model e', 'Ford Credit', 'Ford Pro', 'Ford Blue', 'Ford Next']","['Ford Model e', 'Ford Credit', 'Ford Pro', 'Ford Blue', 'Ford Next']",['Ford Model e'],"['Ford Next', 'Ford Pro', 'Ford Blue', 'Ford Credit']",gpt-4.1-2025-04-14,zero-shot,9,1,1,1,1,1,0,0,0,0,1,9,8,0.140625,0.5625,0.6875,0.65625,0.8125,0.40625,0.15625,0.171875,0.359375,0.140625,0.96875
LC-QuAD-102,LC-QuAD,102,What commanders fought in the Battle of Austerlitz?,Which commanders participated in the Battle of Austerlitz?,What commanders fought for France in the Battle of Austerlitz?,What commanders fought against France in the Battle of Austerlitz?,"['Napoleon Bonaparte', 'Franz von Weyrother', 'Jean Lannes', 'Alexander 1', 'Johann von Liechtenstein', 'Jean Baptiste Bernadotte', 'Louis Alexandre Berthier', 'Jean Baptiste Bessières', 'Fyodor Buxhoeveden', 'Franz Kolowrat-Liebsteinsky', 'Nikolay Tormasov', 'Karl von Langeron', 'Pyotr Bagration', 'Michael von Kienmayer', 'Mikhail Kutuzov', 'Francis 2', 'Nicolas Jean de Dieu Soult', 'Dmitry Dokhturov', 'Mikhail Miloradovich', 'Louis Nicolas Davout', 'Joachim Murat', 'Andrey Gorchakov']","['Napoleon Bonaparte', 'Franz von Weyrother', 'Jean Lannes', 'Alexander 1', 'Johann von Liechtenstein', 'Jean Baptiste Bernadotte', 'Louis Alexandre Berthier', 'Jean Baptiste Bessières', 'Fyodor Buxhoeveden', 'Franz Kolowrat-Liebsteinsky', 'Nikolay Tormasov', 'Karl von Langeron', 'Pyotr Bagration', 'Michael von Kienmayer', 'Mikhail Kutuzov', 'Francis 2', 'Nicolas Jean de Dieu Soult', 'Dmitry Dokhturov', 'Mikhail Miloradovich', 'Louis Nicolas Davout', 'Joachim Murat', 'Andrey Gorchakov']","['François Joseph Lefebvre', 'Louis Nicolas Davout', 'Napoleon Bonaparte', 'Joachim Murat', 'Jean Lannes', 'Jean Baptiste Bessieres', 'Nicolas Jean de Dieu Soult']","['Johann 1 Joseph von Liechtenstein', 'Ignaz Gyulai', 'Mikhail Illarionovich Kutuzov', 'Michael von Kienmayer', 'Peter Bagration', 'Alexander Langeron', 'Francis 2', 'Friedrich Wilhelm von Buxhoeveden', 'Franz von Weyrother', 'Johann Kolowrat Liebsteinsky', 'Dmitry Dokhturov', 'Mikhail Miloradovich', 'Alexander 1']",o3,fixing,1,1,1,1,1,1,0,0,0,0,0,5,5,0.078125,0.5625,0.5625,0.625,0.8125,0.265625,0.15625,0.171875,0.421875,0.140625,0.984375
LC-QuAD-103,LC-QuAD,103,What are the names of the characters from the movie E.T. The Extra-Terrestrial?,List the names of all characters featured in the movie E.T. The Extra-Terrestrial.,What are the names of the human characters from the movie E.T. The Extra-Terrestrial?,What are the names of the non-human characters from the movie E.T. The Extra-Terrestrial?,"['Government Agent', 'Greg', 'Tyler', 'Elliott', 'Science Teacher', 'Medical Unit Technician', 'Harvey', 'School Nurse', 'Medical Unit Doctor', 'Michael', 'Mary', 'Van Man', 'Extra Terrestrial', 'Pretty Girl', 'Steve', 'Policeman', 'Keys', 'Gertie']","['Government Agent', 'Greg', 'Tyler', 'Elliott', 'Science Teacher', 'Medical Unit Technician', 'Harvey', 'School Nurse', 'Medical Unit Doctor', 'Michael', 'Mary', 'Van Man', 'Extra Terrestrial', 'Pretty Girl', 'Steve', 'Policeman', 'Keys', 'Gertie']","['Greg', 'Tyler', 'Elliott', 'Michael', 'Mary', 'Steve', 'Keys', 'Gertie']","['Harvey', 'Extra Terrestrial']",o3,fixing,1,1,1,1,1,1,0,0,0,0,0,8,8,0.125,0.5,0.765625,0.65625,0.84375,0.40625,0.203125,0.25,0.421875,0.09375,0.984375
LC-QuAD-104,LC-QuAD,104,Which singles with Loretta Lynn reached No. 1 on the Billboard Hot Country Songs chart?,Which Loretta Lynn songs hit the top of the Billboard Hot Country Songs?,Which of Loretta Lynn's solo singles reached No. 1 on the Billboard Hot Country Songs chart?,Which of Loretta Lynn's singles in which she collaborates with other artists reached No. 1 on the Billboard Hot Country Songs chart?,"[""Coal Miner's Daughter"", ""Somebody Somewhere (Don't Know What He's Got)"", ""Don't Come Home A-Drinkin' (With Lovin' on Your Mind)"", 'As Soon as I Hang Up the Phone', 'Louisiana Woman, Mississippi Man', ""One's on the Way"", ""She's Got You"", 'Love Is the Foundation', 'Woman of the World (Leave My World Alone)', 'After the Fire Is Gone', ""Feelin's"", ""Rated 'X'"", 'Fist City', 'Out of My Head and Back in My Bed', 'Lead Me On']","[""Coal Miner's Daughter"", ""Somebody Somewhere (Don't Know What He's Got)"", ""Don't Come Home A-Drinkin' (With Lovin' on Your Mind)"", 'As Soon as I Hang Up the Phone', 'Louisiana Woman, Mississippi Man', ""One's on the Way"", ""She's Got You"", 'Love Is the Foundation', 'Woman of the World (Leave My World Alone)', 'After the Fire Is Gone', ""Feelin's"", ""Rated 'X'"", 'Fist City', 'Out of My Head and Back in My Bed', 'Lead Me On']","['Trouble in Paradise', ""Coal Miner's Daughter"", ""Don't Come Home A-Drinkin' (With Lovin' on Your Mind)"", ""One's on the Way"", ""Somebody Somewhere (Don't Know What He's Missin' Tonight)"", 'Love Is the Foundation', 'Woman of the World (Leave My World Alone)', 'Fist City', 'Out of My Head and Back in My Bed', 'Rated ""X""']","['As Soon as I Hang Up the Phone', 'Louisiana Woman, Mississippi Man', ""Feelins'"", 'After the Fire Is Gone', 'Lead Me On']",gpt-5,fixing,0,1,1,1,1,1,0,0,0,0,0,4,4,0.0625,0.4375,0.625,0.578125,0.75,0.234375,0.21875,0.25,0.484375,0.203125,0.953125
LC-QuAD-105,LC-QuAD,105,With which tennis players has Billie Jean King won Grand Slams in doubles or mixed doubles?,With which male and female tennis players has Billie Jean King won Grand Slams in doubles?,With which tennis players has Billie Jean King won Grand Slams in doubles (excluding mixed doubles)?,With which tennis players has Billie Jean King won Grand Slams in mixed doubles?,"['Maria Bueno', 'Dennis Ralston', 'Margaret Court', 'Bob Hewitt', 'Rosemary Casals', 'Betty Stove', 'Owen Davidson', 'Martina Navratilova', 'Karen Hantze Susman']","['Maria Bueno', 'Dennis Ralston', 'Margaret Court', 'Bob Hewitt', 'Rosemary Casals', 'Betty Stove', 'Owen Davidson', 'Martina Navratilova', 'Karen Hantze Susman']","['Maria Bueno', 'Betty Stöve', 'Margaret Court', 'Rosemary Casals', 'Martina Navratilova', 'Karen Hantze Susman']","['Bob Hewitt', 'Owen Davidson', 'Dick Crealy']",o3,fixing,1,1,1,1,1,1,0,0,0,0,0,6,6,0.09375,0.40625,0.6875,0.609375,0.734375,0.234375,0.3125,0.28125,0.453125,0.25,1.0
LC-QuAD-106,LC-QuAD,106,Who were Johann Wolfgang von Goethe's grandparents?,Who were Johann Wolfgang von Goethe's grandmothers and grandfathers?,Who were Johann Wolfgang von Goethe's maternal grandparents?,Who were Johann Wolfgang von Goethe's paternal grandparents?,"['Johann Wolfgang Textor', 'Anna Margaretha Lindheimer', 'Cornelia Maria Walther', 'Friedrich Georg Goethe']","['Johann Wolfgang Textor', 'Anna Margaretha Lindheimer', 'Cornelia Maria Walther', 'Friedrich Georg Goethe']","['Anna Margaretha Textor née Lindheimer', 'Johann Wolfgang Textor']","['Friedrich Georg Goethe', 'Cornelia Walther']",gpt-5,fixing,0,1,1,1,1,1,0,0,0,0,0,8,8,0.125,0.5625,0.71875,0.609375,0.765625,0.3125,0.296875,0.25,0.453125,0.25,1.0
