QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.6666666666666666	0	0	0
2	0.0	0	0	0
3	1.0	0	1	0
4	0.5416666666666666	0	0	0
5	1.0	0	1	0
6	0.55	0	0	0
7	0.5	0	0	0
8	1.0	0	1	0
9	0.9375	0	0	0
10	1.0	0	1	0
11	1.0	0	1	0
12	0.32	0	0	0
13	0.967741935483871	0	0	0
14	1.0	0	1	0
15	0.358974358974359	0	0	0
16	1.0	0	1	0
17	1.0	0	1	0
18	1.0	0	1	0
19	0.6842105263157895	0	0	0
20	0.6666666666666666	0	0	0
21	1.0	0	1	0
22	1.0	0	1	0
23	0.8412698412698413	0	0	0
24	1.0	0	1	0
25	0.8666666666666667	0	0	0
26	1.0	0	1	0
27	1.0	0	1	0
28	1.0	0	1	0
29	1.0	0	1	0
30	0.8888888888888888	0	0	0
31	0.75	0	0	0
32	1.0	0	1	0
33	0.9361702127659575	0	0	0
34	1.0	0	1	0
35	1.0	0	1	0
36	1.0	0	1	0
37	1.0	0	1	0
38	0.7333333333333333	0	0	0
39	1.0	0	1	0
40	1.0	0	1	0
41	1.0	0	1	0
42	1.0	0	1	0
43	0.7288135593220338	0	0	0
44	0.9130434782608695	0	0	0
45	1.0	0	1	0
46	1.0	0	1	0
47	0.46153846153846156	0	0	0
48	1.0	0	1	0
49	1.0	0	1	0
50	1.0	0	1	0
51	1.0	0	1	0
52	1.0	0	1	0
53	0.8043478260869565	0	0	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.0	0	0	0
57	0.6	0	0	0
58	1.0	0	1	0
59	0.9066666666666666	0	0	0
60	1.0	0	1	0
61	1.0	0	1	0
62	1.0	0	1	0
63	1.0	0	1	0
64	0.9090909090909091	0	0	0
65	1.0	0	1	0
66	0.9	0	0	0
67	1.0	0	1	0
68	0.47619047619047616	0	0	0
69	0.0	0	0	0
70	1.0	0	1	0
71	0.36363636363636365	0	0	0
72	1.0	0	1	0
73	1.0	0	1	0
74	0.5	0	0	0
75	1.0	0	1	0
76	0.8181818181818182	0	0	0
77	0.6666666666666666	0	0	0
78	1.0	0	1	0
79	1.0	0	1	0
80	0.8421052631578947	0	0	0
81	0.9259259259259259	0	0	0
82	1.0	0	1	0
83	1.0	0	1	0
84	0.057692307692307696	0	0	0
85	1.0	0	1	0
86	1.0	0	1	0
87	0.864406779661017	0	0	0
88	1.0	0	1	0
89	0.95	0	0	0
90	0.8888888888888888	0	0	0
91	1.0	0	1	0
92	0.8275862068965517	0	0	0
93	1.0	0	1	0
94	0.7777777777777778	0	0	0
95	1.0	0	1	0
96	1.0	0	1	0
97	0.375	0	0	0
98	1.0	0	1	0
99	1.0	0	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	1.0	0	1	0
103	1.0	0	1	0
104	0.38461538461538464	0	0	0
105	0.06493506493506493	0	0	0
106	1.0	0	1	0
107	0.1450381679389313	0	0	0
108	1.0	0	1	0
109	0.72	0	0	0
110	1.0	0	1	0
111	1.0	0	1	0
112	0.95	0	0	0
113	0.0	0	0	0
114	0.7647058823529411	0	0	0
115	1.0	0	1	0
116	1.0	0	1	0
117	1.0	0	1	0
118	1.0	0	1	0
119	1.0	0	1	0
120	0.18181818181818182	0	0	0
121	0.35294117647058826	0	0	0
122	1.0	0	1	0
123	1.0	0	1	0
124	1.0	0	1	0
125	1.0	0	1	0
126	1.0	0	1	0
127	0.8333333333333334	0	0	0
128	1.0	0	1	0
129	1.0	0	1	0
130	0.0	0	0	0
131	0.7021276595744681	0	0	0
132	1.0	0	1	0
133	0.9111111111111111	0	0	0
134	1.0	0	1	0
135	1.0	0	1	0
136	1.0	0	1	0
137	1.0	0	1	0
138	0.5789473684210527	0	0	0
139	1.0	0	1	0
140	1.0	0	1	0
141	1.0	0	1	0
142	1.0	0	1	0
143	0.6666666666666666	0	0	0
144	0.17647058823529413	0	0	0
145	0.7058823529411765	0	0	0
146	1.0	0	1	0
147	1.0	0	1	0
148	0.75	0	0	0
149	0.0	0	0	0
