ql1	ql2
¿Qué universidades con sede en Perú se establecieron a partir de 1950?	¿Qué universidades tienen su sede en Perú?
¿Qué universidades con sede en Perú se establecieron antes de 1950?	¿Qué universidades tienen su sede en Perú?
¿Qué artículos publicó Amrapali Zaveri como autora principal?	¿Qué artículos publicó Amrapali Zaveri?
¿Qué países que limitan con Ghana tienen una población mayor que la de Ghana?	¿Qué países limitan con Ghana?
¿Qué países que limitan con Ghana tienen una población menor que la de Ghana?	¿Qué países limitan con Ghana?
¿Qué país que limita con Ghana limita con el mayor número de países?	¿Qué países limitan con Ghana?
¿Qué especies existentes pertenecen al orden Monotremata?	¿Qué especies pertenecen al orden Monotremata?
¿Qué especies extintas pertenecen al orden Monotremata?	¿Qué especies pertenecen al orden Monotremata?
¿Qué películas de ciencia ficción protagoniza Uma Thurman?	¿Qué películas protagoniza Uma Thurman?
¿Quién es la esposa de Elon Musk?	¿Quién es la cónyuge de Elon Musk?
¿Quién es el esposo de Elon Musk?	¿Quién es el cónyuge de Elon Musk?
¿Quiénes son los editores en jefe de EMMA?	¿Quiénes son los editores de EMMA?
¿En qué revistas ha publicado Amrapali Zaveri como autora principal?	¿En qué revistas ha publicado Amrapali Zaveri?
¿Qué partículas elementales interactúan con la fuerza fuerte y la fuerza débil?	¿Qué partículas elementales interactúan con la fuerza débil?
¿Qué partículas elementales interactúan con la fuerza fuerte y la fuerza débil?	¿Qué partículas elementales interactúan con la fuerza fuerte?
¿Qué guerras civiles comenzaron en Sudamérica en el siglo XIX?	¿Qué guerras civiles tuvieron lugar en Sudamérica?
¿Qué guerras civiles comenzaron en Sudamérica en el siglo XIX?	¿Qué guerras civiles comenzaron en el siglo XIX?
¿Quién fue el último santo en morir por crucifixión?	¿Qué santos murieron por crucifixión?
¿Qué edificios combinan funcionalismo y brutalismo?	¿Qué edificios son brutalistas?
¿Qué edificios combinan funcionalismo y brutalismo?	¿Qué edificios son funcionalistas?
¿Qué otros edificios funcionalistas tienen el mismo arquitecto que el edificio Tsentrosoyuz?	¿Qué otros edificios tienen el mismo arquitecto que el edificio Tsentrosoyuz?
¿Qué lenguas oficiales de la Unión Europea no son indoeuropeas?	¿Cuáles son las lenguas oficiales de la Unión Europea?
¿Qué lenguas oficiales de la Unión Europea no son indoeuropeas?	¿Qué lenguas naturales no son indoeuropeas?
¿Qué futbolistas nacidos en Senegal han jugado para Francia y el Inter de Milán?	¿Qué futbolistas nacidos en Senegal han jugado para Francia?
¿Qué centrocampistas de fútbol nacidos en Senegal han jugado para Francia?	¿Qué futbolistas nacidos en Senegal han jugado para Francia?
¿Qué telescopios están ubicados en Chile?	¿Qué telescopios están ubicados en Chile o en países que limitan con Chile?
¿Qué telescopios están ubicados en países que limitan con Chile?	¿Qué telescopios están ubicados en Chile o en países que limitan con Chile?
¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro mediante captura electrónica?	¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro?
¿Qué isótopos de carbono pueden desintegrarse en isótopos de boro?	¿Qué isótopos de carbono pueden desintegrarse recursivamente en isótopos de boro?
¿Cuál fue la última novela publicada por Harper Lee?	¿Qué novelas escribió Harper Lee?
¿Cuál fue la primera novela publicada por Harper Lee?	¿Qué novelas escribió Harper Lee?
¿Cuál fue la segunda novela publicada por Harper Lee?	¿Qué novelas fueron escritas por Harper Lee?
¿Qué novelas escritas por Harper Lee fueron adaptadas al cine?	¿Qué novelas fueron escritas por Harper Lee?
¿Qué países forman parte del G20 y de la Liga Árabe?	¿Qué países forman parte del G20?
¿Qué países forman parte del G20 pero no de la Liga Árabe?	¿Qué países forman parte del G20?
¿Qué países forman parte del G20?	¿Cuáles son los miembros del G20?
¿Qué especies endémicas de Chile están en peligro de extinción?	¿Qué especies son endémicas de Chile?
¿Qué especies endémicas de Chile no están en peligro de extinción?	¿Qué especies son endémicas de Chile?
