QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.0	0	0
1	0.4	0	0
2	1.0	0	1
3	1.0	0	1
4	1.0	0	1
5	1.0	0	1
6	1.0	0	1
7	0.0	0	0
8	0.0	0	0
9	1.0	0	1
10	1.0	0	1
11	1.0	0	1
12	1.0	0	1
13	0.4918032786885246	0	0
14	1.0	0	1
15	0.0	0	0
16	0.5	0	0
17	0.0	1	1
18	0.0	0	0
19	0.2777777777777778	0	0
20	0.2	0	0
21	0.0	1	1
22	0.5	0	0
23	0.3333333333333333	0	0
24	0.5	0	0
25	1.0	0	1
26	0.5	0	0
27	1.0	0	1
28	0.0	0	0
29	1.0	0	1
30	0.0	1	1
31	1.0	0	1
32	0.3333333333333333	0	0
33	0.6	0	0
34	1.0	0	1
35	0.0	0	0
36	0.26666666666666666	0	0
37	0.45161290322580644	0	0
38	0.0	0	0
39	1.0	0	1
40	0.5	0	0
41	0.0	0	0
42	0.0	0	0
43	1.0	0	1
44	0.0	0	0
45	0.0	0	0
46	0.8620689655172413	0	0
47	0.0	0	0
48	1.0	0	1
49	1.0	0	1
