QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.03571428571428571	0	0
1	0.5454545454545454	0	0
2	0.42857142857142855	0	0
3	0.4	0	0
4	1.0	0	1
5	1.0	0	1
6	1.0	0	1
7	0.5	0	0
8	0.5	0	0
9	1.0	0	1
10	1.0	0	1
11	1.0	0	1
12	1.0	0	1
13	1.0	0	1
14	1.0	0	1
15	1.0	0	1
16	1.0	0	1
17	1.0	0	1
18	1.0	0	1
19	0.0	0	0
20	0.0	0	0
21	0.0	0	0
22	0.0	0	0
23	0.0	0	0
24	1.0	0	1
25	0.0	0	0
26	1.0	0	1
27	1.0	0	1
28	1.0	0	1
29	1.0	0	1
30	0.0	0	0
31	0.0	0	0
32	1.0	0	1
33	1.0	0	1
34	0.0	0	0
35	0.0	0	0
36	1.0	0	1
37	0.0	0	0
38	1.0	0	1
39	1.0	0	1
40	0.0	0	0
41	0.0	0	0
42	0.9607843137254902	0	0
43	1.0	0	1
44	0.0	0	0
45	0.6666666666666666	0	0
46	0.6666666666666666	0	0
47	0.0	1	1
48	0.0	1	1
49	0.0	0	0
50	1.0	0	1
51	0.42857142857142855	0	0
52	0.7	0	0
53	0.0	0	0
54	0.0	0	0
55	0.5	0	0
56	0.0	0	0
57	0.0	1	1
58	0.0	1	1
59	0.0	0	0
60	0.5	0	0
61	0.0	0	0
62	0.5	0	0
63	1.0	0	1
64	0.0	0	0
65	1.0	0	1
66	1.0	0	1
67	0.0	0	0
68	0.0	0	0
69	0.5	0	0
70	0.5	0	0
71	0.6	0	0
72	0.3333333333333333	0	0
73	1.0	0	1
74	0.5	0	0
75	1.0	0	1
76	1.0	0	1
77	1.0	0	1
78	1.0	0	1
79	0.2857142857142857	0	0
80	0.35714285714285715	0	0
81	1.0	0	1
82	1.0	0	1
83	1.0	0	1
84	1.0	0	1
85	0.0	0	0
86	0.0	0	0
87	0.0	1	1
88	1.0	0	1
89	0.23809523809523808	0	0
90	0.5416666666666666	0	0
91	0.0	0	0
92	0.0	0	0
93	0.0	0	0
94	1.0	0	1
95	1.0	0	1
96	0.0	0	0
97	0.0	0	0
98	0.3076923076923077	0	0
99	0.8571428571428571	0	0
100	0.8214285714285714	0	0
101	1.0	0	1
102	1.0	0	1
103	1.0	0	1
104	1.0	0	1
105	0.0	1	1
106	1.0	0	1
107	0.0	0	0
108	0.0	0	0
109	0.0	0	0
110	1.0	0	1
111	1.0	0	1
112	1.0	0	1
113	1.0	0	1
114	0.0	0	0
115	0.0	0	0
116	1.0	0	1
117	0.0	0	0
118	1.0	0	1
119	1.0	0	1
120	1.0	0	1
121	1.0	0	1
122	0.0	1	1
123	0.0	0	0
124	0.0	1	1
125	0.0	1	1
126	0.25	0	0
127	0.0	0	0
128	0.0	0	0
129	0.0	1	1
130	1.0	0	1
131	1.0	0	1
132	1.0	0	1
133	0.0	1	1
134	0.5	0	0
135	1.0	0	1
136	1.0	0	1
137	1.0	0	1
138	1.0	0	1
139	0.0	0	0
140	0.0	1	1
141	0.0	1	1
142	0.0	0	0
143	0.25	0	0
144	0.0	0	0
145	0.0	0	0
146	1.0	0	1
147	1.0	0	1
148	0.75	0	0
149	1.0	0	1
150	0.0	0	0
151	0.0	0	0
152	0.0	1	1
153	0.0	1	1
154	0.0	1	1
155	0.0	1	1
156	1.0	0	1
157	0.4918032786885246	0	0
158	0.3333333333333333	0	0
159	0.5	0	0
160	0.0	1	1
161	0.0	0	0
162	0.4	0	0
163	0.0	1	1
164	1.0	0	1
165	1.0	0	1
166	0.4166666666666667	0	0
167	0.9	0	0
168	0.8	0	0
169	0.28	0	0
170	0.0	0	0
171	0.3333333333333333	0	0
172	0.5	0	0
173	0.0	1	1
174	1.0	0	1
175	1.0	0	1
176	1.0	0	1
177	1.0	0	1
178	1.0	0	1
179	1.0	0	1
180	1.0	0	1
181	1.0	0	1
182	0.0	0	0
183	1.0	0	1
184	0.0	0	0
185	0.0	0	0
186	0.0	1	1
187	0.0	1	1
188	1.0	0	1
189	1.0	0	1
190	1.0	0	1
191	1.0	0	1
192	1.0	0	1
193	1.0	0	1
194	1.0	0	1
195	0.8	0	0
196	1.0	0	1
197	0.0	0	0
198	0.0	0	0
199	0.0	0	0
200	1.0	0	1
201	1.0	0	1
202	0.2777777777777778	0	0
203	0.8181818181818182	0	0
204	1.0	0	1
205	1.0	0	1
206	0.0	0	0
207	0.5	0	0
208	0.0	0	0
209	0.25	0	0
210	0.0	0	0
211	1.0	0	1
212	1.0	0	1
213	1.0	0	1
214	0.0	0	0
215	0.42857142857142855	0	0
216	0.6666666666666666	0	0
217	0.6	0	0
218	0.17647058823529413	0	0
219	0.0	0	0
220	0.0	0	0
221	0.45454545454545453	0	0
222	0.0	1	1
223	0.0	1	1
224	0.0	1	1
225	0.0	0	0
226	1.0	0	1
227	0.0	0	0
228	0.0	1	1
229	0.5454545454545454	0	0
230	0.8571428571428571	0	0
231	1.0	0	1
232	1.0	0	1
233	1.0	0	1
234	1.0	0	1
235	1.0	0	1
236	1.0	0	1
237	1.0	0	1
238	0.0	0	0
239	0.0	0	0
240	1.0	0	1
241	1.0	0	1
242	0.0	1	1
243	0.0	1	1
244	0.0	1	1
245	0.0	0	0
246	0.0	0	0
247	0.0	0	0
248	1.0	0	1
249	1.0	0	1
250	1.0	0	1
251	1.0	0	1
252	1.0	0	1
253	0.0	0	0
254	0.0	0	0
255	0.0	0	0
256	1.0	0	1
257	1.0	0	1
258	1.0	0	1
259	0.375	0	0
260	0.5	0	0
261	0.3333333333333333	0	0
262	0.0	0	0
263	0.0	0	0
264	0.0	0	0
265	0.0	0	0
266	1.0	0	1
267	0.7333333333333333	0	0
268	0.3888888888888889	0	0
269	0.5714285714285714	0	0
270	0.5909090909090909	0	0
271	0.4	0	0
272	0.43478260869565216	0	0
273	0.5	0	0
274	0.0	0	0
275	1.0	0	1
276	1.0	0	1
277	0.3333333333333333	0	0
278	1.0	0	1
279	0.5	0	0
280	0.3333333333333333	0	0
281	0.5	0	0
282	0.23076923076923078	0	0
283	0.7	0	0
284	0.8333333333333334	0	0
285	0.4375	0	0
286	1.0	0	1
287	0.0	0	0
288	0.0	1	1
289	0.0	1	1
290	0.0	0	0
291	0.0	0	0
292	0.625	0	0
293	0.8333333333333334	0	0
294	0.5	0	0
295	1.0	0	1
296	1.0	0	1
297	0.0	0	0
298	1.0	0	1
299	1.0	0	1
300	1.0	0	1
