dataset,llm,set_pair,n_questions_with_partial_match,n_partial_match_pairs
LC-QuAD,deepseek-chat,A1×A2,32,226
LC-QuAD,deepseek-chat,A1×A3,22,71
LC-QuAD,deepseek-chat,A1×A4,30,91
LC-QuAD,deepseek-chat,A2×A3,25,60
LC-QuAD,deepseek-chat,A2×A4,33,109
LC-QuAD,deepseek-chat,A3×A4,16,41
LC-QuAD,deepseek-reasoner,A1×A2,29,84
LC-QuAD,deepseek-reasoner,A1×A3,22,40
LC-QuAD,deepseek-reasoner,A1×A4,27,59
LC-QuAD,deepseek-reasoner,A2×A3,26,46
LC-QuAD,deepseek-reasoner,A2×A4,34,74
LC-QuAD,deepseek-reasoner,A3×A4,8,17
LC-QuAD,gemini-2.0-flash,A1×A2,28,91
LC-QuAD,gemini-2.0-flash,A1×A3,11,18
LC-QuAD,gemini-2.0-flash,A1×A4,28,67
LC-QuAD,gemini-2.0-flash,A2×A3,10,31
LC-QuAD,gemini-2.0-flash,A2×A4,23,52
LC-QuAD,gemini-2.0-flash,A3×A4,7,9
LC-QuAD,gemini-2.5-flash,A1×A2,21,109
LC-QuAD,gemini-2.5-flash,A1×A3,17,39
LC-QuAD,gemini-2.5-flash,A1×A4,24,77
LC-QuAD,gemini-2.5-flash,A2×A3,17,43
LC-QuAD,gemini-2.5-flash,A2×A4,26,85
LC-QuAD,gemini-2.5-flash,A3×A4,6,9
LC-QuAD,gemini-2.5-pro,A1×A2,31,135
LC-QuAD,gemini-2.5-pro,A1×A3,27,88
LC-QuAD,gemini-2.5-pro,A1×A4,34,116
LC-QuAD,gemini-2.5-pro,A2×A3,30,85
LC-QuAD,gemini-2.5-pro,A2×A4,34,125
LC-QuAD,gemini-2.5-pro,A3×A4,9,12
LC-QuAD,gpt-4.1-2025-04-14,A1×A2,28,70
LC-QuAD,gpt-4.1-2025-04-14,A1×A3,23,41
LC-QuAD,gpt-4.1-2025-04-14,A1×A4,34,87
LC-QuAD,gpt-4.1-2025-04-14,A2×A3,24,44
LC-QuAD,gpt-4.1-2025-04-14,A2×A4,32,88
LC-QuAD,gpt-4.1-2025-04-14,A3×A4,6,9
LC-QuAD,gpt-4.1-mini-2025-04-14,A1×A2,26,53
LC-QuAD,gpt-4.1-mini-2025-04-14,A1×A3,21,36
LC-QuAD,gpt-4.1-mini-2025-04-14,A1×A4,17,34
LC-QuAD,gpt-4.1-mini-2025-04-14,A2×A3,22,40
LC-QuAD,gpt-4.1-mini-2025-04-14,A2×A4,20,41
LC-QuAD,gpt-4.1-mini-2025-04-14,A3×A4,9,11
LC-QuAD,gpt-4.1-nano-2025-04-14,A1×A2,19,56
LC-QuAD,gpt-4.1-nano-2025-04-14,A1×A3,18,31
LC-QuAD,gpt-4.1-nano-2025-04-14,A1×A4,19,29
