QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.5	0	1	1
1	0.6666666666666666	0	1	1
2	0.0	0	0	1
3	0.65	0	1	1
4	0.1111111111111111	0	0	0
5	0.0	0	1	1
6	1.0	0	1	1
7	0.75	0	1	0
8	0.8	0	1	1
9	0.3333333333333333	0	0	1
10	0.3333333333333333	0	0	1
11	0.3333333333333333	0	1	1
12	1.0	0	1	1
13	1.0	0	1	1
14	0.75	0	1	0
15	1.0	0	1	1
16	0.3333333333333333	0	1	1
17	1.0	0	1	1
18	0.6	0	1	1
19	0.3333333333333333	0	0	1
20	0.5714285714285714	0	1	0
21	0.8888888888888888	0	1	1
22	0.3333333333333333	0	0	1
23	0.8	0	1	0
24	0.28	0	0	0
25	0.30434782608695654	0	0	0
26	1.0	0	1	1
27	0.6	0	0	1
28	0.9523809523809523	0	1	1
29	0.7916666666666666	0	1	0
30	0.16666666666666666	0	0	0
31	0.2682926829268293	0	0	1
32	0.5357142857142857	0	0	1
33	0.6724137931034483	0	1	0
34	1.0	0	1	0
35	1.0	0	1	1
36	0.75	0	1	0
37	0.7272727272727273	0	1	1
38	0.5384615384615384	0	0	1
39	0.6666666666666666	0	1	1
40	0.7407407407407407	0	0	1
41	0.5	0	1	0
42	0.47058823529411764	0	0	0
43	0.6666666666666666	0	0	0
44	0.6097560975609756	0	0	1
45	0.18309859154929578	0	0	1
46	0.782608695652174	0	0	0
47	0.8461538461538461	0	1	0
48	1.0	0	1	0
49	0.4186046511627907	0	0	0
50	0.0	0	1	1
51	0.5483870967741935	0	0	1
52	0.9090909090909091	0	1	1
53	0.4	0	0	1
54	0.6875	0	0	1
55	1.0	0	1	1
56	1.0	0	1	1
57	0.3333333333333333	0	1	1
58	0.5	0	0	1
59	1.0	0	1	1
60	1.0	0	1	1
61	1.0	0	1	0
62	0.25	0	0	0
63	0.45454545454545453	0	0	0
64	0.8	0	1	0
65	0.5185185185185185	0	0	1
66	0.8571428571428571	0	1	0
67	0.5238095238095238	0	0	0
68	0.75	0	1	1
69	0.3157894736842105	0	0	0
70	1.0	0	1	0
71	0.375	0	1	1
72	0.5384615384615384	0	1	0
73	1.0	0	1	1
74	0.7391304347826086	0	1	0
75	0.875	0	1	1
76	1.0	0	1	0
77	0.8333333333333334	0	1	1
78	0.5	0	0	1
79	1.0	0	1	1
80	1.0	0	1	1
81	0.34615384615384615	0	1	0
82	0.75	0	1	1
83	0.10526315789473684	0	0	1
84	0.75	0	1	0
85	0.15	0	0	0
86	1.0	0	1	1
87	1.0	0	1	0
88	0.7	0	1	0
89	1.0	0	1	1
90	1.0	0	1	1
91	0.8	0	1	0
92	0.6	0	1	1
93	0.3125	0	0	0
94	0.05	0	0	1
95	0.6	0	0	1
96	1.0	0	1	1
97	0.33444816053511706	0	0	1
98	0.45454545454545453	0	1	1
99	1.0	0	1	1
100	0.25	0	0	1
101	0.6666666666666666	0	1	0
102	0.25925925925925924	0	0	1
103	0.16666666666666666	0	0	1
104	0.0784313725490196	0	0	0
105	0.23529411764705882	0	1	1
106	0.36363636363636365	0	0	1
107	0.1	0	1	1
108	0.65625	0	0	1
109	0.6666666666666666	0	1	1
110	0.38461538461538464	0	0	1
111	0.5	0	0	1
112	0.36363636363636365	0	0	1
113	0.8571428571428571	0	1	1
114	0.6363636363636364	0	0	1
115	0.5	0	0	1
116	0.6666666666666666	0	0	1
117	1.0	0	1	0
118	0.39473684210526316	0	0	1
119	0.7142857142857143	0	1	1
120	0.3333333333333333	0	0	1
121	1.0	0	1	0
122	0.0	0	0	1
123	0.2	0	0	1
124	0.3	0	0	0
125	0.3333333333333333	0	0	1
126	0.8181818181818182	0	1	1
127	0.0	0	0	1
128	0.5882352941176471	0	0	1
129	1.0	0	1	0
130	0.1728395061728395	0	0	1
131	1.0	0	1	0
132	0.45454545454545453	0	0	0
133	0.0	0	0	0
134	1.0	0	1	1
135	0.8333333333333334	0	1	1
136	1.0	0	1	0
137	0.17857142857142858	0	0	0
138	0.7272727272727273	0	0	1
139	1.0	0	1	1
140	0.0	0	1	1
141	0.4782608695652174	0	0	1
142	0.4	0	0	0
143	0.0	0	1	1
144	0.5925925925925926	0	0	1
145	0.06666666666666667	0	0	0
146	0.8189655172413793	0	0	0
147	0.4	0	1	1
148	0.2	0	0	1
149	0.0	0	0	1
