QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.0	0	0
1	0.125	0	0
2	0.0	0	0
3	1.0	0	1
4	1.0	0	1
5	1.0	0	1
6	1.0	0	1
7	1.0	0	1
8	0.0	0	0
9	0.0	0	0
10	1.0	0	1
11	1.0	0	1
12	0.3333333333333333	0	0
13	0.6428571428571429	0	0
14	1.0	0	1
15	0.0	1	1
16	0.0	1	1
17	0.0	1	1
18	0.0	0	0
19	0.8888888888888888	0	0
20	0.0	0	0
21	0.2	0	0
22	1.0	0	1
23	1.0	0	1
24	0.6666666666666666	0	0
25	1.0	0	1
26	0.3333333333333333	0	0
27	1.0	0	1
28	0.25	0	0
29	0.8571428571428571	0	0
30	0.0	1	1
31	0.9615384615384616	0	0
32	0.0	0	0
33	0.0	0	0
34	1.0	0	1
35	1.0	0	1
36	0.2222222222222222	0	0
37	0.625	0	0
38	1.0	0	1
39	1.0	0	1
40	0.14285714285714285	0	0
41	0.0	0	0
42	0.0	0	0
43	0.4166666666666667	0	0
44	0.0	0	0
45	0.0	0	0
46	0.9285714285714286	0	0
47	1.0	0	1
48	1.0	0	1
49	1.0	0	1
