QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	1.0	0	1	1
2	0.25	0	1	1
3	1.0	0	1	1
4	0.375	0	0	1
5	1.0	0	1	1
6	0.17164179104477612	0	0	0
7	0.8181818181818182	0	1	1
8	1.0	0	1	1
9	1.0	0	1	1
10	0.8181818181818182	0	0	0
11	1.0	0	1	1
12	0.19801980198019803	0	1	1
13	1.0	0	1	1
14	0.0	0	0	0
15	0.2608695652173913	0	0	1
16	0.71875	0	1	1
17	0.5217391304347826	0	1	1
18	0.06	0	0	1
19	0.2	0	0	1
20	0.9803921568627451	0	1	1
21	1.0	0	1	1
22	1.0	0	1	1
23	0.6	0	0	1
24	0.7222222222222222	0	0	0
25	0.048484848484848485	0	0	1
26	1.0	0	1	1
27	1.0	0	1	1
28	1.0	0	1	1
29	0.11666666666666667	0	0	1
30	1.0	0	1	1
31	0.75	0	1	1
32	1.0	0	1	1
33	0.8125	0	0	1
34	1.0	0	1	1
35	1.0	0	1	1
36	0.5	0	0	1
37	0.13793103448275862	0	1	1
38	0.14285714285714285	0	0	0
39	1.0	0	1	0
40	0.65	0	1	0
41	0.3026315789473684	0	0	0
42	0.16560509554140126	0	0	1
43	0.14285714285714285	0	0	1
44	0.6	0	1	1
45	0.3333333333333333	0	1	1
46	0.75	0	0	1
47	0.5714285714285714	0	1	1
48	1.0	0	1	1
49	0.8888888888888888	0	1	1
50	0.75	0	0	1
51	0.6666666666666666	0	1	0
52	0.7857142857142857	0	1	1
53	0.7	0	0	0
54	0.8636363636363636	0	1	1
55	1.0	0	1	0
56	1.0	0	1	0
57	0.21428571428571427	0	0	1
58	1.0	0	1	0
59	0.8	0	1	1
60	1.0	0	1	0
61	0.8235294117647058	0	0	0
62	1.0	0	1	0
63	0.3877551020408163	0	0	1
64	0.04938271604938271	0	0	1
65	0.16129032258064516	0	0	1
66	0.4	0	0	1
67	0.5483870967741935	0	0	0
68	0.6875	0	1	1
69	1.0	0	1	0
70	0.896551724137931	0	1	1
71	0.6764705882352942	0	1	1
72	1.0	0	1	1
73	0.2857142857142857	0	0	1
74	0.8181818181818182	0	0	1
75	1.0	0	1	1
76	0.5789473684210527	0	0	1
77	0.8333333333333334	0	1	0
78	0.8703703703703703	0	1	1
79	0.8461538461538461	0	1	0
80	0.88	0	1	1
81	0.8666666666666667	0	0	1
82	1.0	0	1	1
83	1.0	0	1	1
84	1.0	0	1	1
85	0.8636363636363636	0	0	1
86	0.7027027027027027	0	1	1
87	0.5555555555555556	0	1	1
88	0.6666666666666666	0	0	0
89	1.0	0	1	0
90	0.4358974358974359	0	0	1
91	0.8571428571428571	0	0	0
92	0.5	0	0	1
93	0.36363636363636365	0	0	1
94	0.6	0	1	1
95	0.5	0	0	1
96	0.0	0	0	1
97	0.0	0	0	1
98	0.3076923076923077	0	1	1
99	0.4339622641509434	0	0	1
100	0.42857142857142855	0	1	1
101	0.0	0	0	0
102	0.8571428571428571	0	1	1
103	0.5	0	1	0
104	0.6226415094339622	0	0	1
105	0.2	0	0	1
106	0.21428571428571427	0	0	1
107	0.2857142857142857	0	0	0
108	0.4536082474226804	0	0	1
109	0.0	0	0	0
110	0.6666666666666666	0	0	1
111	0.0	0	0	0
112	0.125	0	1	1
113	0.18867924528301888	0	0	0
114	0.2857142857142857	0	1	1
115	0.4	0	0	1
116	1.0	0	1	1
117	0.8	0	1	1
118	0.8571428571428571	0	1	1
119	0.4782608695652174	0	0	1
120	1.0	0	1	0
121	0.0	0	0	0
122	0.0	0	0	0
123	0.8888888888888888	0	1	1
124	0.5	0	0	0
125	0.65	0	1	1
126	1.0	0	1	1
127	1.0	0	1	0
128	0.3023255813953488	0	0	1
129	0.2857142857142857	0	1	1
130	0.0625	0	1	1
131	0.6842105263157895	0	0	1
132	0.6206896551724138	0	0	1
133	0.6590909090909091	0	0	0
134	0.5625	0	0	0
135	0.27586206896551724	0	0	1
136	0.6	0	0	1
137	0.425	0	1	1
138	0.5	0	0	0
139	0.175	0	0	1
140	1.0	0	1	0
141	0.4	0	1	1
142	1.0	0	1	1
143	1.0	0	1	0
144	1.0	0	1	0
145	0.0	0	0	0
146	1.0	0	1	1
147	1.0	0	1	1
148	1.0	0	1	1
149	0.47619047619047616	0	0	1
