llm,n_pairs,wrong_zs_?A1=A2,corrected_?A1=A2,pct_corrected_?A1=A2,wrong_zs_?A1=A3+A4,corrected_?A1=A3+A4,pct_corrected_?A1=A3+A4,wrong_zs_?A1>A3,corrected_?A1>A3,pct_corrected_?A1>A3,wrong_zs_?A1>A4,corrected_?A1>A4,pct_corrected_?A1>A4,wrong_zs_?A3∅A4,corrected_?A3∅A4,pct_corrected_?A3∅A4,wrong_zs_?A4=A1|3,corrected_?A4=A1|3,pct_corrected_?A4=A1|3,wrong_zs_?A1=A1*,corrected_?A1=A1*,pct_corrected_?A1=A1*,wrong_zs_?A1=A1**,corrected_?A1=A1**,pct_corrected_?A1=A1**,wrong_zs_?A1*=A1**,corrected_?A1*=A1**,pct_corrected_?A1*=A1**,avg_pct_corrected
deepseek-chat,600,405,305,50.83,501,360,60.0,327,274,45.67,359,335,55.83,264,250,41.67,556,387,64.5,429,150,25.42,0,0,,0,0,,51.7
deepseek-reasoner,600,488,315,52.5,519,299,49.83,359,253,42.17,419,358,59.67,108,97,16.17,535,292,48.67,245,20,6.76,0,0,,0,0,,43.84
gemini-2.0-flash,600,404,295,49.17,527,385,64.17,351,284,47.33,388,352,58.67,224,219,36.5,570,414,69.0,271,184,31.19,0,0,,0,0,,52.13
gemini-2.5-flash,600,399,345,57.5,452,388,64.67,303,255,42.5,351,327,54.5,93,86,14.33,469,384,64.0,340,207,35.08,0,0,,0,0,,46.57
gemini-2.5-pro,600,414,306,51.0,466,339,56.5,338,251,41.83,367,332,55.33,111,108,18.0,483,347,57.83,375,144,24.41,0,0,,0,0,,44.8
gpt-4.1-2025-04-14,600,362,269,44.83,501,376,62.67,301,263,43.83,368,339,56.5,220,208,34.67,539,393,65.5,427,167,28.31,0,0,,0,0,,49.07
gpt-4.1-mini-2025-04-14,600,398,278,46.33,516,361,60.17,311,256,42.67,370,352,58.67,262,232,38.67,567,384,64.0,463,155,26.27,0,0,,0,0,,50.07
gpt-4.1-nano-2025-04-14,600,433,205,34.17,529,146,24.33,326,164,27.33,377,209,34.83,228,126,21.0,576,117,19.5,435,112,20.33,0,0,,0,0,,27.37
gpt-4o,600,329,256,42.67,447,323,53.83,280,247,41.17,318,294,49.0,223,175,29.17,563,372,62.0,366,135,22.88,0,0,,0,0,,44.8
gpt-5,600,234,191,31.83,341,265,44.17,215,187,31.17,210,201,33.5,159,64,10.67,470,265,44.17,228,72,12.2,0,0,,0,0,,30.27
gpt-5-mini,600,208,147,24.5,313,205,34.17,217,181,30.17,191,170,28.33,231,108,18.0,514,245,40.83,193,72,12.2,0,0,,0,0,,28.37
gpt-5-nano,600,246,169,28.17,338,214,35.67,216,144,24.0,221,210,35.0,194,93,15.5,496,222,37.0,248,84,14.24,0,0,,0,0,,27.93
gpt-oss:20b,300,234,115,38.33,250,149,49.67,183,133,44.33,197,177,59.0,54,48,16.0,264,151,50.33,121,11,7.43,0,0,,0,0,,41.6
grok-3-mini,600,394,329,54.83,443,359,59.83,286,249,41.5,337,328,54.67,74,68,11.33,462,354,59.0,0,0,,0,0,,0,0,,44.27
llama3.1:70b,600,476,258,43.0,558,283,47.17,427,280,46.67,457,365,60.83,174,152,25.33,583,289,48.17,0,0,,0,0,,0,0,,44.8
llama3.1:8b,600,590,68,11.33,599,16,2.67,582,89,14.83,593,73,12.17,94,51,8.5,600,11,1.83,146,0,0.0,0,0,,0,0,,9.73
mistral-small:24b,590,330,222,37.63,448,219,37.12,293,203,34.41,323,292,49.49,290,280,47.46,581,287,48.64,72,21,14.19,0,0,,0,0,,43.53
o3,590,387,246,41.69,455,338,57.29,291,256,43.39,362,338,57.29,79,76,12.88,477,346,58.64,411,95,16.1,0,0,,0,0,,42.78
