QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.6666666666666666	0	1	1
2	1.0	0	1	0
3	1.0	0	1	0
4	0.03125	0	0	1
5	0.75	0	1	0
6	0.3888888888888889	0	0	0
7	0.7272727272727273	0	1	0
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	1.0	0	1	0
12	0.5365853658536586	0	0	1
13	0.5	0	0	0
14	0.0	0	1	1
15	0.32	0	0	1
16	0.42105263157894735	0	0	0
17	0.23529411764705882	0	0	1
18	0.0	0	0	0
19	0.75	0	0	0
20	0.9607843137254902	0	1	1
21	1.0	0	1	0
22	0.25	0	0	1
23	0.3333333333333333	0	1	1
24	0.4166666666666667	0	0	0
25	0.2962962962962963	0	0	1
26	0.6666666666666666	0	1	0
27	0.8	0	0	0
28	0.5454545454545454	0	1	0
29	0.7222222222222222	0	1	0
30	0.6	0	0	1
31	1.0	0	1	1
32	0.75	0	1	0
33	0.36363636363636365	0	0	1
34	1.0	0	1	0
35	0.6	0	1	1
36	0.42105263157894735	0	0	0
37	0.625	0	0	1
38	0.4444444444444444	0	1	0
39	0.0	0	0	0
40	0.4117647058823529	0	0	0
41	0.125	0	0	1
42	0.02564102564102564	0	0	1
43	0.03125	0	0	1
44	0.5714285714285714	0	1	0
45	0.625	0	1	1
46	0.5294117647058824	0	0	1
47	0.3	0	1	1
48	0.16666666666666666	0	0	1
49	0.7777777777777778	0	1	0
50	0.36363636363636365	0	0	0
51	0.029411764705882353	0	0	1
52	0.42857142857142855	0	0	0
53	1.0	0	1	0
54	0.4444444444444444	0	1	0
55	0.0	0	0	1
56	0.43478260869565216	0	1	1
57	0.034482758620689655	0	0	1
58	0.07142857142857142	0	0	1
59	0.26666666666666666	0	1	1
60	0.46153846153846156	0	1	1
61	0.3448275862068966	0	0	1
62	0.5	0	0	1
63	0.2222222222222222	0	1	0
64	0.20689655172413793	0	0	1
65	0.0	0	0	1
66	0.3333333333333333	0	1	1
67	0.34615384615384615	0	0	1
68	0.4	0	1	1
69	0.6923076923076923	0	0	0
70	0.41025641025641024	0	0	1
71	0.875	0	1	1
72	1.0	0	1	0
73	0.2857142857142857	0	0	1
74	1.0	0	1	1
75	0.8333333333333334	0	1	0
76	0.1746031746031746	0	0	1
77	0.3333333333333333	0	1	1
78	0.7037037037037037	0	1	0
79	0.42857142857142855	0	0	1
80	0.3622448979591837	0	1	1
81	0.9	0	1	0
82	0.8571428571428571	0	1	1
83	1.0	0	1	1
84	0.8	0	1	1
85	0.3783783783783784	0	0	1
86	0.1	0	1	1
87	0.5	0	1	0
88	0.35714285714285715	0	1	1
89	0.3333333333333333	0	1	1
90	0.28	0	0	0
91	0.6923076923076923	0	1	0
92	0.8	0	0	0
93	0.21428571428571427	0	0	1
94	0.16666666666666666	0	0	0
95	0.46153846153846156	0	0	0
96	0.0	0	0	0
97	0.0	0	0	1
98	0.3181818181818182	0	0	1
99	0.5121951219512195	0	0	1
100	0.6666666666666666	0	0	0
101	0.0	0	1	1
102	0.46153846153846156	0	0	0
103	0.3333333333333333	0	0	0
104	0.4827586206896552	0	0	0
105	0.1111111111111111	0	0	1
106	0.0	0	0	0
107	0.42105263157894735	0	0	0
108	0.1111111111111111	0	1	0
109	0.16666666666666666	0	1	0
110	0.0	0	0	1
111	0.3333333333333333	0	1	1
112	0.0	0	0	1
113	0.23809523809523808	0	0	1
114	0.25	0	0	0
115	0.5	0	1	1
116	0.6666666666666666	0	1	1
117	1.0	0	1	1
118	0.4	0	0	1
119	0.6363636363636364	0	1	1
120	0.2916666666666667	0	0	1
121	0.5	0	1	0
122	0.0	1	1	1
123	0.1111111111111111	0	0	0
124	0.4444444444444444	0	0	1
125	0.03571428571428571	0	0	1
126	0.3333333333333333	0	1	0
127	0.5625	0	0	1
128	0.23809523809523808	0	0	1
129	0.6666666666666666	0	1	0
130	0.25	0	0	1
131	0.7272727272727273	0	0	0
132	0.3157894736842105	0	0	1
133	0.5714285714285714	0	0	0
134	0.15254237288135594	0	0	0
135	0.4117647058823529	0	0	1
136	0.1794871794871795	0	0	1
137	0.0625	0	0	1
138	0.3333333333333333	0	0	0
139	0.14545454545454545	0	0	0
140	0.0	1	1	1
141	0.3076923076923077	0	0	1
142	1.0	0	1	0
143	0.125	0	1	1
144	0.0	0	1	1
145	0.5	0	1	0
146	0.8125	0	0	0
147	1.0	0	1	0
148	0.3333333333333333	0	1	0
149	0.5	0	1	1
