QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.3333333333333333	0	0	1
2	1.0	0	1	0
3	0.6666666666666666	0	0	1
4	0.75	0	0	0
5	0.6666666666666666	0	0	0
6	1.0	0	1	0
7	0.15384615384615385	0	1	1
8	0.9	0	1	1
9	0.9	0	1	1
10	1.0	0	1	0
11	0.9583333333333334	0	1	1
12	0.3333333333333333	0	0	1
13	0.9	0	1	0
14	0.0	0	0	0
15	0.5	0	0	1
16	0.4	0	1	0
17	0.0	0	0	1
18	0.5	0	1	0
19	1.0	0	1	0
20	0.6739130434782609	0	1	1
21	0.9642857142857143	0	1	0
22	0.5	0	0	0
23	0.4	0	0	1
24	0.6666666666666666	0	0	0
25	0.25	0	0	1
26	0.0	0	0	1
27	0.5	0	0	1
28	0.8	0	1	0
29	0.2857142857142857	0	1	0
30	0.3333333333333333	0	0	1
31	1.0	0	1	0
32	0.13043478260869565	0	0	1
33	1.0	0	1	0
34	0.5	0	1	1
35	0.2	0	1	1
36	0.0	0	0	1
37	0.6666666666666666	0	1	0
38	0.0	0	0	1
39	1.0	0	1	0
40	0.18181818181818182	0	0	1
41	0.18181818181818182	0	0	1
42	0.25	0	0	0
43	0.14285714285714285	0	1	1
44	1.0	0	1	0
45	0.5714285714285714	0	1	1
46	0.1875	0	0	0
47	1.0	0	1	0
48	0.5	0	1	0
49	0.5	0	1	0
50	0.25	0	0	1
51	0.0	0	0	1
52	0.5	0	0	1
53	1.0	0	1	0
54	0.2	0	1	1
55	0.0	0	0	0
56	0.42857142857142855	0	0	1
57	0.2	0	0	1
58	0.3	0	0	1
59	1.0	0	1	0
60	0.6666666666666666	0	1	0
61	0.05	0	0	1
62	0.5714285714285714	0	0	1
63	0.3333333333333333	0	1	0
64	0.16666666666666666	0	0	1
65	0.42857142857142855	0	0	0
66	0.0	0	0	0
67	0.3333333333333333	0	0	1
68	0.8	0	1	0
69	1.0	0	1	0
70	0.6818181818181818	0	0	0
71	0.6666666666666666	0	1	0
72	0.5454545454545454	0	1	0
73	0.4	0	0	1
74	0.375	0	0	1
75	0.6666666666666666	0	0	0
76	0.024096385542168676	0	0	0
77	0.2	0	1	0
78	0.48484848484848486	0	0	1
79	0.4117647058823529	0	1	1
80	0.08333333333333333	0	0	1
81	0.8181818181818182	0	0	0
82	0.7142857142857143	0	1	1
83	0.875	0	1	0
84	0.4	0	1	0
85	0.5	0	0	1
86	0.11764705882352941	0	1	0
87	1.0	0	1	0
88	0.4	0	1	1
89	1.0	0	1	0
90	0.3076923076923077	0	0	0
91	0.2	0	0	1
92	1.0	0	1	0
93	0.3333333333333333	0	1	1
94	1.0	0	1	0
95	0.25	0	1	1
96	0.2	0	1	1
97	0.0	0	0	1
98	0.0	0	0	1
99	0.0	0	0	1
100	0.7142857142857143	0	1	0
101	0.375	0	1	1
102	0.3333333333333333	0	0	1
103	1.0	0	1	1
104	0.3333333333333333	0	1	1
105	1.0	0	1	0
106	1.0	0	1	0
107	0.23809523809523808	0	0	1
108	0.047619047619047616	0	1	1
109	0.6	0	1	1
110	0.3076923076923077	0	0	1
111	0.0	0	0	0
112	1.0	0	1	0
113	0.09090909090909091	0	0	1
114	0.5	0	1	0
115	0.5	0	1	0
116	0.5	0	1	1
117	0.7142857142857143	0	1	1
118	0.0	0	0	1
119	0.8	0	1	0
120	0.0	0	0	1
121	0.875	0	1	0
122	1.0	0	1	0
123	0.3333333333333333	0	1	0
124	0.6666666666666666	0	1	1
125	0.5	0	1	1
126	0.0	1	1	1
127	1.0	0	1	0
128	0.8333333333333334	0	1	0
129	0.0	0	0	1
130	0.125	0	0	1
131	0.5	0	1	1
132	0.3	0	0	0
133	0.25	0	1	0
134	0.2	0	1	0
135	0.0	0	0	1
136	0.0	0	0	0
137	0.5	0	1	1
138	0.6	0	1	0
139	0.3076923076923077	0	0	1
140	1.0	0	1	0
141	1.0	0	1	0
142	0.5	0	1	0
143	1.0	0	1	0
144	1.0	0	1	0
145	0.0	0	0	0
146	0.8333333333333334	0	0	1
147	0.5	0	1	0
148	1.0	0	1	0
149	1.0	0	1	0
