QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	1.0	0	1	1
2	1.0	0	1	0
3	1.0	0	1	1
4	0.4230769230769231	0	0	0
5	0.5	0	0	1
6	1.0	0	1	0
7	1.0	0	1	0
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	1.0	0	1	1
12	0.0	0	0	1
13	1.0	0	1	1
14	1.0	0	1	0
15	0.002631578947368421	0	0	1
16	0.13513513513513514	0	0	0
17	0.03571428571428571	0	0	1
18	0.16279069767441862	0	0	0
19	0.5	0	1	1
20	0.9411764705882353	0	1	1
21	1.0	0	1	1
22	0.75	0	0	1
23	0.05172413793103448	0	0	1
24	0.0044444444444444444	0	0	1
25	0.09859154929577464	0	0	1
26	0.0	0	0	1
27	0.8571428571428571	0	1	1
28	0.8333333333333334	0	1	0
29	0.09090909090909091	0	0	1
30	0.022727272727272728	0	0	1
31	0.0	0	0	0
32	1.0	0	1	1
33	0.0	0	0	1
34	1.0	0	1	1
35	1.0	0	1	1
36	1.0	0	1	0
37	0.4444444444444444	0	1	0
38	1.0	0	1	0
39	1.0	0	1	0
40	0.2692307692307692	0	0	1
41	0.0	0	0	0
42	0.1935483870967742	0	0	1
43	1.0	0	1	0
44	0.46153846153846156	0	0	1
45	0.2857142857142857	0	0	1
46	0.5555555555555556	0	0	1
47	0.05405405405405406	0	0	1
48	0.0851063829787234	0	0	0
49	1.0	0	1	1
50	0.16666666666666666	0	1	1
51	0.0	0	0	0
52	0.6470588235294118	0	0	1
53	1.0	0	1	0
54	1.0	0	1	0
55	1.0	0	1	0
56	1.0	0	1	0
57	1.0	0	1	0
58	1.0	0	1	0
59	1.0	0	1	1
60	0.3333333333333333	0	1	1
61	0.6170212765957447	0	0	0
62	1.0	0	1	0
63	0.3235294117647059	0	0	0
64	0.037383177570093455	0	0	1
65	0.0	0	0	1
66	1.0	0	1	1
67	0.37777777777777777	0	0	1
68	0.0	0	0	0
69	1.0	0	1	0
70	0.8604651162790697	0	0	0
71	1.0	0	1	1
72	1.0	0	1	1
73	0.0	0	0	1
74	0.9047619047619048	0	1	1
75	1.0	0	1	1
76	0.2894736842105263	0	0	0
77	0.0	0	0	0
78	0.6582278481012658	0	0	1
79	0.043478260869565216	0	1	1
80	1.0	0	1	0
81	1.0	0	1	1
82	1.0	0	1	1
83	1.0	0	1	1
84	1.0	0	1	1
85	0.40816326530612246	0	0	1
86	0.3181818181818182	0	0	0
87	0.8333333333333334	0	1	1
88	0.6666666666666666	0	0	0
89	1.0	0	1	0
90	0.021897810218978103	0	0	1
91	0.35714285714285715	0	0	1
92	0.3333333333333333	0	1	1
93	1.0	0	1	0
94	0.0	0	0	1
95	0.30526315789473685	0	0	0
96	1.0	0	1	0
97	1.0	0	1	0
98	1.0	0	1	0
99	0.18373493975903615	0	0	0
100	0.5	0	0	1
101	1.0	0	1	0
102	0.34285714285714286	0	0	0
103	0.25	0	1	1
104	0.0	0	0	0
105	1.0	0	1	0
106	1.0	0	1	0
107	0.03571428571428571	0	0	1
108	0.07954545454545454	0	0	1
109	1.0	0	1	0
110	0.2309941520467836	0	0	1
111	1.0	0	1	0
112	1.0	0	1	0
113	1.0	0	1	0
114	0.0	0	0	0
115	0.038461538461538464	0	0	1
116	1.0	0	1	1
117	1.0	0	1	1
118	1.0	0	1	0
119	0.1	0	0	1
120	1.0	0	1	0
121	0.0	0	0	0
122	1.0	0	1	0
123	1.0	0	1	0
124	0.4	0	0	1
125	0.0	0	0	1
126	1.0	0	1	0
127	1.0	0	1	0
128	1.0	0	1	0
129	1.0	0	1	0
130	0.18292682926829268	0	0	1
131	0.7857142857142857	0	0	1
132	0.3157894736842105	0	0	1
133	1.0	0	1	0
134	0.0	0	0	0
135	1.0	0	1	0
136	1.0	0	1	0
137	0.00980392156862745	0	0	1
138	0.8	0	1	1
139	0.0	0	0	0
140	1.0	0	1	0
141	1.0	0	1	0
142	1.0	0	1	1
143	1.0	0	1	0
144	1.0	0	1	0
145	0.75	0	0	1
146	0.6923076923076923	0	0	1
147	0.7777777777777778	0	1	0
148	0.7142857142857143	0	0	1
149	0.0	0	0	1
