QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	0.7	0	0	0
2	1.0	0	1	0
3	1.0	0	1	0
4	0.6082474226804123	0	0	0
5	0.0	0	0	0
6	0.6666666666666666	0	0	0
7	1.0	0	1	0
8	1.0	0	1	0
9	0.8333333333333334	0	0	0
10	1.0	0	1	0
11	0.0	0	0	0
12	1.0	0	1	0
13	0.9222222222222223	0	0	0
14	0.9565217391304348	0	0	0
15	0.47368421052631576	0	0	0
16	0.9230769230769231	0	0	0
17	0.5714285714285714	0	0	0
18	1.0	0	1	0
19	0.9166666666666666	0	0	0
20	1.0	0	1	0
21	0.6	0	0	0
22	0.5555555555555556	0	0	0
23	0.7142857142857143	0	0	0
24	1.0	0	1	0
25	0.38461538461538464	0	0	0
26	1.0	0	1	0
27	1.0	0	1	0
28	0.6666666666666666	0	0	0
29	1.0	0	1	0
30	1.0	0	1	0
31	0.5	0	0	0
32	1.0	0	1	0
33	0.9782608695652174	0	0	0
34	0.0	0	0	0
35	1.0	0	1	0
36	1.0	0	1	0
37	1.0	0	1	0
38	1.0	0	1	0
39	0.75	0	0	0
40	1.0	0	1	0
41	1.0	0	1	0
42	1.0	0	1	0
43	0.0603448275862069	0	0	0
44	1.0	0	1	0
45	1.0	0	1	0
46	1.0	0	1	0
47	0.6	0	0	0
48	1.0	0	1	0
49	0.967741935483871	0	0	0
50	1.0	0	1	0
51	1.0	0	1	0
52	1.0	0	1	0
53	0.6	0	0	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.0	0	0	0
57	1.0	0	1	0
58	0.8	0	0	0
59	0.8421052631578947	0	0	0
60	0.6	0	0	0
61	1.0	0	1	0
62	0.7714285714285715	0	0	0
63	1.0	0	1	0
64	0.6666666666666666	0	0	0
65	1.0	0	1	0
66	0.5	0	0	0
67	0.8947368421052632	0	0	0
68	0.2558139534883721	0	0	0
69	1.0	0	1	0
70	1.0	0	1	0
71	0.0	0	0	0
72	1.0	0	1	0
73	1.0	0	1	0
74	0.5	0	0	0
75	1.0	0	1	0
76	0.0	0	0	0
77	0.9090909090909091	0	0	0
78	1.0	0	1	0
79	0.8888888888888888	0	0	0
80	0.5	0	0	0
81	0.5714285714285714	0	0	0
82	1.0	0	1	0
83	1.0	0	1	0
84	0.0	0	0	0
85	0.13636363636363635	0	0	0
86	1.0	0	1	0
87	0.5737704918032787	0	0	0
88	0.0	0	0	0
89	0.8947368421052632	0	0	0
90	0.28	0	0	0
91	1.0	0	1	0
92	0.9090909090909091	0	0	0
93	0.0	0	0	0
94	1.0	0	1	0
95	0.9047619047619048	0	0	0
96	1.0	0	1	0
97	0.0	0	0	0
98	1.0	0	1	0
99	1.0	0	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	0.8571428571428571	0	0	0
103	0.6666666666666666	0	0	0
104	0.5	0	0	0
105	0.3829787234042553	0	0	0
106	0.3333333333333333	0	0	0
107	0.4230769230769231	0	0	0
108	0.5555555555555556	0	0	0
109	0.5	0	0	0
110	1.0	0	1	0
111	1.0	0	1	0
112	0.0	0	0	0
113	0.0	0	0	0
114	0.5882352941176471	0	0	0
115	1.0	0	1	0
116	1.0	0	1	0
117	0.6	0	0	0
118	1.0	0	1	0
119	1.0	0	1	0
120	0.8181818181818182	0	0	0
121	0.6	0	0	0
122	0.7142857142857143	0	0	0
123	1.0	0	1	0
124	1.0	0	1	0
125	0.1	0	0	0
126	1.0	0	1	0
127	0.8	0	0	0
128	0.9897959183673469	0	0	0
129	1.0	0	1	0
130	0.75	0	0	0
131	0.6507936507936508	0	0	0
132	0.0	0	0	0
133	0.8409090909090909	0	0	0
134	0.6	0	0	0
135	1.0	0	1	0
136	1.0	0	1	0
137	1.0	0	1	0
138	1.0	0	1	0
139	1.0	0	1	0
140	1.0	0	1	0
141	1.0	0	1	0
142	0.0	0	0	0
143	0.5	0	0	0
144	0.14285714285714285	0	0	0
145	0.6666666666666666	0	0	0
146	1.0	0	1	0
147	1.0	0	1	0
148	0.8571428571428571	0	0	0
149	0.7142857142857143	0	0	0
