ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,zero-shot,llama3.1:8b,0.04,0.005,0.1183,0.075,0.6767,0.0,0.03265,,,0.9044,0.78,0.8222,0.4089,0.9711,0.2571,0.2024,0.1012,0.2188,,,0.0967,0.0033,0.005,0.0117,0.01,0.0,0.0,0.0326,0.2188,0.0075,1.0,1.0,1.0,1.0,1.0,1.0
B,overall,zero-shot,gpt-oss:20b,0.1433,0.0867,0.305,0.2167,0.6433,0.0783,0.1332,,,0.4067,0.5178,0.4644,0.8511,0.3689,0.3405,0.318,0.2302,0.35045000000000004,,,0.2603,0.12,0.175,0.1067,0.1917,0.0,0.0,0.1332,0.3505,0.1484,1.0,1.0,1.0,1.0,1.0,1.0
C,overall,zero-shot,gpt-4.1-nano-2025-04-14,0.2367,0.0633,0.325,0.3033,0.4133,0.0217,0.06805,,,0.5178,0.5711,0.5911,0.6267,0.9756,0.4883,0.3068,0.1888,0.1727,,,0.3959,0.0817,0.1017,0.1833,0.185,0.0,0.0,0.068,0.1727,0.1379,1.0,1.0,1.0,1.0,1.0,1.0
D,overall,zero-shot,mistral-small:24b,0.1288,0.0373,0.1339,0.1305,0.2237,0.0051,0.19065000000000001,,,0.7511,0.8507,0.862,0.7036,0.9638,0.2368,0.1476,0.0785,0.3529,,,0.6294,0.6,0.2271,0.3322,0.3881,0.0,0.0,0.1907,0.3529,0.3869,1.0,1.0,1.0,1.0,1.0,1.0
E,overall,zero-shot,llama3.1:70b,0.1633,0.0533,0.265,0.2183,0.6483,0.0217,0.2033,,,0.2289,0.6756,0.6178,0.7111,0.1067,0.4057,0.3341,0.1839,0.4882,,,0.1595,0.02,0.0117,0.0183,0.06,0.0,0.0,0.2033,0.4882,0.0275,1.0,1.0,1.0,1.0,1.0,1.0
F,overall,zero-shot,gemini-2.0-flash,0.3267,0.095,0.415,0.2733,0.535,0.0383,0.42865000000000003,,,0.4156,0.4356,0.6956,0.66,0.3489,0.6008,0.3979,0.2539,0.64835,,,0.2238,0.0017,0.005,0.0033,0.11,0.0,0.0,0.4286,0.6484,0.03,1.0,1.0,1.0,1.0,1.0,1.0
G,overall,zero-shot,gpt-4.1-mini-2025-04-14,0.1633,0.0617,0.385,0.1417,0.56,0.02,0.21255000000000002,,,0.3133,0.4578,0.7533,0.7822,0.2244,0.3456,0.2894,0.1511,0.47085,,,0.2698,0.025,0.0733,0.0683,0.1617,0.0,0.0,0.2126,0.4708,0.0821,1.0,1.0,1.0,1.0,1.0,1.0
H,overall,zero-shot,gpt-4o,0.0767,0.0167,0.1083,0.065,0.045,0.015,0.19855,,,0.9356,0.8911,0.9289,0.9711,0.9444,0.0932,0.0383,0.0304,0.36965,,,0.9393,0.2583,0.8667,0.8183,0.9,0.0,0.0,0.1986,0.3696,0.7108,1.0,1.0,1.0,1.0,1.0,1.0
I,overall,zero-shot,gpt-4.1-2025-04-14,0.3033,0.1517,0.4767,0.3533,0.5417,0.09,0.2546,,,0.38,0.5622,0.5711,0.6311,0.2178,0.6038,0.5234,0.3529,0.563,,,0.2043,0.0183,0.0217,0.05,0.06,0.0,0.0,0.2546,0.563,0.0375,1.0,1.0,1.0,1.0,1.0,1.0
J,overall,zero-shot,grok-3-mini,0.2617,0.205,0.4733,0.3417,0.73,0.1833,0.3,,,0.4267,0.5867,0.52,0.9133,0.4044,0.5242,0.4745,0.3945,0.5543,,,0.1984,0.0567,0.0767,0.075,0.1333,0.0,0.0,0.3,0.5543,0.0854,1.0,1.0,1.0,1.0,1.0,1.0
K,overall,zero-shot,deepseek-chat,0.2883,0.0983,0.295,0.2717,0.315,0.03,0.27690000000000003,,,0.4044,0.6244,0.6578,0.6267,0.4089,0.5403,0.3489,0.2013,0.49865,,,0.4248,0.0617,0.0733,0.1917,0.18,0.0,0.0,0.2769,0.4986,0.1267,1.0,1.0,1.0,1.0,1.0,1.0
