dataset,llm,n_total_zs,n_answered_zs,idk_rate_zs,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,n_total_clf,n_answered_clf,idk_rate_clf,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
LC-QuAD,deepseek-chat,150,115,0.2333,0.2696,0.1304,0.4174,0.287,0.4348,0.0261,0.6272,0.5027,0.2125,0.2917,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,deepseek-reasoner,150,137,0.0867,0.1314,0.1095,0.3796,0.2555,0.854,0.0803,0.4846,0.4088,0.0332,0.3223,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gemini-2.0-flash,150,140,0.0667,0.2571,0.0857,0.3714,0.2929,0.6357,0.0357,0.5408,0.4047,0.1358,0.2754,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gemini-2.5-flash,150,134,0.1067,0.2687,0.1716,0.4552,0.2761,0.8507,0.1642,0.5731,0.4985,0.0262,0.3877,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gemini-2.5-pro,150,137,0.0867,0.2409,0.1825,0.3869,0.3431,0.8394,0.1533,0.6177,0.5341,0.0341,0.4409,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-4.1-2025-04-14,150,130,0.1333,0.2385,0.0846,0.4231,0.2385,0.6615,0.0538,0.5907,0.483,0.0946,0.3082,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-4.1-mini-2025-04-14,150,105,0.3,0.1714,0.0381,0.3333,0.1619,0.5905,0.0095,0.4639,0.3588,0.1203,0.2234,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-4.1-nano-2025-04-14,150,73,0.5133,0.0959,0.0274,0.2055,0.1233,0.6301,0.0274,0.3308,0.2391,0.1076,0.1515,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-4o,150,51,0.66,0.2353,0.0392,0.5098,0.3922,0.6275,0.0392,0.571,0.4589,0.1466,0.3343,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-5,150,86,0.4267,0.3953,0.2209,0.5698,0.4535,0.9419,0.1977,0.7001,0.6302,0.0297,0.5295,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-5-mini,150,41,0.7267,0.4878,0.3415,0.6341,0.561,0.9512,0.2927,0.6966,0.727,0.021,0.6522,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-5-nano,150,39,0.74,0.4615,0.3333,0.6154,0.5641,0.8718,0.3333,0.6627,0.6122,0.0399,0.5862,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,gpt-oss:20b,150,111,0.26,0.1081,0.0811,0.2703,0.2432,0.8739,0.0811,0.3701,0.3292,0.0378,0.27,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,grok-3-mini,150,118,0.2133,0.2797,0.1949,0.4576,0.3475,0.8729,0.1864,0.6156,0.4979,0.043,0.4171,150,0,1.0,,,,,,,,,,,,,,,,,,,,
LC-QuAD,llama3.1:70b,150,137,0.0867,0.0803,0.0292,0.2409,0.1679,0.7372,0.0073,0.3753,0.2896,0.0675,0.1949,150,0,1.0,,,,,,,,,,,,,,,,,,,,
