ID	Q1	Q2	Q3	Q4
0	In which cities did Jan Brueghel the Elder live and work?	In what cities did Jan Brueghel the Elder live and carry out his work?	In which Italian cities did Jan Brueghel the Elder live and work?	In which cities outside Italy did Jan Brueghel the Elder live and work?
1	What are the tributaries of the Rhône River?	Which tributaries does the Rhône have?	Which tributaries join the Rhône River in Switzerland?	Which tributaries join the Rhône River outside Switzerland?
2	What U.S. states does the Delaware River drain?	Which U.S. states does the Delaware River Basin span?	In which U.S. state is the source of the Delaware River?	Which U.S. states that the Delaware River drains from do not contain its source?
3	During the 34th Academy Awards, for which awards was the film La Dolce Vita nominated?	For which awards was the movie La Dolce Vita nominated at the 34th Academy Awards?	During the 34th Academy Awards, what awards did the film La Dolce Vita win?	During the 34th Academy Awards, for which awards was the film La Dolce Vita nominated that it did not win?
4	What was NCIS nominated for in the year 2013?	For which awards was NCIS nominated in 2013?	What awards did NCIS win in the year 2013?	For what awards was NCIS nominated in the year 2013 but did not win?
5	For which awards were Gladys Knight & the Pips nominated in 1975?	For which 1975 awards were Gladys Knight & the Pips nominated?	In 1975, for which awards were Gladys Knight & the Pips nominated excluding American Music Awards?	In 1975, for which American Music Awards were Gladys Knight & the Pips nominated?
6	What characters in Nabucco sing as sopranos?	Which characters in Nabucco perform as sopranos?	What slaves in Nabucco sing as sopranos?	What characters in Nabucco that sing as sopranos are not slaves?
7	In which U.S. states was the plot of North by Northwest set?	Which U.S. states were settings for the story of North by Northwest?	Which U.S. states were settings for the plot of North by Northwest and had filming on location?	Which U.S. states were settings for the plot of North by Northwest but did not have filming on location?
8	Who were the students under Tchaikovsky’s direct guidance?	Which students were under Tchaikovsky’s direct guidance?	Which student under Tchaikovsky’s direct guidance later taught Rachmaninoff?	Which students under Tchaikovsky’s direct guidance did not later teach Rachmaninoff?
9	What sons did Emperor Wu of Jin have?	Who were the sons of Emperor Wu of Jin?	What sons of Emperor Wu of Jin later became an emperor?	What sons of Emperor Wu of Jin did not later become an emperor?
10	What countries border Senegal and are members of AFRISTAT?	Which countries that Senegal borders are members of AFRISTAT?	Which country that borders Senegal is a member of AFRISTAT and hosts its headquarters?	Which countries that border Senegal are members of AFRISTAT but do not host its headquarters?
11	What districts of Lower Saxony are on the North Sea coast?	Which districts of Lower Saxony border the North Sea?	What districts of Lower Saxony in East Frisia are on the North Sea coast?	What districts of Lower Saxony outside of East Frisia are on the North Sea coast?
12	What characters are part of the Simpsons episode titled "A Fish Called Selma"?	Which characters appear in the Simpsons episode titled "A Fish Called Selma"?	Which characters from the Simpsons family appear in the Simpsons episode titled "A Fish Called Selma"?	Which characters appear in the Simpsons episode titled "A Fish Called Selma" excluding those from the Simpsons family?
13	What clubs has Nestor de Vincente played for?	For which clubs did Nestor de Vincente play?	For which Argentinian clubs did Nestor de Vincente play?	For which clubs outside Argentina did Nestor de Vincente play?
14	What other movies did the director of Sharknado direct?	Which additional films were directed by the director of Sharknado?	What short movies did the director of Sharknado direct?	What other full-length movies did the director of Sharknado direct?
15	Who were the actresses in Dumb and Dumberer?	Which actresses appeared in Dumb and Dumberer?	Which actresses in Dumb and Dumberer portray characters from the Swanson family?	Which actresses in Dumb and Dumberer portray characters not from the Swanson family?
16	Which U.S. Presidents were in power during the Cold War?	What American Presidents held office during the Cold War?	Which U.S. Presidents were in power during the Cold War while Gorbachev was president?	Which U.S. Presidents were in power during the Cold War but not while Gorbachev was president?
