action,dataset,predicate,llm,deepseek-chat,gemini-2.0-flash,gemini-2.5-flash,gemini-2.5-pro,gpt-4.1-2025-04-14,gpt-4.1-mini-2025-04-14,gpt-4.1-nano-2025-04-14,gpt-4o,gpt-5,gpt-5-mini,gpt-5-nano,gpt-oss:20b,grok-3-mini,llama3.1:70b,llama3.1:8b,mistral-small:24b,o3,deepseek-reasoner
classification,overall,?A1=A2,deepseek-chat,1.0,0.0,0.0,0.0,0.0,0.0,0.6677,0.6823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,deepseek-reasoner,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9743,0.0,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A1=A2,gemini-2.0-flash,1.0,1.0,0.9929,0.0013,1.0,0.9995,1.0,1.0,1.0,0.8242,0.0,0.0,0.9925,0.0001,0.0,0.0964,0.002,0.0
classification,overall,?A1=A2,gemini-2.5-flash,1.0,0.0099,1.0,0.0,0.972,0.8074,1.0,1.0,0.9542,0.0728,0.0,0.0,0.5266,0.0,0.0,0.0001,0.0,0.0
classification,overall,?A1=A2,gemini-2.5-pro,1.0,0.9991,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006,0.0,1.0,0.1878,0.0,0.97,0.5834,0.0
classification,overall,?A1=A2,gpt-4.1-2025-04-14,1.0,0.0,0.038,0.0,1.0,0.1641,1.0,1.0,0.4439,0.0007,0.0,0.0,0.0352,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-4.1-mini-2025-04-14,1.0,0.0008,0.2312,0.0,0.8681,1.0,1.0,1.0,0.8096,0.0136,0.0,0.0,0.2322,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-4.1-nano-2025-04-14,0.4142,0.0,0.0,0.0,0.0,0.0,1.0,0.5445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-4o,0.4063,0.0,0.0,0.0,0.0,0.0,0.5445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-5,1.0,0.0001,0.0604,0.0,0.611,0.2292,1.0,1.0,1.0,0.001,0.0,0.0,0.0595,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-5-mini,1.0,0.2075,0.9432,0.0,0.9996,0.9902,1.0,1.0,0.9993,1.0,0.0,0.0,0.936,0.0,0.0,0.0126,0.0001,0.0
classification,overall,?A1=A2,gpt-5-nano,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.994,0.0,1.0,0.9998,0.0317
classification,overall,?A1=A2,gpt-oss:20b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
classification,overall,?A1=A2,grok-3-mini,1.0,0.0104,0.5266,0.0,0.9743,0.8064,1.0,1.0,0.9549,0.0807,0.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0
classification,overall,?A1=A2,llama3.1:70b,1.0,1.0,1.0,0.839,1.0,1.0,1.0,1.0,1.0,1.0,0.0078,0.0,1.0,1.0,0.0,0.9964,0.8683,0.0
classification,overall,?A1=A2,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A2,mistral-small:24b,1.0,0.9216,0.9999,0.0383,1.0,1.0,1.0,1.0,1.0,0.9908,0.0,0.0,0.9999,0.0049,0.0,1.0,0.0589,0.0
classification,overall,?A1=A2,o3,1.0,0.9986,1.0,0.4581,1.0,1.0,1.0,1.0,1.0,0.9999,0.0003,0.0,1.0,0.1547,0.0,0.9528,1.0,0.0
classification,overall,?A1=A3+A4,deepseek-chat,1.0,0.9996,1.0,0.0,0.9998,0.9957,0.0,1.0,1.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.191,0.9999
classification,overall,?A1=A3+A4,deepseek-reasoner,0.0001,0.3213,1.0,0.0,0.3864,0.1221,0.0,1.0,0.9603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
classification,overall,?A1=A3+A4,gemini-2.0-flash,0.0006,1.0,1.0,0.0,0.5911,0.2687,0.0,1.0,0.9879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7191
classification,overall,?A1=A3+A4,gemini-2.5-flash,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5295,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A3+A4,gemini-2.5-pro,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0219,0.0,0.9999,0.0,0.0,0.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-4.1-2025-04-14,0.0003,0.4541,1.0,0.0,1.0,0.2114,0.0,1.0,0.9814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6569
classification,overall,?A1=A3+A4,gpt-4.1-mini-2025-04-14,0.0058,0.767,1.0,0.0,0.8202,1.0,0.0,1.0,0.9984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.8999
classification,overall,?A1=A3+A4,gpt-4.1-nano-2025-04-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9934,1.0,0.0,1.0,0.0872,0.0,0.4238,1.0,1.0
classification,overall,?A1=A3+A4,gpt-4o,0.0,0.0,0.5295,0.0,0.0,0.0,0.0,1.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A3+A4,gpt-5,0.0,0.0165,0.9997,0.0,0.025,0.0024,0.0,0.9996,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0516
classification,overall,?A1=A3+A4,gpt-5-mini,1.0,1.0,1.0,1.0,1.0,1.0,0.0082,1.0,1.0,1.0,0.999,0.0,1.0,0.0001,0.0,0.0038,1.0,1.0
classification,overall,?A1=A3+A4,gpt-5-nano,1.0,1.0,1.0,0.9822,1.0,1.0,0.0,1.0,1.0,0.0013,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-oss:20b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9997,0.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,grok-3-mini,0.9982,1.0,1.0,0.0002,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9764,1.0
classification,overall,?A1=A3+A4,llama3.1:70b,1.0,1.0,1.0,1.0,1.0,1.0,0.9245,1.0,1.0,1.0,1.0,0.0003,1.0,1.0,0.0,0.8869,1.0,1.0
