QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	1.0	0	1	1
2	1.0	0	1	0
3	1.0	0	1	1
4	0.07692307692307693	0	0	1
5	1.0	0	1	1
6	0.5652173913043478	0	0	0
7	1.0	0	1	1
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	1.0	0	1	1
12	0.6862745098039216	0	1	1
13	1.0	0	1	1
14	0.0	1	1	1
15	0.8095238095238095	0	0	1
16	0.65625	0	0	0
17	1.0	0	1	1
18	0.5909090909090909	0	1	1
19	0.5	0	1	1
20	1.0	0	1	1
21	1.0	0	1	1
22	1.0	0	1	1
23	1.0	0	1	1
24	0.65	0	0	0
25	0.26666666666666666	0	0	0
26	1.0	0	1	1
27	1.0	0	1	1
28	0.5238095238095238	0	0	1
29	0.06976744186046512	0	0	1
30	1.0	0	1	1
31	1.0	0	1	1
32	1.0	0	1	1
33	0.6875	0	1	1
34	1.0	0	1	1
35	1.0	0	1	1
36	0.5517241379310345	0	1	0
37	0.6428571428571429	0	1	1
38	0.03333333333333333	0	0	0
39	1.0	0	1	0
40	0.5909090909090909	0	0	1
41	0.36752136752136755	0	0	1
42	0.07103825136612021	0	0	0
43	0.6	0	0	1
44	0.8888888888888888	0	1	1
45	1.0	0	1	1
46	0.9230769230769231	0	1	1
47	0.75	0	1	1
48	0.5789473684210527	0	1	0
49	0.8	0	0	1
50	1.0	0	1	1
51	0.4090909090909091	0	0	0
52	0.90625	0	1	0
53	1.0	0	1	1
54	0.6923076923076923	0	1	1
55	1.0	0	1	0
56	1.0	0	1	1
57	0.0	0	0	1
58	0.0	0	0	1
59	1.0	0	1	1
60	0.5714285714285714	0	0	0
61	0.5833333333333334	0	0	0
62	1.0	0	1	0
63	0.9615384615384616	0	1	1
64	0.02631578947368421	0	0	0
65	0.3333333333333333	0	0	1
66	1.0	0	1	1
67	1.0	0	1	1
68	0.6111111111111112	0	1	1
69	1.0	0	1	0
70	0.6046511627906976	0	0	1
71	1.0	0	1	0
72	1.0	0	1	1
73	1.0	0	1	1
74	0.9047619047619048	0	1	1
75	1.0	0	1	1
76	0.38095238095238093	0	0	0
77	0.8333333333333334	0	1	1
78	1.0	0	1	1
79	0.696969696969697	0	1	1
80	0.9295774647887324	0	0	1
81	1.0	0	1	1
82	1.0	0	1	1
83	1.0	0	1	1
84	1.0	0	1	1
85	0.9285714285714286	0	1	1
86	0.7941176470588235	0	1	1
87	1.0	0	1	0
88	0.8181818181818182	0	1	1
89	0.8888888888888888	0	0	1
90	0.5660377358490566	0	0	0
91	0.7647058823529411	0	1	1
92	1.0	0	1	1
93	0.5	0	0	1
94	1.0	0	1	1
95	0.5	0	1	1
96	1.0	0	1	1
97	0.4	0	1	1
98	0.0	0	0	1
99	0.543859649122807	0	0	0
100	0.5862068965517241	0	0	1
101	0.23809523809523808	0	0	1
102	0.5625	0	0	1
103	1.0	0	1	1
104	0.7547169811320755	0	1	0
105	0.7272727272727273	0	1	0
106	0.5517241379310345	0	0	0
107	0.46	0	0	1
108	0.36363636363636365	0	0	1
109	0.8823529411764706	0	1	1
110	0.5416666666666666	0	0	1
111	0.5	0	1	0
112	0.8	0	1	1
113	0.6842105263157895	0	0	1
114	0.4666666666666667	0	0	1
115	1.0	0	1	1
116	1.0	0	1	1
117	1.0	0	1	1
118	1.0	0	1	1
119	0.7916666666666666	0	0	0
120	0.03125	0	0	1
121	0.75	0	0	1
122	0.4722222222222222	0	0	0
123	0.8	0	0	1
124	0.8181818181818182	0	1	1
125	0.7	0	1	1
126	1.0	0	1	1
127	1.0	0	1	0
128	0.3269230769230769	0	0	0
129	1.0	0	1	1
130	0.3877551020408163	0	0	0
131	0.9333333333333333	0	1	1
132	0.6956521739130435	0	0	1
133	0.4489795918367347	0	0	0
134	0.6	0	0	0
135	0.45454545454545453	0	0	1
136	0.6	0	0	1
137	0.11320754716981132	0	0	1
138	0.75	0	1	0
139	0.3391304347826087	0	0	0
140	1.0	0	1	1
141	0.30434782608695654	0	0	1
142	1.0	0	1	1
143	1.0	0	1	0
144	1.0	0	1	0
145	0.75	0	0	1
146	1.0	0	1	1
147	0.8666666666666667	0	1	1
148	0.5	0	1	1
149	1.0	0	1	1
