QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.14285714285714285	0	0
1	0.6363636363636364	0	0
2	1.0	0	1
3	1.0	0	1
4	1.0	0	1
5	1.0	0	1
6	1.0	0	1
7	0.0	0	0
8	1.0	0	1
9	0.5	0	0
10	1.0	0	1
11	0.5	0	0
12	0.0	0	0
13	0.6363636363636364	0	0
14	1.0	0	1
15	0.0	1	1
16	0.6666666666666666	0	0
17	0.0	1	1
18	0.0	0	0
19	0.3333333333333333	0	0
20	0.0	0	0
21	1.0	0	1
22	1.0	0	1
23	1.0	0	1
24	1.0	0	1
25	0.3333333333333333	0	0
26	0.3333333333333333	0	0
27	1.0	0	1
28	0.3333333333333333	0	0
29	1.0	0	1
30	0.0	1	1
31	1.0	0	1
32	0.0	0	0
33	0.0	0	0
34	1.0	0	1
35	0.0	0	0
36	0.3125	0	0
37	0.6666666666666666	0	0
38	0.5	0	0
39	0.3333333333333333	0	0
40	0.2	0	0
41	1.0	0	1
42	1.0	0	1
43	0.6666666666666666	0	0
44	0.0	0	0
45	0.0	0	0
46	1.0	0	1
47	0.0	0	0
48	1.0	0	1
49	1.0	0	1
