index	source_id	Q1	Q2	Q3	Q4	source
0	0	In which cities did Jan Brueghel the Elder live and work?	In what cities did Jan Brueghel the Elder live and carry out his work?	In which Italian cities did Jan Brueghel the Elder live and work?	In which cities outside Italy did Jan Brueghel the Elder live and work?	LC-QuAD
1	1	What are the tributaries of the Rhône River?	Which tributaries does the Rhône have?	Which tributaries join the Rhône River in Switzerland?	Which tributaries join the Rhône River outside Switzerland?	LC-QuAD
2	2	What U.S. states does the Delaware River drain?	Which U.S. states does the Delaware River Basin span?	In which U.S. state is the source of the Delaware River?	Which U.S. states that the Delaware River drains from do not contain its source?	LC-QuAD
3	3	During the 34th Academy Awards, for which awards was the film La Dolce Vita nominated?	For which awards was the movie La Dolce Vita nominated at the 34th Academy Awards?	During the 34th Academy Awards, what awards did the film La Dolce Vita win?	During the 34th Academy Awards, for which awards was the film La Dolce Vita nominated that it did not win?	LC-QuAD
4	4	What was NCIS nominated for in the year 2013?	For which awards was NCIS nominated in 2013?	What awards did NCIS win in the year 2013?	For what awards was NCIS nominated in the year 2013 but did not win?	LC-QuAD
5	5	For which awards were Gladys Knight & the Pips nominated in 1975?	For which 1975 awards were Gladys Knight & the Pips nominated?	In 1975, for which awards were Gladys Knight & the Pips nominated excluding American Music Awards?	In 1975, for which American Music Awards were Gladys Knight & the Pips nominated?	LC-QuAD
6	6	What characters in Nabucco sing as sopranos?	Which characters in Nabucco perform as sopranos?	What slaves in Nabucco sing as sopranos?	What characters in Nabucco that sing as sopranos are not slaves?	LC-QuAD
7	7	In which U.S. states was the plot of North by Northwest set?	Which U.S. states were settings for the story of North by Northwest?	Which U.S. states were settings for the plot of North by Northwest and had filming on location?	Which U.S. states were settings for the plot of North by Northwest but did not have filming on location?	LC-QuAD
8	8	Who were the students under Tchaikovsky’s direct guidance?	Which students were under Tchaikovsky’s direct guidance?	Which student under Tchaikovsky’s direct guidance later taught Rachmaninoff?	Which students under Tchaikovsky’s direct guidance did not later teach Rachmaninoff?	LC-QuAD
9	9	What sons did Emperor Wu of Jin have?	Who were the sons of Emperor Wu of Jin?	What sons of Emperor Wu of Jin later became an emperor?	What sons of Emperor Wu of Jin did not later become an emperor?	LC-QuAD
10	10	What countries border Senegal and are members of AFRISTAT?	Which countries that Senegal borders are members of AFRISTAT?	Which country that borders Senegal is a member of AFRISTAT and hosts its headquarters?	Which countries that border Senegal are members of AFRISTAT but do not host its headquarters?	LC-QuAD
11	11	What districts of Lower Saxony are on the North Sea coast?	Which districts of Lower Saxony border the North Sea?	What districts of Lower Saxony in East Frisia are on the North Sea coast?	What districts of Lower Saxony outside of East Frisia are on the North Sea coast?	LC-QuAD
12	12	"What characters are part of the Simpsons episode titled ""A Fish Called Selma""?"	"Which characters appear in the Simpsons episode titled ""A Fish Called Selma""?"	"Which characters from the Simpsons family appear in the Simpsons episode titled ""A Fish Called Selma""?"	"Which characters appear in the Simpsons episode titled ""A Fish Called Selma"" excluding those from the Simpsons family?"	LC-QuAD
13	13	What clubs has Nestor de Vincente played for?	For which clubs did Nestor de Vincente play?	For which Argentinian clubs did Nestor de Vincente play?	For which clubs outside Argentina did Nestor de Vincente play?	LC-QuAD
14	14	What other movies did the director of Sharknado direct?	Which additional films were directed by the director of Sharknado?	What short movies did the director of Sharknado direct?	What other full-length movies did the director of Sharknado direct?	LC-QuAD
15	15	Who were the actresses in Dumb and Dumberer?	Which actresses appeared in Dumb and Dumberer?	Which actresses in Dumb and Dumberer portray characters from the Swanson family?	Which actresses in Dumb and Dumberer portray characters not from the Swanson family?	LC-QuAD
16	16	Which U.S. Presidents were in power during the Cold War?	What American Presidents held office during the Cold War?	Which U.S. Presidents were in power during the Cold War while Gorbachev was president?	Which U.S. Presidents were in power during the Cold War but not while Gorbachev was president?	LC-QuAD
17	17	Who are the voice actors in season 9 of the television series American Dad?	Which actors provided the voices in season 9 of the TV show American Dad?	Who are the voice actors appearing in more than one episode of season 9 of the television series American Dad?	Who are the voice actors appearing in only one episode of season 9 of the television series American Dad?	LC-QuAD
18	18	What infections are prevented with chlorhexidine?	Which infections can be avoided using chlorhexidine?	What bacterial infections can be prevented with chlorhexidine?	What fungal or viral infections are prevented with chlorhexidine?	LC-QuAD
19	19	List all whiskeys made by the Glenfiddich Distillery.	What whiskeys are produced by the Glenfiddich Distillery?	What whiskeys are produced by the Glenfiddich Distillery using rum casks?	What whiskeys are produced by the Glenfiddich Distillery without using rum casks?	LC-QuAD
20	20	What medical conditions does amitriptyline treat?	Which medical conditions are treated with amitriptyline?	What medical conditions does amitriptyline treat that are related to mental health or psychiatric disorders?	What medical conditions does amitriptyline treat that are not related to mental health or psychiatric disorders?	LC-QuAD
21	21	What Fortune 500 businesses are headquartered in Cleveland?	Which Fortune 500 companies have their headquarters located in Cleveland?	What Fortune 500 businesses ranked in the top 250 are headquartered in Cleveland?	What Fortune 500 businesses ranked in the bottom 250 are headquartered in Cleveland?	LC-QuAD
22	22	Which carriers currently operate the Airbus A330-neo?	Which airlines currently use the Airbus A330-neo in their fleet?	Which carriers currently operate the Airbus A330-neo on transatlantic routes?	Which carriers currently operate the Airbus A330-neo but not on any transatlantic routes?	LC-QuAD
23	23	What paintings show the Tower of Babel?	Which paintings depict the Tower of Babel?	What paintings by Pieter Bruegel the Elder show the Tower of Babel?	What paintings by artists other than Pieter Bruegel the Elder show the Tower of Babel?	LC-QuAD
24	24	What books were illustrated by William Blake?	Which books feature illustrations by William Blake?	What books written by other authors were illustrated by William Blake?	What books written by William Blake were also illustrated by him?	LC-QuAD
