llm,dataset,action,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),J(A1*-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
deepseek-chat,qawiki,classification,0.98,0.8467,0.9,0.9333,0.56,0.9925,0.9582,0.6638,0.6377,0.6588,0.3667,0.3667,0.4,0.4333
deepseek-chat,qawiki,fixing,0.7933,0.7133,0.8867,0.94,0.9467,0.8925,0.8845,0.5727,0.5964,0.5797,0.1133,0.1,0.1867,0.1867
deepseek-chat,qawiki,wikidata,0.28,0.22,0.5867,0.52,0.64,0.3778,0.3321,,,,0.1867,0.1867,0.3533,0.3867
deepseek-chat,qawiki,zero-shot,0.2067,0.14,0.4133,0.36,0.6133,0.4224,0.3716,,,,0.0867,0.1067,0.2267,0.2067
deepseek-chat,spinach,classification,0.9867,0.84,0.9267,0.92,0.72,0.9994,0.9646,0.7468,0.6856,0.7301,0.2267,0.2267,0.2533,0.2933
deepseek-chat,spinach,fixing,0.8267,0.7467,0.8867,0.9533,0.96,0.9232,0.9161,0.7327,0.7319,0.752,0.0533,0.0533,0.12,0.1733
deepseek-chat,spinach,wikidata,0.32,0.2067,0.5267,0.5533,0.62,0.5286,0.4744,,,,0.0933,0.1067,0.1533,0.3267
deepseek-chat,spinach,zero-shot,0.32,0.1467,0.4667,0.4333,0.5667,0.5752,0.4519,,,,0.04,0.04,0.0933,0.2467
deepseek-chat,synthetic,classification,0.9333,0.7733,0.9067,0.9133,0.9333,0.9579,0.9413,0.7571,0.7342,0.7401,0.08,0.1,0.0933,0.1
deepseek-chat,synthetic,fixing,0.8933,0.8533,0.92,0.9867,0.9667,0.9525,0.9625,0.8214,0.8428,0.8304,0.0267,0.02,0.06,0.0867
deepseek-chat,synthetic,wikidata,0.4867,0.2067,0.5667,0.5533,0.5733,0.6873,0.5714,,,,0.06,0.06,0.1333,0.1933
deepseek-chat,synthetic,zero-shot,0.4667,0.2133,0.5133,0.4867,0.56,0.6754,0.5407,,,,0.0267,0.0533,0.1067,0.1333
