QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	0
1	1.0	0	1	0
2	1.0	0	1	0
3	1.0	0	1	0
4	1.0	0	1	0
5	1.0	0	1	0
6	0.9428571428571428	0	0	0
7	1.0	0	1	0
8	1.0	0	1	0
9	1.0	0	1	0
10	1.0	0	1	0
11	1.0	0	1	0
12	1.0	0	1	0
13	1.0	0	1	0
14	1.0	0	1	0
15	1.0	0	1	0
16	1.0	0	1	0
17	1.0	0	1	0
18	1.0	0	1	0
19	0.9433962264150944	0	0	0
20	1.0	0	1	0
21	0.6666666666666666	0	0	0
22	1.0	0	1	0
23	0.9736842105263158	0	0	0
24	1.0	0	1	0
25	1.0	0	1	0
26	1.0	0	1	0
27	0.0	1	1	0
28	1.0	0	1	0
29	1.0	0	1	0
30	1.0	0	1	0
31	0.5	0	0	0
32	1.0	0	1	0
33	1.0	0	1	0
34	1.0	0	1	0
35	1.0	0	1	0
36	1.0	0	1	0
37	1.0	0	1	0
38	1.0	0	1	0
39	1.0	0	1	0
40	1.0	0	1	0
41	0.5	0	0	0
42	1.0	0	1	0
43	0.25287356321839083	0	0	0
44	1.0	0	1	0
45	1.0	0	1	0
46	1.0	0	1	0
47	1.0	0	1	0
48	1.0	0	1	0
49	1.0	0	1	0
50	1.0	0	1	0
51	1.0	0	1	0
52	0.8888888888888888	0	0	0
53	1.0	0	1	0
54	1.0	0	1	0
55	1.0	0	1	0
56	0.0	0	0	0
57	1.0	0	1	0
58	0.8	0	0	0
59	0.7674418604651163	0	0	0
60	1.0	0	1	0
61	1.0	0	1	0
62	1.0	0	1	0
63	1.0	0	1	0
64	0.0	0	0	0
65	1.0	0	1	0
66	1.0	0	1	0
67	1.0	0	1	0
68	0.46153846153846156	0	0	0
69	1.0	0	1	0
70	1.0	0	1	0
71	1.0	0	1	0
72	1.0	0	1	0
73	1.0	0	1	0
74	1.0	0	1	0
75	1.0	0	1	0
76	1.0	0	1	0
77	1.0	0	1	0
78	1.0	0	1	0
79	0.9230769230769231	0	0	0
80	1.0	0	1	0
81	1.0	0	1	0
82	1.0	0	1	0
83	1.0	0	1	0
84	0.7777777777777778	0	0	0
85	0.22727272727272727	0	0	0
86	1.0	0	1	0
87	1.0	0	1	0
88	1.0	0	1	0
89	1.0	0	1	0
90	1.0	0	1	0
91	1.0	0	1	0
92	1.0	0	1	0
93	0.6666666666666666	0	0	0
94	1.0	0	1	0
95	1.0	0	1	0
96	1.0	0	1	0
97	0.0	0	0	0
98	1.0	0	1	0
99	1.0	0	1	0
100	1.0	0	1	0
101	1.0	0	1	0
102	1.0	0	1	0
103	1.0	0	1	0
104	0.7272727272727273	0	0	0
105	0.8695652173913043	0	0	0
106	1.0	0	1	0
107	0.9230769230769231	0	0	0
108	1.0	0	1	0
109	0.8571428571428571	0	0	0
110	1.0	0	1	0
111	1.0	0	1	0
112	1.0	0	1	0
113	0.0	0	0	0
114	1.0	0	1	0
115	1.0	0	1	0
116	1.0	0	1	0
117	1.0	0	1	0
118	1.0	0	1	0
119	1.0	0	1	0
120	0.95	0	0	0
121	1.0	0	1	0
122	1.0	0	1	0
123	1.0	0	1	0
124	1.0	0	1	0
125	0.8181818181818182	0	0	0
126	1.0	0	1	0
127	1.0	0	1	0
128	0.09424083769633508	0	0	0
129	1.0	0	1	0
130	0.0	0	0	0
131	0.9724137931034482	0	0	0
132	1.0	0	1	0
133	1.0	0	1	0
134	1.0	0	1	0
135	1.0	0	1	0
136	1.0	0	1	0
137	1.0	0	1	0
138	1.0	0	1	0
139	1.0	0	1	0
140	1.0	0	1	0
141	1.0	0	1	0
142	1.0	0	1	0
143	1.0	0	1	0
144	1.0	0	1	0
145	0.76	0	0	0
146	1.0	0	1	0
147	1.0	0	1	0
148	1.0	0	1	0
149	1.0	0	1	0
