QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.6666666666666666	0	1	1
1	0.7368421052631579	0	1	1
2	1.0	0	1	1
3	1.0	0	1	1
4	0.4583333333333333	0	1	1
5	1.0	0	1	1
6	0.38235294117647056	0	0	1
7	0.4444444444444444	0	1	1
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	0.9411764705882353	0	1	1
12	1.0	0	1	1
13	0.9270833333333334	0	0	0
14	0.7916666666666666	0	0	1
15	0.5714285714285714	0	0	1
16	0.9230769230769231	0	1	1
17	0.9166666666666666	0	1	1
18	1.0	0	1	1
19	0.85	0	1	1
20	0.6666666666666666	0	0	1
21	1.0	0	1	1
22	1.0	0	1	1
23	0.7333333333333333	0	1	1
24	0.9	0	1	0
25	0.6666666666666666	0	0	0
26	0.8333333333333334	0	1	0
27	1.0	0	1	1
28	0.8333333333333334	0	1	1
29	1.0	0	1	1
30	1.0	0	1	1
31	0.7142857142857143	0	1	1
32	1.0	0	1	1
33	0.9767441860465116	0	1	0
34	1.0	0	1	1
35	0.8833333333333333	0	0	1
36	0.75	0	1	1
37	1.0	0	1	0
38	0.9333333333333333	0	1	1
39	0.4444444444444444	0	0	1
40	0.6666666666666666	0	1	0
41	1.0	0	1	1
42	1.0	0	1	1
43	0.4225352112676056	0	0	0
44	0.9767441860465116	0	1	1
45	0.6666666666666666	0	1	1
46	1.0	0	1	1
47	1.0	0	1	0
48	0.75	0	1	1
49	1.0	0	1	1
50	1.0	0	1	1
51	1.0	0	1	1
52	1.0	0	1	1
53	0.9047619047619048	0	1	1
54	1.0	0	1	1
55	1.0	0	1	1
56	0.75	0	0	1
57	0.3333333333333333	0	0	1
58	0.8	0	1	1
59	0.013986013986013986	0	1	1
60	0.8	0	1	1
61	1.0	0	1	1
62	0.9655172413793104	0	1	1
63	0.3333333333333333	0	0	0
64	0.48	0	1	1
65	1.0	0	1	1
66	0.7142857142857143	0	1	0
67	1.0	0	1	1
68	0.15151515151515152	0	0	1
69	0.7142857142857143	0	0	1
70	0.5714285714285714	0	1	0
71	0.36363636363636365	0	0	1
72	1.0	0	1	1
73	1.0	0	1	0
74	1.0	0	1	1
75	1.0	0	1	1
76	1.0	0	1	1
77	0.7647058823529411	0	1	1
78	1.0	0	1	1
79	0.8571428571428571	0	1	1
80	0.6666666666666666	0	1	1
81	0.9333333333333333	0	0	1
82	0.6666666666666666	0	1	1
83	0.8666666666666667	0	1	1
84	0.3125	0	0	1
85	0.5	0	1	0
86	1.0	0	1	1
87	1.0	0	1	1
88	0.0	0	0	1
89	1.0	0	1	0
90	0.7272727272727273	0	0	1
91	1.0	0	1	1
92	0.9230769230769231	0	1	1
93	1.0	0	1	1
94	0.2	0	1	1
95	0.95	0	1	1
96	1.0	0	1	1
97	0.5714285714285714	0	0	1
98	1.0	0	1	1
99	1.0	0	1	1
100	0.875	0	1	1
101	1.0	0	1	1
102	0.8888888888888888	0	1	1
103	1.0	0	1	1
104	0.5	0	1	1
105	0.1956521739130435	0	0	1
106	0.5	0	1	1
107	0.5	0	0	1
108	0.6	0	1	1
109	0.4	0	0	1
110	1.0	0	1	1
111	0.9333333333333333	0	1	1
112	0.6111111111111112	0	0	1
113	1.0	0	1	0
114	0.8571428571428571	0	1	1
115	1.0	0	1	1
116	1.0	0	1	1
117	1.0	0	1	1
118	1.0	0	1	0
119	1.0	0	1	1
120	0.8947368421052632	0	1	1
121	0.4444444444444444	0	0	0
122	1.0	0	1	1
123	1.0	0	1	1
124	1.0	0	1	1
125	0.9166666666666666	0	0	1
126	0.8333333333333334	0	0	1
127	0.8333333333333334	0	0	1
128	1.0	0	1	1
129	1.0	0	1	1
130	0.9375	0	1	0
131	0.5882352941176471	0	0	1
132	0.2	0	1	1
133	0.9782608695652174	0	0	1
134	1.0	0	1	1
135	1.0	0	1	1
136	0.7333333333333333	0	0	1
137	1.0	0	1	1
138	1.0	0	1	1
139	1.0	0	1	1
140	0.6	0	0	1
141	1.0	0	1	1
142	0.3333333333333333	0	0	1
143	0.25	0	1	1
144	0.22727272727272727	0	0	1
145	1.0	0	1	0
146	0.3333333333333333	0	0	1
147	0.8571428571428571	0	1	1
148	0.6153846153846154	0	1	1
149	0.25	0	0	0
