llm,?A1=A2_zs,?A1=A3+A4_zs,?A1>A3_zs,?A1>A4_zs,?A3∅A4_zs,?A4=A1|3_zs,J(A1-A2)_zs,J(A1-A34)_zs,J(A3-A4)_zs,J(A4-A1|3)_zs,?A1=A2_clf,?A1=A3+A4_clf,?A1>A3_clf,?A1>A4_clf,?A3∅A4_clf,?A4=A1|3_clf,J(A1-A2)_clf,J(A1-A34)_clf,J(A3-A4)_clf,J(A4-A1|3)_clf,Δ_?A1=A2,Δ_?A1=A3+A4,Δ_?A1>A3,Δ_?A1>A4,Δ_?A3∅A4,Δ_?A4=A1|3,Δ_J(A1-A2),Δ_J(A1-A34),Δ_J(A3-A4),Δ_J(A4-A1|3)
deepseek-chat,0.325,0.165,0.455,0.4017,0.56,0.0733,0.5703,0.4662,0.1661,0.2573,0.945,0.825,0.8467,0.9117,0.6733,0.5417,0.9722,0.9404,0.3101,0.6274,0.62,0.66,0.3917,0.51,0.1133,0.4684,0.4019,0.4742,0.144,0.3701
deepseek-reasoner,0.1867,0.135,0.4017,0.3017,0.82,0.1083,0.461,0.4102,0.0396,0.3115,0.785,0.7883,0.7533,0.8533,0.6967,0.515,0.824,0.8742,0.2966,0.5637,0.5983,0.6533,0.3516,0.5516,-0.1233,0.4067,0.363,0.464,0.257,0.2522
gemini-2.0-flash,0.3267,0.1217,0.415,0.3533,0.6267,0.05,0.6008,0.4605,0.13,0.2914,0.8817,0.8483,1.0,0.945,0.6433,0.5383,0.9384,0.9292,0.2782,0.6268,0.555,0.7266,0.585,0.5917,0.0166,0.4883,0.3376,0.4687,0.1482,0.3354
gemini-2.5-flash,0.335,0.2467,0.495,0.415,0.845,0.2183,0.6101,0.5398,0.036,0.4382,0.8983,0.93,1.0,0.9683,0.9067,0.8483,0.9383,0.9607,0.0882,0.8392,0.5633,0.6833,0.505,0.5533,0.0617,0.63,0.3282,0.4209,0.0522,0.401
gemini-2.5-pro,0.31,0.2233,0.4367,0.3883,0.815,0.195,0.6314,0.5665,0.0325,0.4698,0.8533,0.765,1.0,0.88,0.93,0.7133,0.8978,0.8616,0.0622,0.7902,0.5433,0.5417,0.5633,0.4917,0.115,0.5183,0.2664,0.2951,0.0297,0.3204
gpt-4.1-2025-04-14,0.3967,0.165,0.4983,0.3867,0.6333,0.1017,0.6771,0.5435,0.1118,0.3581,0.9183,0.87,0.7033,0.975,0.87,0.7483,0.9754,0.9711,0.1174,0.8484,0.5216,0.705,0.205,0.5883,0.2367,0.6466,0.2983,0.4276,0.0056,0.4903
gpt-4.1-mini-2025-04-14,0.3367,0.14,0.4817,0.3833,0.5633,0.055,0.6296,0.5016,0.1574,0.2812,0.8983,0.8633,0.64,0.9483,0.7717,0.64,0.9573,0.9482,0.2183,0.7241,0.5616,0.7233,0.1583,0.565,0.2084,0.585,0.3277,0.4466,0.0609,0.4429
gpt-4.1-nano-2025-04-14,0.2783,0.1183,0.4567,0.3717,0.62,0.04,0.5129,0.3949,0.1915,0.2037,0.9733,0.565,0.7167,0.5667,0.3817,0.0,0.9757,0.7272,0.6149,0.0017,0.695,0.4467,0.26,0.195,-0.2383,-0.04,0.4628,0.3323,0.4234,-0.202
gpt-4o,0.4517,0.255,0.5333,0.47,0.6283,0.0617,0.6534,0.5385,0.2669,0.2612,0.9733,0.9367,0.9933,0.9833,0.3633,0.3067,0.5867,0.9801,0.6279,0.3508,0.5216,0.6817,0.46,0.5133,-0.265,0.245,-0.0667,0.4416,0.361,0.0896
gpt-5,0.61,0.4317,0.6417,0.65,0.735,0.2167,0.7816,0.6814,0.2211,0.4816,0.9233,0.8817,1.0,0.965,0.7067,0.5983,0.9663,0.9334,0.292,0.6683,0.3133,0.45,0.3583,0.315,-0.0283,0.3816,0.1847,0.252,0.0709,0.1867
gpt-5-mini,0.6533,0.4783,0.6383,0.6817,0.615,0.1433,0.7718,0.6709,0.3593,0.3725,0.88,0.6417,1.0,0.75,0.6733,0.34,0.9258,0.7667,0.3267,0.4464,0.2267,0.1634,0.3617,0.0683,0.0583,0.1967,0.154,0.0958,-0.0326,0.0739
gpt-5-nano,0.59,0.4367,0.64,0.6317,0.6767,0.1733,0.7228,0.633,0.2988,0.3852,0.7783,0.69,1.0,0.7683,0.195,0.005,0.7816,0.7608,0.8039,0.0782,0.1883,0.2533,0.36,0.1366,-0.4817,-0.1683,0.0588,0.1278,0.5051,-0.307
gpt-oss:20b,0.2167,0.1533,0.38,0.325,0.83,0.1,0.4413,0.398,0.0775,0.2927,0.6717,0.4833,1.0,0.7317,0.8467,0.38,0.7939,0.7677,0.1073,0.6099,0.455,0.33,0.62,0.4067,0.0167,0.28,0.3526,0.3697,0.0298,0.3172
grok-3-mini,0.3433,0.2617,0.5233,0.4383,0.8767,0.23,0.6346,0.5715,0.0561,0.4478,0.9083,0.7883,1.0,0.9,0.8667,0.6683,0.9639,0.9366,0.1277,0.7869,0.565,0.5266,0.4767,0.4617,-0.01,0.4383,0.3293,0.3651,0.0716,0.3391
llama3.1:70b,0.2067,0.07,0.2883,0.2383,0.71,0.0283,0.4712,0.3543,0.1006,0.2067,0.8033,0.5733,1.0,0.8633,0.935,0.5617,0.9071,0.8621,0.0295,0.812,0.5966,0.5033,0.7117,0.625,0.225,0.5334,0.4359,0.5078,-0.0711,0.6053
llama3.1:8b,0.0167,0.0017,0.03,0.0117,0.8433,0.0,0.1667,0.1173,0.0329,0.0644,0.1633,0.0833,1.0,0.3383,0.6817,0.05,0.5603,0.5018,0.0974,0.3899,0.1466,0.0816,0.97,0.3266,-0.1616,0.05,0.3936,0.3845,0.0645,0.3255
mistral-small:24b,0.4407,0.2407,0.5034,0.4525,0.5085,0.0153,0.6399,0.5192,0.3447,0.2057,0.845,0.565,1.0,0.8067,0.7983,0.4233,0.9257,0.811,0.1774,0.6371,0.4043,0.3243,0.4966,0.3542,0.2898,0.408,0.2858,0.2918,-0.1673,0.4314
o3,0.3441,0.2288,0.5068,0.3864,0.8661,0.1915,0.6246,0.5426,0.0553,0.4383,0.82,0.81,0.8833,0.9133,0.925,0.7467,0.9324,0.9124,0.0674,0.8397,0.4759,0.5812,0.3765,0.5269,0.0589,0.5552,0.3078,0.3698,0.0121,0.4014
