llm,?A1=A1*,J(A1-A1*),?A1=A2,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,ave_?A,J(A1-A2),J(A3-A4),J(A4-A1|3),idk
llama3.1:8b,0.0555555555555555,0.3235651111111111,0.0178,0.0356,0.0134,0.8277,0.0,0.1789,0.1866,0.0327,0.0718,0.017775
gpt-oss:20b,0.2233766233766233,0.482092987012987,0.1783,0.3839,0.2929,0.8511,0.1114,0.36351999999999995,0.4361,0.0409,0.321,0.122225
gpt-4.1-nano-2025-04-14,0.0951156812339331,0.2099690231362467,0.2993,0.476,0.3932,0.62,0.0385,0.3654,0.5696,0.1626,0.2397,0.081675
mistral-small:24b,0.3475,0.62494575,0.3486,0.4263,0.3462,0.6296,0.0159,0.35332,0.5933,0.1699,0.2522,0.27375
llama3.1:70b,0.2184684684684684,0.519797972972973,0.2309,0.2975,0.2489,0.714,0.0358,0.30541999999999997,0.4943,0.0903,0.2155,0.0283249999999999
gemini-2.0-flash,0.4481472422648893,0.6965055790632262,0.3556,0.4356,0.3778,0.6222,0.0556,0.36936,0.627,0.1308,0.2983,0.0039
gpt-4.1-mini-2025-04-14,0.2585163441327824,0.5430029082409219,0.3826,0.5156,0.4273,0.5236,0.0647,0.38276,0.6932,0.1695,0.3092,0.025575
gpt-4o,0.3770764119601328,0.6666852325581395,0.3476,0.4483,0.3489,0.8033,0.0864,0.4069,0.5987,0.0603,0.3307,0.26055
gpt-4.1-2025-04-14,0.2850972899325144,0.6063573952057565,0.4487,0.5347,0.4318,0.6222,0.1163,0.43073999999999996,0.7201,0.1072,0.3798,0.0327999999999999
grok-3-mini,0.3771712158808933,0.6472789081885855,0.3449,0.5392,0.4527,0.9055,0.25,0.49846,0.6492,0.0266,0.4886,0.0772
deepseek-chat,0.3473613666048922,0.6002096268916988,0.3162,0.4437,0.4024,0.5707,0.0728,0.36116000000000004,0.5607,0.1404,0.2569,0.115375
gemini-2.5-flash,0.3549095845028298,0.6672380958680347,0.3402,0.492,0.4477,0.8493,0.237,0.47324,0.6369,0.0268,0.4715,0.057775
gpt-5-nano,0.2450582218446945,0.3939573166631274,0.3929,0.5266,0.462,0.9435,0.2514,0.51528,0.6103,0.0229,0.5388,0.3739
deepseek-reasoner,0.2384579870729455,0.4813691680910001,0.1862,0.3954,0.3025,0.8101,0.1121,0.36126,0.4582,0.0359,0.317,0.0447
gemini-2.5-pro,0.3631637429257368,0.6845870101270632,0.3213,0.4417,0.3978,0.8036,0.2098,0.43484,0.6487,0.0309,0.4888,0.03335
gpt-5-mini,0.4376896591970121,0.6801959821428571,0.428,0.457,0.4699,0.9431,0.2233,0.50426,0.6486,0.009,0.5573,0.4438999999999999
o3,0.3019129603060736,0.5998663205404113,0.3238,0.4941,0.3986,0.8806,0.2263,0.4646800000000001,0.6345,0.0249,0.4754,0.0837
gpt-5,0.4755979679293716,0.746084226212852,0.4548,0.5647,0.5538,0.9145,0.3116,0.5598799999999999,0.7005,0.0174,0.6379,0.323325
