QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.2	0	0
1	0.3	0	0
2	0.0	1	1
3	0.25	0	0
4	0.5	0	0
5	0.25	0	0
6	0.3333333333333333	0	0
7	0.0	0	0
8	0.125	0	0
9	1.0	0	1
10	1.0	0	1
11	0.0	1	1
12	0.0	1	1
13	0.5	0	0
14	0.3333333333333333	0	0
15	1.0	0	1
16	0.0	0	0
17	0.0	0	0
18	0.0	0	0
19	0.0	0	0
20	0.0	1	1
21	0.0	0	0
22	0.0	0	0
23	0.0	0	0
24	0.0	0	0
25	0.0	0	0
26	0.4	0	0
27	0.3333333333333333	0	0
28	0.0	0	0
29	0.0	0	0
30	1.0	0	1
31	0.0	0	0
32	1.0	0	1
33	0.027777777777777776	0	0
34	0.45	0	0
35	1.0	0	1
36	0.45454545454545453	0	0
37	0.18181818181818182	0	0
