dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,J(A1-A2),J(A1-A34),J(A1-A1*),J(A1-A1**),A1_empty_ratio,A2_empty_ratio,A3_empty_ratio,A4_empty_ratio
qawiki,classification,gpt-4.1-2025-04-14,0.9067,0.8267,0.9333,0.9333,0.8133,0.9786,0.963,0.671,0.653,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-mini-2025-04-14,0.8733,0.7933,0.9067,0.9533,0.6933,0.9633,0.9627,0.6471,0.6269,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4.1-nano-2025-04-14,0.8,0.8933,0.78,0.92,0.0867,0.8167,0.9222,0.8371,0.8743,0.0,0.0,0.0,0.0
qawiki,classification,gpt-4o,0.98,0.94,1.0,0.9933,0.2867,0.2828,0.9686,0.1983,0.1767,0.7067,0.7133,1.0,0.0133
qawiki,classification,o3,0.7667,0.72,1.0,0.8533,0.9,0.9033,0.8837,0.4783,0.541,0.0,0.0,1.0,0.0333
qawiki,fixing,gpt-4.1-2025-04-14,0.76,0.7467,0.8667,0.9533,0.8933,0.9013,0.9098,0.7944,0.789,0.0067,0.0067,0.02,0.0667
qawiki,fixing,gpt-4.1-mini-2025-04-14,0.7267,0.68,0.8333,0.98,0.8867,0.869,0.8699,0.729,0.7245,0.0133,0.0267,0.04,0.06
qawiki,fixing,gpt-4.1-nano-2025-04-14,0.4733,0.1733,0.56,0.4267,0.6267,0.5857,0.3823,0.6356,0.6437,0.02,0.0733,0.1067,0.04
qawiki,fixing,gpt-4o,0.8389,0.7919,0.9195,0.9329,0.9195,0.5966,0.5783,0.3555,0.3689,0.3356,0.3557,0.4027,0.3691
qawiki,fixing,o3,0.7067,0.7333,0.8533,0.9,0.9667,0.6446,0.7051,0.4113,0.4086,0.28,0.2467,0.1733,0.2267
qawiki,wikidata,gpt-4.1-2025-04-14,0.2667,0.1267,0.3933,0.3467,0.6133,0.6657,0.5248,,,0.0,0.0,0.02,0.0067
qawiki,wikidata,gpt-4.1-mini-2025-04-14,0.22,0.06,0.2733,0.2933,0.86,0.3749,0.2322,,,0.0333,0.0133,0.0667,0.1133
qawiki,wikidata,gpt-4.1-nano-2025-04-14,0.2933,0.06,0.3333,0.4467,0.8933,0.5264,0.402,,,0.0067,0.0,0.2467,0.02
qawiki,wikidata,gpt-4o,0.92,0.7933,0.8333,0.8733,0.16,0.92,0.8317,,,0.0,0.0,0.0,0.0
qawiki,wikidata,o3,0.36,0.22,0.5267,0.3467,0.86,0.605,0.5267,,,0.0067,0.0067,0.06,0.0067
qawiki,zero-shot,gpt-4.1-2025-04-14,0.28,0.0867,0.36,0.3067,0.62,0.5849,0.4417,,,0.0,0.0,0.0267,0.0267
qawiki,zero-shot,gpt-4.1-mini-2025-04-14,0.26,0.1133,0.44,0.3467,0.56,0.6002,0.4513,,,0.0,0.0,0.0267,0.0267
qawiki,zero-shot,gpt-4.1-nano-2025-04-14,0.2333,0.0933,0.4333,0.3467,0.6533,0.4523,0.3773,,,0.0133,0.0333,0.1,0.0267
qawiki,zero-shot,gpt-4o,0.42,0.32,0.4867,0.4733,0.6267,0.5852,0.5242,,,0.0,0.0,0.0333,0.0267
qawiki,zero-shot,o3,0.2733,0.16,0.44,0.2867,0.7933,0.5362,0.4401,,,0.0133,0.0133,0.0467,0.0
spinach,classification,gpt-4.1-2025-04-14,0.9485,0.8969,0.9485,0.9691,0.9794,0.9249,0.911,0.7187,0.6813,0.0515,0.0515,0.0515,0.1443
spinach,classification,gpt-4.1-mini-2025-04-14,0.94,0.8867,0.9667,0.98,0.7867,0.8755,0.9636,0.5971,0.5677,0.1067,0.1067,0.14,0.0667
spinach,classification,gpt-4.1-nano-2025-04-14,0.8333,0.5733,0.84,0.5867,0.36,0.0155,0.7561,0.0087,0.0,0.98,0.82,0.74,0.0
spinach,classification,gpt-4o,0.98,0.9533,0.9733,0.9867,0.4333,0.4551,0.9902,0.3163,0.3233,0.54,0.54,0.56,0.02
spinach,classification,o3,0.8,0.76,0.8333,0.8933,0.94,0.9275,0.9055,0.5689,0.6467,0.0,0.0,0.0933,0.0667
spinach,fixing,gpt-4.1-2025-04-14,0.9067,0.76,0.9467,0.9267,1.0,0.9275,0.9078,0.8455,0.8494,0.0333,0.0333,0.0733,0.1133
spinach,fixing,gpt-4.1-mini-2025-04-14,0.8533,0.7533,0.8867,0.98,0.9667,0.9138,0.8935,0.7759,0.7902,0.0267,0.02,0.04,0.1267
spinach,fixing,gpt-4.1-nano-2025-04-14,0.76,0.44,0.6467,0.7067,0.6133,0.6881,0.4969,0.3253,0.3042,0.2,0.1667,0.14,0.1867
spinach,fixing,gpt-4o,0.9533,0.8067,0.9267,0.9667,0.9533,0.7168,0.7235,0.5886,0.579,0.2667,0.2667,0.22,0.32
spinach,fixing,o3,0.8,0.7667,0.94,0.92,0.9667,0.8361,0.8607,0.5516,0.5745,0.1133,0.08,0.06,0.1333
spinach,wikidata,gpt-4.1-2025-04-14,0.5,0.2133,0.5667,0.44,0.6467,0.798,0.62,,,0.0,0.0,0.04,0.0933
spinach,wikidata,gpt-4.1-mini-2025-04-14,0.24,0.1,0.36,0.2733,0.8,0.4002,0.293,,,0.02,0.0267,0.0067,0.1067
spinach,wikidata,gpt-4.1-nano-2025-04-14,0.3333,0.0667,0.3267,0.52,0.7733,0.6103,0.3453,,,0.0267,0.0467,0.1933,0.1333
spinach,wikidata,gpt-4o,0.84,0.68,0.7533,0.7933,0.24,0.8522,0.7537,,,0.0,0.0,0.0067,0.0
spinach,wikidata,o3,0.4267,0.3,0.5533,0.48,0.9333,0.7115,0.6097,,,0.0133,0.0133,0.02,0.02
spinach,zero-shot,gpt-4.1-2025-04-14,0.4733,0.2067,0.52,0.4267,0.6333,0.7449,0.5839,,,0.0,0.0,0.0133,0.0533
spinach,zero-shot,gpt-4.1-mini-2025-04-14,0.44,0.1933,0.5533,0.38,0.4867,0.7336,0.5771,,,0.0,0.0,0.0067,0.0333
spinach,zero-shot,gpt-4.1-nano-2025-04-14,0.3467,0.1467,0.5467,0.4333,0.58,0.6225,0.4586,,,0.0067,0.0133,0.0133,0.0333
spinach,zero-shot,gpt-4o,0.56,0.2867,0.58,0.5267,0.68,0.7444,0.5784,,,0.0,0.0,0.0133,0.06
spinach,zero-shot,o3,0.4133,0.34,0.58,0.5267,0.9067,0.7251,0.6427,,,0.0067,0.0067,0.0067,0.0333
synthetic,classification,gpt-4.1-2025-04-14,0.9,0.8533,0.9667,0.9267,0.94,0.9724,0.9629,0.847,0.8308,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4.1-mini-2025-04-14,0.8533,0.84,0.92,0.9467,0.88,0.9204,0.9586,0.7371,0.7085,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4.1-nano-2025-04-14,0.64,0.7333,0.6733,0.8467,0.2533,0.6905,0.8187,0.6603,0.6887,0.0,0.0,0.0,0.0
synthetic,classification,gpt-4o,0.9467,0.8867,1.0,0.9733,0.6067,0.6222,0.9631,0.4614,0.433,0.3533,0.3533,1.0,0.02
synthetic,classification,o3,0.9133,0.8733,1.0,0.9733,0.9867,0.9767,0.9569,0.7112,0.7397,0.0,0.0,1.0,0.0
synthetic,fixing,gpt-4.1-2025-04-14,0.8867,0.8667,0.9533,0.9667,0.9733,0.9662,0.9711,0.9175,0.9131,0.0,0.0,0.0133,0.0733
synthetic,fixing,gpt-4.1-mini-2025-04-14,0.8067,0.8,0.9133,0.9667,0.86,0.9151,0.9315,0.8616,0.8986,0.0133,0.0133,0.02,0.0333
synthetic,fixing,gpt-4.1-nano-2025-04-14,0.5533,0.3733,0.6133,0.7,0.5733,0.6813,0.6589,0.6822,0.7098,0.0067,0.02,0.0667,0.0267
synthetic,fixing,gpt-4o,0.8133,0.7667,0.9467,0.96,0.9733,0.7462,0.7764,0.6078,0.6199,0.1733,0.18,0.22,0.1867
synthetic,fixing,o3,0.7667,0.9067,0.96,0.9733,1.0,0.9182,0.9312,0.715,0.6663,0.04,0.0333,0.0333,0.0467
synthetic,wikidata,gpt-4.1-2025-04-14,0.62,0.2933,0.6867,0.5733,0.6267,0.8506,0.6977,,,0.0,0.0,0.0267,0.04
synthetic,wikidata,gpt-4.1-mini-2025-04-14,0.3267,0.08,0.4,0.3067,0.68,0.5417,0.3843,,,0.0,0.0133,0.02,0.0467
synthetic,wikidata,gpt-4.1-nano-2025-04-14,0.36,0.0933,0.4933,0.5067,0.7667,0.6337,0.3993,,,0.0267,0.0667,0.2533,0.1
synthetic,wikidata,gpt-4o,0.8533,0.6467,0.6933,0.84,0.3,0.8668,0.7349,,,0.0,0.0,0.0,0.0
synthetic,wikidata,o3,0.5333,0.34,0.66,0.5333,0.8467,0.8006,0.723,,,0.0067,0.0,0.0,0.0
synthetic,zero-shot,gpt-4.1-2025-04-14,0.6,0.2733,0.7,0.54,0.6133,0.8377,0.7008,,,0.0,0.0,0.0067,0.0267
synthetic,zero-shot,gpt-4.1-mini-2025-04-14,0.4667,0.18,0.5533,0.5333,0.52,0.75,0.6301,,,0.0,0.0,0.0,0.04
synthetic,zero-shot,gpt-4.1-nano-2025-04-14,0.3667,0.1133,0.5267,0.4467,0.5933,0.6469,0.5003,,,0.0133,0.0067,0.0533,0.0267
synthetic,zero-shot,gpt-4o,0.4067,0.16,0.5533,0.4133,0.7,0.6798,0.5558,,,0.0,0.0,0.0,0.0
synthetic,zero-shot,o3,0.38,0.2667,0.5267,0.4467,0.86,0.6809,0.6088,,,0.0,0.0,0.0,0.0
