QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual
0	0.35294117647058826	0	0
1	0.1875	0	0
2	0.0	1	1
3	0.0	0	0
4	0.6666666666666666	0	0
5	1.0	0	1
6	1.0	0	1
7	0.0	0	0
8	0.18181818181818182	0	0
9	1.0	0	1
10	0.0	0	0
11	0.0	0	0
12	0.0	1	1
13	0.25	0	0
14	0.5	0	0
15	0.0	0	0
16	0.0	0	0
17	0.0	0	0
18	0.36363636363636365	0	0
19	0.0	0	0
20	0.14285714285714285	0	0
21	0.16666666666666666	0	0
22	0.125	0	0
23	0.0	0	0
24	0.4	0	0
25	0.38461538461538464	0	0
26	0.0	0	0
27	0.0	0	0
28	0.0	0	0
29	0.5	0	0
30	0.5	0	0
31	0.5	0	0
32	1.0	0	1
33	0.4634146341463415	0	0
34	0.95	0	0
35	1.0	0	1
36	0.0	0	0
37	0.07142857142857142	0	0
