dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),idk_A1,idk_A2,idk_A3,idk_A4,?A1=A1(ave),J_A1_ave,idk,?A1=A2(+),?A1=A2(-),J(1-2)+,J(1-2)-,?A1>A3(+),?A1>A3(-),?A1>A4(+),?A1>A4(-),?A3∅A4(+),?A3∅A4(-),J(3-4)+,J(3-4)-,?A1=A3+A4(+),?A1=A3+A4(-),J(1-34)+,J(1-34)-,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
LC-QuAD,classification,deepseek-chat,0.9,0.84,0.6,0.9133,0.58,0.4733,0.44,0.4133,0.44,0.9437,0.9205,0.4136,0.5471,0.6532,0.6185,0.6179,,,,,,0.22,0.24,0.4467,0.4333,0.4311,0.6299,0.33499999999999996,,,,,,,,,,,,,,,,,0.0,0.0,0.0008,0.0,0.0883,0.0
LC-QuAD,classification,deepseek-reasoner,0.6333,0.5933,0.4733,0.6933,0.8133,0.4867,0.34,0.2533,0.2667,0.6676,0.7521,0.1663,0.5834,0.5584,0.5024,0.503,,,,,,0.1933,0.1,0.2333,0.1733,0.2867,0.5213,0.174975,,,,,,,,,,,,,,,,,0.0,0.0,0.0435,0.0,0.8721,0.0
LC-QuAD,classification,gemini-2.0-flash,0.9267,0.8,0.5133,0.9467,0.8267,0.6667,0.3067,0.3,0.3,0.9631,0.9319,0.1028,0.8089,0.6074,0.5533,0.5822,,,,,,0.0867,0.08,0.1,0.1467,0.3022,0.581,0.10335000000000001,,,,,,,,,,,,,,,,,0.0,0.0,0.0016,0.0,0.0001,0.0
LC-QuAD,classification,gemini-2.5-flash,0.9067,0.94,0.5133,0.9533,0.9267,0.8933,0.2267,0.2333,0.2467,0.9517,0.9573,0.0706,0.8778,0.5995,0.5652,0.5749,,,,,,0.0333,0.04,0.1133,0.1,0.2356,0.5799,0.07164999999999999,,,,,,,,,,,,,,,,,0.0,0.0,0.1856,0.0,0.0145,0.0
LC-QuAD,classification,gemini-2.5-pro,0.94,0.9,0.58,0.9667,0.9533,0.8667,0.3067,0.3,0.3333,0.9747,0.971,0.0467,0.9275,0.6358,0.653,0.6654,,,,,,0.0533,0.0533,0.06,0.0733,0.3133,0.6514,0.059975,,,,,,,,,,,,,,,,,0.0,0.0,0.0002,0.0,0.0012,0.0
LC-QuAD,classification,gpt-4.1-2025-04-14,0.9267,0.88,0.5333,0.98,0.9,0.7867,0.22,0.22,0.26,0.9728,0.9751,0.0941,0.8781,0.5262,0.5489,0.5743,,,,,,0.06,0.06,0.1267,0.1067,0.2333,0.5498,0.08835,,,,,,,,,,,,,,,,,0.0,0.0,0.0016,0.0,0.0,0.0
LC-QuAD,classification,gpt-4.1-mini-2025-04-14,0.88,0.8867,0.4667,0.96,0.76,0.6467,0.3,0.2667,0.3,0.9439,0.9571,0.24,0.7256,0.5445,0.4839,0.4966,,,,,,0.1867,0.18,0.2667,0.26,0.2889,0.5083,0.22335,,,,,,,,,,,,,,,,,0.0,0.0,0.0407,0.0,0.077,0.0
LC-QuAD,classification,gpt-4.1-nano-2025-04-14,0.9867,0.5133,0.9,0.5133,0.4267,0.0,0.9733,0.9467,0.9533,0.99,0.7011,0.5733,0.0,0.9767,0.9533,0.9567,,,,,,0.9867,0.9867,0.9067,0.52,0.9578,0.9622,0.850025,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0
LC-QuAD,classification,gpt-4o,0.9867,0.9733,0.8267,0.9933,0.1933,0.1667,0.6867,0.7,0.7933,0.9867,0.9945,0.7964,0.1887,0.7525,0.7624,0.8349,,,,,,0.6733,0.6867,0.7733,0.78,0.7267,0.7833,0.7283249999999999,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0004,0.0
LC-QuAD,classification,gpt-5,0.9533,0.8533,0.5933,0.94,0.72,0.5933,0.4867,0.4867,0.5133,0.9791,0.9101,0.28,0.6785,0.6941,0.647,0.7032,,,,,,0.28,0.2867,0.3,0.3467,0.4956,0.6814,0.30335,,,,,,,,,,,,,,,,,0.0,0.0,0.2442,0.0,0.9738,0.0
LC-QuAD,classification,gpt-5-mini,0.8867,0.68,0.7133,0.78,0.5733,0.2667,0.6467,0.64,0.6333,0.9149,0.783,0.4267,0.3677,0.7471,0.7569,0.7631,,,,,,0.5533,0.5067,0.4933,0.5,0.64,0.7557,0.513325,,,,,,,,,,,,,,,,,0.0,0.0201,0.5598,0.2257,0.004,0.0
LC-QuAD,classification,gpt-5-nano,0.7933,0.7067,0.0733,0.78,0.18,0.0067,0.0733,0.64,0.0733,0.7933,0.7768,0.82,0.08,0.0778,0.64,0.0733,,,,,,0.1667,0.1333,0.0467,0.0267,0.2622,0.2637,0.09335,,,,,,,,,,,,,,,,,0.0004,0.0,1.0,0.0018,1.0,1.0
LC-QuAD,classification,gpt-oss:20b,0.6933,0.46,0.34,0.7467,0.86,0.3467,0.2067,0.2267,0.22,0.7865,0.7544,0.1127,0.6272,0.4128,0.4186,0.4039,,,,,,0.1933,0.1467,0.18,0.2333,0.2178,0.4118,0.18832500000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.1055,0.0,0.1808,0.0
LC-QuAD,classification,grok-3-mini,0.9467,0.82,0.5667,0.9067,0.8333,0.68,0.2933,0.2867,0.3133,0.9723,0.9395,0.1601,0.7737,0.5847,0.5748,0.5916,,,,,,0.14,0.14,0.1867,0.1867,0.2978,0.5837,0.16335,,,,,,,,,,,,,,,,,0.0,0.0,0.004,0.0,0.8923,0.0
LC-QuAD,classification,llama3.1:70b,0.78,0.6267,0.3,0.8867,0.9467,0.6133,0.1667,0.1267,0.1267,0.899,0.897,0.0242,0.8313,0.4143,0.3793,0.3859,,,,,,0.0133,0.0467,0.0133,0.02,0.14,0.3932,0.023325000000000002,,,,,,,,,,,,,,,,,0.0,0.0,0.1013,0.0,0.0,0.0
