QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	0.35294117647058826	0	0	0
2	0.2	0	0	1
3	1.0	0	1	1
4	0.39344262295081966	0	1	1
5	0.7777777777777778	0	1	1
6	0.4634146341463415	0	0	1
7	1.0	0	1	0
8	1.0	0	1	0
9	0.7647058823529411	0	1	0
10	1.0	0	1	0
11	0.7777777777777778	0	1	1
12	0.45	0	0	1
13	0.9375	0	1	0
14	0.875	0	1	0
15	0.48148148148148145	0	1	1
16	0.6923076923076923	0	1	1
17	0.6153846153846154	0	1	1
18	0.6666666666666666	0	1	1
19	0.6336633663366337	0	0	0
20	1.0	0	1	1
21	0.25	0	1	1
22	0.6	0	1	1
23	0.8064516129032258	0	0	1
24	0.8181818181818182	0	1	0
25	0.9285714285714286	0	1	1
26	0.7058823529411765	0	1	0
27	0.6666666666666666	0	1	1
28	0.0	0	1	1
29	1.0	0	1	0
30	1.0	0	1	1
31	0.5714285714285714	0	1	0
32	1.0	0	1	1
33	0.8653846153846154	0	0	1
34	1.0	0	1	0
35	0.8524590163934426	0	0	1
36	0.5	0	1	1
37	0.8571428571428571	0	1	0
38	0.8333333333333334	0	1	0
39	0.875	0	1	0
40	1.0	0	1	0
41	1.0	0	1	1
42	1.0	0	1	1
43	0.6333333333333333	0	1	1
44	0.8444444444444444	0	0	1
45	1.0	0	1	0
46	0.8	0	1	0
47	0.25	0	0	1
48	0.5	0	1	1
49	1.0	0	1	0
50	1.0	0	1	1
51	1.0	0	1	0
52	1.0	0	1	0
53	0.7073170731707317	0	0	0
54	1.0	0	1	1
55	1.0	0	1	1
56	0.4666666666666667	0	1	0
57	0.4	0	1	1
58	0.8333333333333334	0	1	1
59	0.7272727272727273	0	0	1
60	1.0	0	1	0
61	1.0	0	1	1
62	0.6904761904761905	0	1	1
63	0.5	0	0	0
64	0.28	0	0	0
65	0.875	0	1	1
66	0.5833333333333334	0	1	0
67	0.75	0	0	1
68	0.13559322033898305	0	1	1
69	0.0	0	0	1
70	0.42857142857142855	0	1	0
71	0.0	0	0	1
72	1.0	0	1	1
73	0.7777777777777778	0	1	0
74	1.0	0	1	1
75	0.5555555555555556	0	0	1
76	0.9090909090909091	0	0	1
77	0.4444444444444444	0	0	1
78	1.0	0	1	1
79	0.8571428571428571	0	1	1
80	0.6	0	0	1
81	0.8387096774193549	0	0	1
82	1.0	0	1	1
83	0.75	0	0	0
84	0.0425531914893617	0	0	1
85	0.32	0	0	0
86	0.6666666666666666	0	1	1
87	0.45454545454545453	0	1	0
88	0.0	0	0	1
89	0.6	0	0	0
90	0.5	0	1	1
91	1.0	0	1	1
92	0.6	0	0	1
93	1.0	0	1	1
94	1.0	0	1	1
95	0.8	0	1	1
96	0.6666666666666666	0	0	1
97	0.375	0	1	1
98	1.0	0	1	1
99	1.0	0	1	0
100	0.8	0	1	1
101	0.6666666666666666	0	0	0
102	0.9411764705882353	0	1	1
103	1.0	0	1	0
104	0.15384615384615385	0	0	0
105	0.11363636363636363	0	0	0
106	1.0	0	1	1
107	0.23076923076923078	0	0	0
108	0.6666666666666666	0	1	1
109	0.35714285714285715	0	0	1
110	1.0	0	1	0
111	0.9333333333333333	0	1	1
112	0.9047619047619048	0	0	0
113	0.7894736842105263	0	1	1
114	0.45	0	1	0
115	1.0	0	1	1
116	0.5454545454545454	0	0	0
117	0.2727272727272727	0	1	1
118	0.7368421052631579	0	0	0
119	0.8	0	1	1
120	0.38461538461538464	0	0	1
121	0.5	0	1	1
122	0.8571428571428571	0	1	1
123	0.75	0	1	1
124	0.3333333333333333	0	0	1
125	1.0	0	1	0
126	0.9090909090909091	0	1	0
127	0.625	0	0	1
128	0.125	0	0	1
129	1.0	0	1	1
130	0.75	0	1	1
131	0.5	0	0	0
132	1.0	0	1	1
133	0.8222222222222222	0	1	0
134	0.42857142857142855	0	1	0
135	1.0	0	1	0
136	0.8571428571428571	0	1	0
137	1.0	0	1	1
138	0.375	0	0	1
139	1.0	0	1	1
140	1.0	0	1	1
141	1.0	0	1	0
142	0.7692307692307693	0	0	1
143	0.4117647058823529	0	1	1
144	0.11538461538461539	0	0	1
145	0.3466666666666667	0	0	0
146	0.3333333333333333	0	1	0
147	1.0	0	1	1
148	0.3333333333333333	0	0	1
149	0.38461538461538464	0	1	0
