action,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
classification,deepseek-chat,600,275,0.5417,0.9564,0.8873,0.8618,0.9891,0.9564,0.8582,0.9847,0.9849,0.0146,0.958
classification,deepseek-reasoner,600,245,0.5917,0.8204,0.8898,0.7959,0.9306,0.9878,0.8816,0.8733,0.9458,0.0112,0.9213
classification,gemini-2.0-flash,600,0,1.0,,,,,,,,,,
classification,gemini-2.5-flash,600,0,1.0,,,,,,,,,,
classification,gemini-2.5-pro,600,0,1.0,,,,,,,,,,
classification,gpt-4.1-2025-04-14,600,374,0.3767,0.9144,0.885,0.6123,0.992,0.9759,0.869,0.9776,0.9749,0.0082,0.973
classification,gpt-4.1-mini-2025-04-14,600,316,0.4733,0.8892,0.8671,0.5475,0.9525,0.9747,0.8513,0.9684,0.9494,0.0062,0.9387
classification,gpt-4.1-nano-2025-04-14,600,2,0.9967,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.3125,0.0,0.0
classification,gpt-4o,600,48,0.92,0.9375,0.9167,0.9792,1.0,0.9792,0.8958,0.9848,0.9827,0.0031,0.9682
classification,gpt-5,600,0,1.0,,,,,,,,,,
classification,gpt-5-mini,600,0,1.0,,,,,,,,,,
classification,gpt-5-nano,600,0,1.0,,,,,,,,,,
classification,gpt-oss:20b,600,0,1.0,,,,,,,,,,
classification,grok-3-mini,600,0,1.0,,,,,,,,,,
classification,llama3.1:70b,600,0,1.0,,,,,,,,,,
classification,llama3.1:8b,600,0,1.0,,,,,,,,,,
classification,mistral-small:24b,600,0,1.0,,,,,,,,,,
classification,o3,600,117,0.805,0.8034,0.8547,0.5385,0.9145,0.9915,0.8547,0.9522,0.9301,0.0004,0.9129
fixing,deepseek-chat,600,471,0.215,0.8344,0.7728,0.9023,0.9512,0.9554,0.7452,0.9376,0.9378,0.0289,0.9191
fixing,deepseek-reasoner,600,505,0.1583,0.701,0.6475,0.7782,0.8851,0.9485,0.6238,0.8579,0.8826,0.0375,0.8648
fixing,gemini-2.0-flash,600,518,0.1367,0.8282,0.7896,0.8707,0.9305,0.9807,0.7761,0.8541,0.9344,0.0087,0.9284
fixing,gemini-2.5-flash,600,498,0.17,0.9257,0.9157,0.9217,0.9719,0.996,0.9116,0.9683,0.9612,0.0023,0.9698
fixing,gemini-2.5-pro,600,427,0.2883,0.8618,0.7752,0.8197,0.9344,0.993,0.7752,0.9464,0.8993,0.0056,0.9188
fixing,gpt-4.1-2025-04-14,600,521,0.1317,0.8196,0.7831,0.9251,0.9443,0.9693,0.7697,0.9347,0.9402,0.0125,0.9317
fixing,gpt-4.1-mini-2025-04-14,600,478,0.2033,0.7887,0.7552,0.9268,0.9707,0.8996,0.7259,0.9194,0.9171,0.0503,0.8838
fixing,gpt-4.1-nano-2025-04-14,600,351,0.415,0.6268,0.339,0.6211,0.6866,0.5185,0.2051,0.7749,0.6366,0.2534,0.4338
fixing,gpt-4o,600,322,0.4633,0.8509,0.8075,0.9317,0.9534,0.9503,0.7857,0.9479,0.944,0.0329,0.9019
fixing,gpt-5,600,346,0.4233,0.8988,0.9335,0.9653,0.9884,0.9971,0.9306,0.9787,0.9798,0.0029,0.9875
fixing,gpt-5-mini,600,234,0.61,0.8675,0.8932,0.9316,0.9701,0.9829,0.8846,0.9585,0.9547,0.015,0.9597
fixing,gpt-5-nano,600,258,0.57,0.8605,0.8333,0.8876,0.9845,0.9729,0.8217,0.9534,0.9538,0.0094,0.9629
fixing,gpt-oss:20b,300,213,0.29,0.5869,0.7089,0.831,0.9202,0.9765,0.7089,0.7985,0.9078,0.0137,0.9292
fixing,grok-3-mini,600,435,0.275,0.892,0.8759,0.9609,0.9816,0.9885,0.8713,0.9646,0.9751,0.0046,0.9773
fixing,llama3.1:70b,600,498,0.17,0.6446,0.5663,0.7731,0.8373,0.9438,0.5522,0.7984,0.8248,0.0233,0.8163
fixing,llama3.1:8b,600,587,0.0217,0.1278,0.0273,0.1584,0.1244,0.6167,0.0187,0.4602,0.3322,0.1126,0.2408
fixing,mistral-small:24b,600,407,0.3217,0.7617,0.5356,0.828,0.9435,0.9459,0.5111,0.8931,0.8084,0.0162,0.7912
fixing,o3,600,471,0.215,0.7261,0.8323,0.9512,0.9533,0.9894,0.8259,0.9331,0.9614,0.0077,0.9527
zero-shot,deepseek-chat,600,439,0.2683,0.3303,0.1503,0.4237,0.3417,0.4465,0.0524,0.6165,0.5071,0.1861,0.2869
zero-shot,deepseek-reasoner,600,536,0.1067,0.1884,0.1381,0.4011,0.2892,0.8116,0.1119,0.4938,0.4342,0.0377,0.3405
zero-shot,gemini-2.0-flash,600,558,0.07,0.3495,0.1308,0.4355,0.371,0.6219,0.0538,0.6309,0.4808,0.138,0.3006
zero-shot,gemini-2.5-flash,600,524,0.1267,0.3282,0.25,0.4847,0.3969,0.8416,0.2252,0.6384,0.5778,0.0287,0.4858
zero-shot,gemini-2.5-pro,600,544,0.0933,0.3033,0.2261,0.4265,0.3842,0.8015,0.1967,0.6521,0.5853,0.0338,0.4976
zero-shot,gpt-4.1-2025-04-14,600,535,0.1083,0.4056,0.1607,0.5103,0.3757,0.6075,0.0935,0.7037,0.563,0.1115,0.3803
zero-shot,gpt-4.1-mini-2025-04-14,600,521,0.1317,0.3493,0.1382,0.4741,0.3628,0.5144,0.0499,0.6598,0.5205,0.1685,0.3071
zero-shot,gpt-4.1-nano-2025-04-14,600,428,0.2867,0.2804,0.0981,0.4439,0.3575,0.5631,0.0304,0.566,0.4275,0.177,0.2329
