QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.0	0	0	0
1	0.1111111111111111	0	0	1
2	0.0	1	1	1
3	0.024390243902439025	0	0	0
4	0.18181818181818182	0	0	1
5	0.9090909090909091	0	0	0
6	0.8333333333333334	0	1	1
7	0.8	0	1	0
8	0.7142857142857143	0	1	0
9	0.0	1	1	1
10	0.0	0	0	0
11	1.0	0	1	0
12	0.6666666666666666	0	1	1
13	0.0	0	0	1
14	0.0	0	0	1
15	0.0	0	0	0
16	0.0	0	1	1
17	0.3333333333333333	0	0	1
18	0.0	0	0	1
19	1.0	0	1	1
20	0.3333333333333333	0	0	0
21	0.5555555555555556	0	1	0
22	0.0	0	0	1
23	0.6666666666666666	0	1	1
24	0.5294117647058824	0	1	0
25	0.0	0	0	0
26	0.3333333333333333	0	1	0
27	0.0	0	0	1
28	0.8095238095238095	0	0	0
29	0.4117647058823529	0	0	0
30	0.0	1	1	1
31	0.0	0	0	1
32	0.16129032258064516	0	0	0
33	0.10309278350515463	0	1	1
34	1.0	0	1	1
35	1.0	0	1	1
36	0.75	0	1	0
37	0.7777777777777778	0	1	1
38	0.3333333333333333	0	0	1
39	0.0	0	0	0
40	0.38235294117647056	0	1	0
41	0.0	1	1	1
42	0.7777777777777778	0	1	0
43	0.0	0	0	1
44	0.6046511627906976	0	0	0
45	0.08823529411764706	0	0	0
46	0.6190476190476191	0	1	0
47	0.6666666666666666	0	0	0
48	0.5	0	0	1
49	0.0	0	0	1
50	0.0	1	1	1
51	0.3125	0	0	1
52	0.75	0	1	0
53	0.625	0	1	1
54	0.3333333333333333	0	0	1
55	0.45454545454545453	0	0	0
56	0.0	0	1	1
57	1.0	0	1	0
58	1.0	0	1	1
59	0.7142857142857143	0	0	1
60	1.0	0	1	1
61	0.8636363636363636	0	1	0
62	0.0	0	0	1
63	0.0	0	1	1
64	0.3	0	0	0
65	0.24242424242424243	0	1	0
66	0.21428571428571427	0	1	1
67	1.0	0	1	0
68	0.0	0	0	0
69	0.38235294117647056	0	0	0
70	0.5	0	1	0
71	0.0	0	0	0
72	0.42857142857142855	0	1	0
73	0.5	0	0	0
74	0.35294117647058826	0	0	1
75	1.0	0	1	0
76	0.3333333333333333	0	0	1
77	0.0	0	1	1
78	0.0	0	0	0
79	0.8333333333333334	0	1	1
80	0.3333333333333333	0	1	1
81	0.4	0	1	1
82	0.9259259259259259	0	1	1
83	0.0	0	0	1
84	0.4	0	0	1
85	0.26666666666666666	0	0	0
86	0.0	0	0	1
87	0.0	0	0	0
88	0.3333333333333333	0	1	0
89	1.0	0	1	1
90	0.3333333333333333	0	1	1
91	0.75	0	1	1
92	0.6666666666666666	0	1	0
93	0.23076923076923078	0	0	0
94	0.0	0	0	1
95	0.0	0	0	0
96	1.0	0	1	1
97	0.0	0	0	0
98	0.0	0	0	1
99	0.8333333333333334	0	1	1
100	0.0	1	1	1
101	0.0	0	0	0
102	0.4411764705882353	0	1	0
103	0.4	0	0	1
104	0.375	0	1	1
105	0.0	0	0	0
106	0.5	0	0	0
107	0.0	0	1	1
108	0.0	0	0	1
109	0.7142857142857143	0	1	1
110	0.0	0	0	0
111	0.20833333333333334	0	0	1
112	0.45454545454545453	0	0	0
113	0.0	0	0	1
114	0.0	1	1	1
115	0.36363636363636365	0	0	0
116	0.47368421052631576	0	0	1
117	0.0	0	1	1
118	0.5555555555555556	0	0	0
119	0.6666666666666666	0	0	1
120	0.0	0	0	1
121	1.0	0	1	1
122	0.0	0	0	0
123	0.0	0	0	1
124	0.0	0	1	1
125	0.0	1	1	1
126	0.0	0	0	1
127	0.0	0	0	0
128	0.0	0	0	1
129	0.0	0	0	0
130	0.23809523809523808	0	0	0
131	0.09090909090909091	0	0	1
132	0.0	0	0	0
133	0.0	1	1	1
134	0.6666666666666666	0	1	0
135	0.0	0	0	0
136	1.0	0	1	0
137	0.0	1	1	1
138	0.0	0	0	1
139	0.3333333333333333	0	1	0
140	0.0	1	1	1
141	0.4	0	0	0
142	0.0	0	1	1
143	0.0	1	1	1
144	0.0	0	0	1
145	0.5	0	1	0
146	0.2727272727272727	0	0	1
147	0.0	0	0	1
148	0.0	0	0	1
149	0.0	0	0	1
