QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.7777777777777778	0	1	1
1	0.42857142857142855	0	1	1
2	0.058823529411764705	0	0	1
3	0.3333333333333333	0	1	1
4	0.4090909090909091	0	1	1
5	0.6	0	1	1
6	0.42857142857142855	0	1	1
7	0.0	0	1	1
8	0.5	0	1	0
9	0.21428571428571427	0	0	1
10	0.5333333333333333	0	1	0
11	0.45	0	1	1
12	0.36	0	0	0
13	0.0	0	1	1
14	0.5	0	0	1
15	0.2222222222222222	0	1	1
16	0.2727272727272727	0	0	1
17	0.35294117647058826	0	0	1
18	0.8333333333333334	0	1	1
19	0.36792452830188677	0	0	1
20	1.0	0	1	1
21	0.25	0	1	1
22	0.5	0	0	0
23	0.42424242424242425	0	0	1
24	0.3	0	1	1
25	0.32	0	1	0
26	0.45454545454545453	0	0	1
27	0.0	1	1	1
28	0.5	0	0	0
29	0.0	0	0	0
30	0.5	0	1	1
31	0.6	0	1	0
32	1.0	0	1	1
33	0.6304347826086957	0	0	0
34	0.4	0	1	1
35	0.5	0	0	1
36	0.8571428571428571	0	1	1
37	1.0	0	1	1
38	0.6923076923076923	0	1	0
39	0.5	0	0	0
40	0.45454545454545453	0	1	1
41	0.5	0	1	0
42	1.0	0	1	1
43	0.23076923076923078	0	0	1
44	0.05263157894736842	0	0	1
45	0.0	1	1	1
46	0.4	0	1	1
47	0.0	0	1	1
48	0.2222222222222222	0	0	1
49	1.0	0	1	1
50	0.0	0	0	1
51	1.0	0	1	0
52	0.6	0	1	0
53	0.4722222222222222	0	0	0
54	1.0	0	1	1
55	1.0	0	1	1
56	1.0	0	1	1
57	1.0	0	1	1
58	0.5	0	1	1
59	0.058823529411764705	0	1	1
60	0.42857142857142855	0	0	1
61	0.625	0	1	1
62	0.6046511627906976	0	0	0
63	0.375	0	1	0
64	0.3939393939393939	0	0	0
65	0.0	0	0	1
66	0.5	0	1	0
67	0.625	0	1	1
68	0.39325842696629215	0	0	0
69	0.8571428571428571	0	1	1
70	0.0	0	0	0
71	0.0	0	0	1
72	0.8	0	1	1
73	0.7142857142857143	0	1	0
74	0.6666666666666666	0	1	1
75	0.9333333333333333	0	1	0
76	0.45454545454545453	0	0	0
77	0.45454545454545453	0	1	0
78	0.6	0	1	1
79	0.25	0	0	0
80	0.17647058823529413	0	1	0
81	0.32432432432432434	0	0	1
82	0.7727272727272727	0	0	1
83	0.5833333333333334	0	1	0
84	0.0	0	0	1
85	0.0	0	0	1
86	0.75	0	1	1
87	0.1276595744680851	0	1	0
88	0.0	0	1	1
89	0.6521739130434783	0	0	0
90	0.7142857142857143	0	0	1
91	0.5	0	1	0
92	0.2	0	0	0
93	0.0	0	0	1
94	0.0	0	0	1
95	0.38095238095238093	0	1	1
96	0.3333333333333333	0	0	1
97	0.0	0	0	1
98	0.5	0	1	0
99	1.0	0	1	0
100	1.0	0	1	1
101	0.25	0	1	1
102	0.5416666666666666	0	1	1
103	0.6666666666666666	0	1	0
104	0.3	0	1	1
105	0.45454545454545453	0	0	1
106	0.6666666666666666	0	1	0
107	0.375	0	0	0
108	0.0	0	0	1
109	0.2	0	0	1
110	0.5	0	1	1
111	0.6	0	1	0
112	0.0	0	1	1
113	0.0	1	1	1
114	0.5	0	1	0
115	0.9375	0	1	0
116	0.1111111111111111	0	0	0
117	0.42857142857142855	0	1	0
118	0.15789473684210525	0	1	1
119	0.8333333333333334	0	1	0
120	0.34782608695652173	0	0	0
121	0.2	0	0	0
122	0.8571428571428571	0	0	1
123	0.16666666666666666	0	0	0
124	0.2	0	1	1
125	0.3333333333333333	0	0	1
126	0.5333333333333333	0	0	0
127	0.0	0	0	1
128	0.4	0	1	1
129	1.0	0	1	1
130	0.5454545454545454	0	0	1
131	0.6793893129770993	0	0	0
132	0.75	0	0	1
133	0.4791666666666667	0	1	1
134	0.05555555555555555	0	1	0
135	0.6666666666666666	0	0	0
136	0.2	0	0	1
137	1.0	0	1	1
138	0.3	0	0	1
139	0.96	0	1	1
140	1.0	0	1	1
141	0.0	0	0	0
142	0.0	0	1	1
143	0.5	0	1	1
144	0.14285714285714285	0	0	1
145	0.782608695652174	0	0	0
146	1.0	0	1	0
147	0.8571428571428571	0	0	0
148	0.125	0	1	1
149	0.2	0	1	1
