ID,dataset,action,llm,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,?A1=A1*,?A1=A1**,?A1*=A1**,?SC(A1=A2),?SC(A1>A3),?SC(A1>A4),?SC(A3∅A4),?SC(A4=A1|3),J(A1-A2),J(A1-A34),J(A4-A1|3),J(A1-A1*),J(A1-A1**),J(A1*-A1**),J(A3-A4),idk_A1,idk_A2,idk_A3,idk_A4,idk_A1*,idk_A1**,?A1=A1(ave),J_A1_ave,idk,p(A1=A2),p(A1=A3+A4),p(A1>A3),p(A1>A4),p(A3∅A4),p(A4=A1|3)
A,overall,zero-shot,llama3.1:8b,0.0167,0.0,0.025,0.0083,0.7983,0.0,0.0259,,,0.9383,0.8683,0.8817,0.315,0.9717,0.1667,0.1146,0.0644,0.21184999999999998,,,0.0779,0.0083,0.0033,0.0233,0.0317,0.0,0.0,0.0259,0.2118,0.0166,1.0,1.0,1.0,1.0,1.0,1.0
B,overall,zero-shot,gpt-oss:20b,0.1433,0.1167,0.305,0.2383,0.6783,0.095,0.1332,,,0.3533,0.4933,0.4333,0.8583,0.3567,0.3729,0.3406,0.2594,0.35045000000000004,,,0.2291,0.12,0.1267,0.1067,0.1483,0.0,0.0,0.1332,0.3505,0.1254,1.0,1.0,1.0,1.0,1.0,1.0
C,overall,zero-shot,gpt-4.1-nano-2025-04-14,0.24,0.07,0.345,0.2883,0.4217,0.0217,0.08075,,,0.5067,0.595,0.6267,0.62,0.9783,0.4812,0.309,0.1666,0.1856,,,0.3898,0.0683,0.085,0.1833,0.1667,0.0,0.0,0.0808,0.1856,0.1258,1.0,1.0,1.0,1.0,1.0,1.0
D,overall,zero-shot,mistral-small:24b,0.2712,0.0814,0.322,0.2661,0.2237,0.0085,0.28859999999999997,,,0.5915,0.6763,0.7288,0.722,0.9373,0.4738,0.263,0.127,0.49955,,,0.6294,0.2203,0.2271,0.3322,0.3881,0.0,0.0,0.2886,0.4996,0.2919,1.0,1.0,1.0,1.0,1.0,1.0
E,overall,zero-shot,llama3.1:70b,0.1917,0.0567,0.2767,0.2183,0.6583,0.0267,0.2033,,,0.245,0.6983,0.6467,0.7317,0.115,0.4562,0.3345,0.2023,0.4882,,,0.1522,0.02,0.025,0.0283,0.06,0.0,0.0,0.2033,0.4882,0.0333,1.0,1.0,1.0,1.0,1.0,1.0
F,overall,zero-shot,gemini-2.0-flash,0.3267,0.1217,0.415,0.3533,0.6167,0.05,0.42865000000000003,,,0.3783,0.445,0.625,0.625,0.2417,0.6008,0.4591,0.2908,0.64835,,,0.14,0.0017,0.005,0.0033,0.0067,0.0,0.0,0.4286,0.6484,0.0042,1.0,1.0,1.0,1.0,1.0,1.0
G,overall,zero-shot,gpt-4.1-mini-2025-04-14,0.32,0.12,0.4383,0.3233,0.4517,0.0433,0.21255000000000002,,,0.4017,0.4933,0.65,0.5767,0.1933,0.6163,0.4533,0.2677,0.47085,,,0.2691,0.025,0.025,0.0567,0.0867,0.0,0.0,0.2126,0.4708,0.0484,1.0,1.0,1.0,1.0,1.0,1.0
H,overall,zero-shot,gpt-4o,0.25,0.0733,0.3333,0.2383,0.3867,0.0517,0.19855,,,0.5733,0.6533,0.76,0.8467,0.665,0.4517,0.29,0.1982,0.36965,,,0.5086,0.2583,0.2533,0.2817,0.3983,0.0,0.0,0.1986,0.3696,0.2979,1.0,1.0,1.0,1.0,1.0,1.0
I,overall,zero-shot,gpt-4.1-2025-04-14,0.3883,0.1433,0.4733,0.3433,0.55,0.0833,0.26305,,,0.4467,0.535,0.53,0.6483,0.19,0.6688,0.5046,0.3415,0.5712999999999999,,,0.1952,0.0167,0.0217,0.05,0.0633,0.0,0.0,0.263,0.5713,0.0379,1.0,1.0,1.0,1.0,1.0,1.0
J,overall,zero-shot,grok-3-mini,0.3083,0.22,0.4733,0.375,0.7467,0.205,0.3,,,0.435,0.5667,0.5167,0.9117,0.395,0.603,0.5007,0.4194,0.5543,,,0.1861,0.0567,0.07,0.075,0.1233,0.0,0.0,0.3,0.5543,0.0812,1.0,1.0,1.0,1.0,1.0,1.0
