ql1;ql2;ql3
Which universities based in Peru were established since 1950?;Which universities are based in Peru?;Which universities are based in Peru excluding those were established since 1950?
Which universities based in Peru were established before 1950?;Which universities are based in Peru?;Which universities are based in Peru excluding those were established before 1950?
What papers did Amrapali Zaveri publish as first author?;What papers did Amrapali Zaveri publish?;What articles did Amrapali Zaveri publish excluding those as first author?
What countries that border Ghana have a higher population than Ghana?;What countries border Ghana?;What countries border Ghana excluding those have a higher population than Ghana?
What countries that border Ghana have a lower population than Ghana?;What countries border Ghana?;What countries border Ghana excluding those have a lower population than Ghana?
What country that borders Ghana borders the most countries?;What countries border Ghana?;What countries border Ghana excluding those borders the most countries?
What extant species are in the order Monotremata?;What species are in the order Monotremata?;What species are in the order Monotremata excluding those are in the order Monotremata?
What extinct species are in the order Monotremata?;What species are in the order Monotremata?;What species are in the order Monotremata excluding those extinct species are in the order Monotremata?
Which science fiction movies star Uma Thurman?;Which movies star Uma Thurman?;Which movies star Uma Thurman excluding those science fiction movies star Uma Thurman?
Who is Elon Musk's wife?;Who is Elon Musk's spouse?;Who is Elon Musk's spouse excluding Elon Musk's wife?
Who is Elon Musk's husband?;Who is Elon Musk's spouse?;Who is Elon Musk's spouse excluding Elon Musk's husband?
Who are the editors-in-chief of EMMA?;Who are the editors of EMMA?;Who are the editors of EMMA excluding those are the editors-in-chief of EMMA?
In which journals has Amrapali Zaveri published as first author?;In which journals has Amrapali Zaveri published?;In which journals has Amrapali Zaveri published excluding those as first author?
What elementary particles interact with the strong force and the weak force?;What elementary particles interact with the weak force?;What elementary particles interact with the weak force excluding those interact with the strong force and the weak force?
What elementary particles interact with the strong force and the weak force?;What elementary particles interact with the strong force?;What elementary particles interact with the strong force excluding those with the weak force?
Which civil wars started in South America in the nineteenth century?;Which civil wars took place in South America?;Which civil wars took place in South America excluding those started in South America in the nineteenth century?
Which civil wars started in South America in the nineteenth century?;Which civil wars started in the nineteenth century?;Which civil wars started in the nineteenth century excluding those started in South America in the nineteenth century?
Who was the last saint to die by crucifixion?;Which saints died by crucifixion?;Which saints died by crucifixion excluding the last saint to die by crucifixion?
Which buildings combine funcionalism and brutalism?;Which buildings are brutalist?;Which buildings are brutalist excluding those buildings combine funcionalism and brutalism?
Which buildings combine funcionalism and brutalism?;Which buildings are funcionalist?;Which buildings are funcionalist excluding those buildings combine funcionalism and brutalism?
What other functionalist buildings have the same architect as the Tsentrosoyuz Building?;What other buildings have the same architect as the Tsentrosoyuz Building?;What other buildings have the same architect excluding those who were the Tsentrosoyuz Building?
Which official languages of the European Union are not Indo-European?;What are the official languages of the European Union?;What are the official languages of the European Union excluding those are not Indo-European?
Which official languages of the European Union are not Indo-European?;Which natural languages are not Indo-European?;Which natural languages are not Indo-European excluding european union languages?
Which football players born in Senegal have played for France and Inter Milan?;Which football players born in Senegal have played for France?;Which football players born in Senegal have played for France excluding those played for Inter Milan?
Which football midfielders born in Senegal have played for France?;Which football players born in Senegal have played for France?;Which football players born in Senegal have played for France excluding those where football midfielders?
Which telescopes are based in Chile?;Which telescopes are based in Chile or countries that border Chile?;Which telescopes are based in countries that border Chile excluding those based in Chile?
Which telescopes are based in countries that border Chile?;Which telescopes are based in Chile or countries that border Chile?;Which telescopes are based in Chile or countries that border Chile excluding those are based in countries that border Chile?
Which carbon isotopes can decay into boron isotopes via electron capture?;Which carbon isotopes can decay into boron isotopes?;Which carbon isotopes can decay into boron isotopes excluding those via electron capture?
Which carbon isotopes can decay into boron isotopes?;Which carbon isotopes can recursively decay into boron isotopes?;Which carbon isotopes can recursively decay into boron isotopes excluding those can decay into boron isotopes?
What was the last novel published by Harper Lee?;What novels were written by Harper Lee?;What novels were written by Harper Lee excluding the last novel published by Harper Lee?
What was the first novel published by Harper Lee?;What novels were written by Harper Lee?;What novels were written by Harper Lee excluding the first novel published by Harper Lee?
What was the second novel published by Harper Lee?;What novels were written by Harper Lee?;What novels were written by Harper Lee excluding the second novel published by Harper Lee?
What novels were written by Harper Lee were adapted into movies?;What novels were written by Harper Lee?;What novels were written by Harper Lee excluding those were adapted into movies?
Which countries are part of the G20 and the Arab League?;Which countries are part of the G20?;Which countries are part of the G20 excluding those are part of the Arab League?
Which countries are part of the G20 but not the Arab League?;Which countries are part of the G20?;Which countries are part of the G20 excluding those are not part of the Arab League?
Which countries are part of the G20?;What are the members of the G20?;What are the members of the G20 excluding those countries are part of the G20?
Which species endemic to Chile are endangered?;Which species are endemic to Chile?;Which species are endemic to Chile excluding those are endangered?
Which species endemic to Chile are not endangered?;Which species are endemic to Chile?;Which species are endemic to Chile excluding those are not endangered?
