QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	1.0	0	1	1
1	1.0	0	1	1
2	1.0	0	1	0
3	1.0	0	1	1
4	0.6	0	0	1
5	0.8	0	0	1
6	0.7272727272727273	0	0	1
7	1.0	0	1	1
8	1.0	0	1	1
9	1.0	0	1	1
10	1.0	0	1	0
11	0.92	0	1	1
12	0.027777777777777776	0	1	0
13	0.0	0	0	1
14	1.0	0	1	0
15	0.2608695652173913	0	0	1
16	0.48148148148148145	0	0	0
17	0.6666666666666666	0	1	1
18	0.3888888888888889	0	0	1
19	1.0	0	1	1
20	0.9607843137254902	0	1	1
21	1.0	0	1	1
22	1.0	0	1	1
23	0.4	0	1	1
24	0.625	0	1	1
25	0.625	0	0	0
26	0.6	0	1	0
27	0.2857142857142857	0	1	1
28	0.7142857142857143	0	1	1
29	0.5	0	1	1
30	0.6	0	0	1
31	1.0	0	1	1
32	1.0	0	1	1
33	0.8888888888888888	0	1	0
34	1.0	0	1	1
35	1.0	0	1	1
36	0.4375	0	1	0
37	0.2222222222222222	0	0	1
38	0.1	0	0	1
39	1.0	0	1	0
40	0.3333333333333333	0	0	1
41	0.22641509433962265	0	0	1
42	0.7083333333333334	0	0	1
43	0.14285714285714285	0	0	1
44	1.0	0	1	1
45	1.0	0	1	0
46	0.75	0	0	1
47	0.5833333333333334	0	1	1
48	0.6875	0	1	1
49	0.75	0	1	1
50	0.7777777777777778	0	1	1
51	0.375	0	0	1
52	0.8571428571428571	0	0	1
53	0.8333333333333334	0	1	1
54	0.8888888888888888	0	1	1
55	0.19047619047619047	0	0	1
56	0.36666666666666664	0	0	1
57	0.55	0	0	0
58	0.5	0	0	1
59	0.21428571428571427	0	0	1
60	1.0	0	1	1
61	0.6	0	1	0
62	1.0	0	1	0
63	0.1016949152542373	0	0	1
64	0.6	0	1	0
65	0.15	0	0	1
66	1.0	0	1	1
67	0.75	0	0	1
68	0.07692307692307693	0	1	1
69	0.0	0	0	1
70	0.38235294117647056	0	0	1
71	1.0	0	1	1
72	1.0	0	1	1
73	0.5	0	0	1
74	0.9047619047619048	0	1	1
75	1.0	0	1	1
76	0.09433962264150944	0	0	1
77	0.7272727272727273	0	0	1
78	0.94	0	1	1
79	0.6111111111111112	0	1	0
80	0.9571428571428572	0	1	1
81	1.0	0	1	1
82	0.8571428571428571	0	1	1
83	1.0	0	1	1
84	1.0	0	1	1
85	0.5	0	0	1
86	0.8333333333333334	0	1	1
87	1.0	0	1	0
88	0.7777777777777778	0	0	1
89	0.5	0	1	1
90	0.5555555555555556	0	0	0
91	0.75	0	1	1
92	0.8888888888888888	0	1	0
93	1.0	0	1	0
94	0.8	0	0	1
95	0.3333333333333333	0	1	1
96	0.6666666666666666	0	1	1
97	0.8	0	1	0
98	0.2727272727272727	0	1	1
99	0.6666666666666666	0	0	0
100	0.8333333333333334	0	1	1
101	1.0	0	1	0
102	0.8	0	1	1
103	0.6666666666666666	0	0	1
104	0.6285714285714286	0	1	1
105	0.6	0	0	1
106	0.3125	0	0	1
107	0.7297297297297297	0	0	0
108	0.543859649122807	0	0	1
109	0.1111111111111111	0	0	1
110	0.058823529411764705	0	0	1
111	0.3333333333333333	0	1	1
112	1.0	0	1	0
113	0.8571428571428571	0	1	1
114	0.08695652173913043	0	1	1
115	0.2	0	0	1
116	1.0	0	1	1
117	1.0	0	1	1
118	0.5	0	1	1
119	0.7894736842105263	0	0	0
120	0.04	0	0	1
121	0.2	0	1	1
122	0.0	0	0	1
123	0.3333333333333333	0	0	0
124	0.75	0	1	1
125	0.0	0	0	1
126	0.6666666666666666	0	0	1
127	0.0	0	0	0
128	0.6376811594202898	0	1	1
129	1.0	0	1	1
130	0.75	0	1	0
131	0.75	0	0	1
132	0.7142857142857143	0	0	0
133	0.07142857142857142	0	0	1
134	0.36363636363636365	0	0	0
135	0.5	0	0	0
136	0.7222222222222222	0	0	0
137	0.3448275862068966	0	0	1
138	1.0	0	1	1
139	0.7619047619047619	0	1	1
140	1.0	0	1	0
141	0.8181818181818182	0	1	1
142	1.0	0	1	1
143	1.0	0	1	0
144	1.0	0	1	0
145	1.0	0	1	1
146	1.0	0	1	1
147	0.07692307692307693	0	1	1
148	0.5	0	1	1
149	0.7142857142857143	0	1	1
