action,dataset,predicate,llm,llama3.1:8b,gpt-oss:20b,gpt-4.1-nano-2025-04-14,mistral-small:24b,llama3.1:70b,gemini-2.0-flash,gpt-4.1-mini-2025-04-14,gpt-4o,gpt-4.1-2025-04-14,grok-3-mini,deepseek-chat,gemini-2.5-flash,gpt-5-nano,deepseek-reasoner,gemini-2.5-pro,gpt-5-mini,o3,gpt-5
classification,overall,?A1=A2,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A2,gpt-oss:20b,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A2,gpt-4.1-nano-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,mistral-small:24b,0.0,0.0,1.0,1.0,0.0001,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.8126,0.9999,0.0101,1.0
classification,overall,?A1=A2,llama3.1:70b,0.0,0.0,1.0,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0169,0.0616,1.0,1.0,0.9376,1.0
classification,overall,?A1=A2,gemini-2.0-flash,0.0,0.0,1.0,0.0001,0.0,1.0,0.9729,1.0,1.0,0.9991,1.0,0.9724,0.0,0.0,0.0021,0.4463,0.0,1.0
classification,overall,?A1=A2,gpt-4.1-mini-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0335,1.0,1.0,0.9936,0.8938,1.0,0.5197,0.0,0.0,0.0,0.0229,0.0,0.9991
classification,overall,?A1=A2,gpt-4o,0.0,0.0,0.536,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A2,gpt-4.1-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0085,1.0,1.0,0.1081,0.9999,0.0076,0.0,0.0,0.0,0.0,0.0,0.7602
classification,overall,?A1=A2,grok-3-mini,0.0,0.0,1.0,0.0,0.0,0.0013,0.1256,1.0,0.9106,1.0,1.0,0.119,0.0,0.0,0.0,0.0008,0.0,0.9764
classification,overall,?A1=A2,deepseek-chat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013
classification,overall,?A1=A2,gemini-2.5-flash,0.0,0.0,1.0,0.0,0.0,0.0341,0.5197,1.0,0.9943,0.9002,1.0,1.0,0.0,0.0,0.0,0.0217,0.0,0.9993
classification,overall,?A1=A2,gpt-5-nano,0.0,0.0,1.0,1.0,0.9859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7251,1.0,1.0,0.9999,1.0
classification,overall,?A1=A2,deepseek-reasoner,0.0,0.0,1.0,1.0,0.9467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2989,1.0,1.0,1.0,0.9993,1.0
classification,overall,?A1=A2,gemini-2.5-pro,0.0,0.0,1.0,0.211,0.0,0.9984,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.9975,0.0008,1.0
classification,overall,?A1=A2,gpt-5-mini,0.0,0.0,1.0,0.0002,0.0,0.589,0.9817,1.0,1.0,0.9995,1.0,0.9827,0.0,0.0,0.0032,1.0,0.0,1.0
classification,overall,?A1=A2,o3,0.0,0.0,1.0,0.9918,0.0722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0001,0.001,0.9994,1.0,1.0,1.0
classification,overall,?A1=A2,gpt-5,0.0,0.0,1.0,0.0,0.0,0.0,0.0012,1.0,0.2748,0.0302,0.9991,0.0011,0.0,0.0,0.0,0.0,0.0,1.0
classification,overall,?A1=A3+A4,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-oss:20b,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-4.1-nano-2025-04-14,0.0,0.0,1.0,0.5114,0.729,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,mistral-small:24b,0.0,0.0,0.5114,1.0,0.7283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,llama3.1:70b,0.0,0.0,0.2906,0.2912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,gemini-2.0-flash,0.0,0.0,0.0,0.0,0.0,1.0,0.9381,1.0,0.9874,0.0,0.0136,1.0,0.0,0.0,0.0,0.0,0.0002,0.9998
classification,overall,?A1=A3+A4,gpt-4.1-mini-2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0727,1.0,1.0,0.7686,0.0,0.0001,1.0,0.0,0.0,0.0,0.0,0.0,0.9773
classification,overall,?A1=A3+A4,gpt-4o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1956,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A3+A4,gpt-4.1-2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0157,0.2585,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9022
classification,overall,?A1=A3+A4,grok-3-mini,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,0.0,0.5142,0.0259,0.0,0.9748,1.0
classification,overall,?A1=A3+A4,deepseek-chat,0.0,0.0,0.0,0.0,0.0,0.989,0.9999,1.0,1.0,0.0006,1.0,1.0,0.0,0.0006,0.0,0.0,0.0897,1.0
classification,overall,?A1=A3+A4,gemini-2.5-flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
classification,overall,?A1=A3+A4,gpt-5-nano,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002,1.0,1.0
classification,overall,?A1=A3+A4,deepseek-reasoner,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5142,0.9995,1.0,0.0,1.0,0.0272,0.0,0.9729,1.0
classification,overall,?A1=A3+A4,gemini-2.5-pro,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.9781,1.0,1.0,0.0,0.9769,1.0,0.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-5-mini,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1=A3+A4,o3,0.0,0.0,0.0,0.0,0.0,0.9999,1.0,1.0,1.0,0.0299,0.9221,1.0,0.0,0.0319,0.0001,0.0,1.0,1.0
classification,overall,?A1=A3+A4,gpt-5,0.0,0.0,0.0,0.0,0.0,0.0002,0.0279,1.0,0.1141,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
classification,overall,?A1>A3,llama3.1:8b,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0047,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,gpt-oss:20b,0.0,1.0,1.0,0.9999,0.1414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,gpt-4.1-nano-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0001,0.0,0.0013,0.0,0.6089
classification,overall,?A1>A3,mistral-small:24b,0.0,0.0001,1.0,1.0,0.0,1.0,0.9998,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,llama3.1:70b,0.0,0.8719,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
classification,overall,?A1>A3,gemini-2.0-flash,0.0,0.0,1.0,0.0,0.0,1.0,0.0084,0.3298,0.9995,0.9996,1.0,0.9996,0.0,1.0,0.9999,1.0,0.243,1.0
classification,overall,?A1>A3,gpt-4.1-mini-2025-04-14,0.0,0.0,1.0,0.0002,0.0,0.9929,1.0,0.9725,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9597,1.0
classification,overall,?A1>A3,gpt-4o,0.0,0.0,1.0,0.0,0.0,0.6911,0.0315,1.0,0.9999,0.9999,1.0,0.9999,0.0,1.0,1.0,1.0,0.4182,1.0
classification,overall,?A1>A3,gpt-4.1-2025-04-14,0.0,0.0,1.0,0.0,0.0,0.0007,0.0,0.0001,1.0,0.5603,1.0,0.5605,0.0,0.9996,0.738,1.0,0.0,1.0
classification,overall,?A1>A3,grok-3-mini,0.0,0.0,1.0,0.0,0.0,0.0005,0.0,0.0001,0.4637,1.0,1.0,0.5122,0.0,0.9995,0.6978,1.0,0.0,1.0
classification,overall,?A1>A3,deepseek-chat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
