QuestionID	JaccardSimilarity	IsEmptySet	BinaryEqual	B_Intersected_C_EmptyCount
0	0.0	0	0	0
1	1.0	0	1	0
2	0.125	0	0	0
3	0.631578947368421	0	0	0
4	0.46153846153846156	0	0	0
5	0.2647058823529412	0	0	0
6	1.0	0	1	0
7	1.0	0	1	0
8	1.0	0	1	0
9	0.0	0	0	0
10	1.0	0	1	0
11	1.0	0	1	0
12	1.0	0	1	0
13	0.0	0	0	0
14	1.0	0	1	0
15	1.0	0	1	0
16	0.0	0	0	0
17	1.0	0	1	0
18	0.3	0	0	0
19	1.0	0	1	0
20	0.0	1	1	0
21	1.0	0	1	0
22	0.5833333333333334	0	0	0
23	1.0	0	1	0
24	0.6666666666666666	0	0	0
25	0.4117647058823529	0	0	0
26	1.0	0	1	0
27	0.71875	0	0	0
28	0.8	0	0	0
29	0.023809523809523808	0	0	0
30	0.05	0	0	0
31	0.6153846153846154	0	0	0
32	1.0	0	1	0
33	1.0	0	1	0
34	1.0	0	1	0
35	1.0	0	1	0
36	0.3333333333333333	0	0	0
37	1.0	0	1	0
38	0.9	0	0	0
39	1.0	0	1	0
40	0.6896551724137931	0	0	0
41	0.0	0	0	0
42	0.6666666666666666	0	0	0
43	0.06227106227106227	0	0	0
44	1.0	0	1	0
45	0.9545454545454546	0	0	0
46	0.0	0	0	0
47	0.002331002331002331	0	0	0
48	1.0	0	1	0
49	0.0	1	1	0
50	1.0	0	1	0
51	1.0	0	1	0
52	0.0	1	1	0
53	1.0	0	1	0
54	0.0	1	1	0
55	1.0	0	1	0
56	0.0	1	1	0
57	0.0	0	0	0
58	1.0	0	1	0
59	1.0	0	1	0
60	1.0	0	1	0
61	1.0	0	1	0
62	0.5	0	0	0
63	0.009259259259259259	0	0	0
64	0.0	1	1	0
65	0.35294117647058826	0	0	0
66	1.0	0	1	0
67	0.02127659574468085	0	0	0
68	0.0	1	1	0
69	0.29411764705882354	0	0	0
70	1.0	0	1	0
71	0.14285714285714285	0	0	0
72	0.0	0	0	0
73	1.0	0	1	0
74	0.64	0	0	0
75	1.0	0	1	0
76	1.0	0	1	0
77	1.0	0	1	0
78	0.5	0	0	0
79	0.6666666666666666	0	0	0
80	0.0	1	1	0
81	0.0	0	0	0
82	1.0	0	1	0
83	0.0	0	0	0
84	1.0	0	1	0
85	0.72	0	0	0
86	0.0	1	1	0
87	0.0	0	0	0
88	0.027777777777777776	0	0	0
89	0.0	0	0	0
90	0.0	0	0	0
91	0.23170731707317074	0	0	0
92	0.0	0	0	0
93	0.5377358490566038	0	0	0
94	0.0	0	0	0
95	1.0	0	1	0
96	1.0	0	1	0
97	0.0	0	0	0
98	0.0	0	0	0
99	1.0	0	1	0
100	0.0	1	1	0
101	0.5	0	0	0
102	0.8181818181818182	0	0	0
103	0.13924050632911392	0	0	0
104	0.21518987341772153	0	0	0
105	1.0	0	1	0
106	0.5	0	0	0
107	0.002207505518763797	0	0	0
108	0.9047619047619048	0	0	0
109	1.0	0	1	0
110	1.0	0	1	0
111	0.3076923076923077	0	0	0
112	0.0	0	0	0
113	0.9	0	0	0
114	0.0	0	0	0
115	0.0	0	0	0
116	1.0	0	1	0
117	0.3333333333333333	0	0	0
118	0.0	1	1	0
119	0.6666666666666666	0	0	0
120	0.0	0	0	0
121	1.0	0	1	0
122	0.012269938650306749	0	0	0
123	0.0	1	1	0
124	0.42857142857142855	0	0	0
125	0.0	1	1	0
126	0.75	0	0	0
127	0.47368421052631576	0	0	0
128	0.0	0	0	0
129	0.0	0	0	0
130	0.0	0	0	0
131	0.0	0	0	0
132	0.2222222222222222	0	0	0
133	0.0	0	0	0
134	1.0	0	1	0
135	1.0	0	1	0
136	1.0	0	1	0
137	0.09701492537313433	0	0	0
138	1.0	0	1	0
139	1.0	0	1	0
140	0.0	1	1	0
141	0.0	0	0	0
142	0.0	0	0	0
143	0.26666666666666666	0	0	0
144	0.018867924528301886	0	0	0
145	0.0	0	0	0
146	0.9357798165137615	0	0	0
147	0.19444444444444445	0	0	0
148	0.6	0	0	0
149	0.21568627450980393	0	0	0
