action,dataset,llm,n_total,n_answered,idk_rate,?A1=A2,?A1=A3+A4,?A1>A3,?A1>A4,?A3∅A4,?A4=A1|3,J(A1-A2),J(A1-A34),J(A3-A4),J(A4-A1|3)
classification,LC-QuAD,deepseek-chat,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,deepseek-reasoner,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gemini-2.0-flash,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gemini-2.5-flash,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gemini-2.5-pro,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-4.1-2025-04-14,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-4.1-mini-2025-04-14,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-4.1-nano-2025-04-14,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-4o,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-5,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-5-mini,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-5-nano,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,gpt-oss:20b,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,grok-3-mini,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,llama3.1:70b,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,llama3.1:8b,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,mistral-small:24b,150,0,1.0,,,,,,,,,,
classification,LC-QuAD,o3,150,0,1.0,,,,,,,,,,
classification,qawiki,deepseek-chat,150,72,0.52,0.9861,0.8889,0.9722,1.0,0.9306,0.8472,0.9969,0.9959,0.0243,0.9536
classification,qawiki,deepseek-reasoner,150,47,0.6867,0.9149,0.8936,0.5957,0.9149,1.0,0.8936,0.9626,0.9298,0.0,0.9149
classification,qawiki,gemini-2.0-flash,150,0,1.0,,,,,,,,,,
classification,qawiki,gemini-2.5-flash,150,0,1.0,,,,,,,,,,
classification,qawiki,gemini-2.5-pro,150,0,1.0,,,,,,,,,,
classification,qawiki,gpt-4.1-2025-04-14,150,114,0.24,0.9123,0.8947,0.4561,0.9912,0.9825,0.8772,0.9862,0.9712,0.0092,0.9655
classification,qawiki,gpt-4.1-mini-2025-04-14,150,93,0.38,0.871,0.8387,0.3763,0.9247,0.9892,0.8387,0.9626,0.9222,0.0004,0.9208
classification,qawiki,gpt-4.1-nano-2025-04-14,150,0,1.0,,,,,,,,,,
classification,qawiki,gpt-4o,150,0,1.0,,,,,,,,,,
classification,qawiki,gpt-5,150,0,1.0,,,,,,,,,,
classification,qawiki,gpt-5-mini,150,0,1.0,,,,,,,,,,
classification,qawiki,gpt-5-nano,150,0,1.0,,,,,,,,,,
classification,qawiki,gpt-oss:20b,150,0,1.0,,,,,,,,,,
classification,qawiki,grok-3-mini,150,0,1.0,,,,,,,,,,
classification,qawiki,llama3.1:70b,150,0,1.0,,,,,,,,,,
classification,qawiki,llama3.1:8b,150,0,1.0,,,,,,,,,,
classification,qawiki,mistral-small:24b,150,0,1.0,,,,,,,,,,
classification,qawiki,o3,150,0,1.0,,,,,,,,,,
classification,spinach,deepseek-chat,150,81,0.46,0.9506,0.9259,0.6543,0.9877,0.9383,0.8765,0.9918,0.9915,0.0142,0.9559
classification,spinach,deepseek-reasoner,150,72,0.52,0.9306,0.875,0.625,0.8889,1.0,0.875,0.975,0.9156,0.0,0.8941
classification,spinach,gemini-2.0-flash,150,0,1.0,,,,,,,,,,
classification,spinach,gemini-2.5-flash,150,0,1.0,,,,,,,,,,
classification,spinach,gemini-2.5-pro,150,0,1.0,,,,,,,,,,
classification,spinach,gpt-4.1-2025-04-14,150,118,0.2133,0.9237,0.8983,0.661,0.9915,0.9746,0.8814,0.978,0.9845,0.0033,0.9807
classification,spinach,gpt-4.1-mini-2025-04-14,150,91,0.3933,0.9341,0.8791,0.6484,0.9451,0.967,0.8571,0.9851,0.9539,0.0075,0.932
classification,spinach,gpt-4.1-nano-2025-04-14,150,0,1.0,,,,,,,,,,
classification,spinach,gpt-4o,150,48,0.68,0.9375,0.9167,0.9792,1.0,0.9792,0.8958,0.9848,0.9827,0.0031,0.9682
classification,spinach,gpt-5,150,0,1.0,,,,,,,,,,
classification,spinach,gpt-5-mini,150,0,1.0,,,,,,,,,,
classification,spinach,gpt-5-nano,150,0,1.0,,,,,,,,,,
classification,spinach,gpt-oss:20b,150,0,1.0,,,,,,,,,,
classification,spinach,grok-3-mini,150,0,1.0,,,,,,,,,,
classification,spinach,llama3.1:70b,150,0,1.0,,,,,,,,,,
classification,spinach,llama3.1:8b,150,0,1.0,,,,,,,,,,
classification,spinach,mistral-small:24b,150,0,1.0,,,,,,,,,,
classification,spinach,o3,150,117,0.22,0.8034,0.8547,0.5385,0.9145,0.9915,0.8547,0.9522,0.9301,0.0004,0.9129
classification,synthetic,deepseek-chat,150,122,0.1867,0.9426,0.8607,0.9344,0.9836,0.9836,0.8525,0.9729,0.9741,0.0093,0.962
classification,synthetic,deepseek-reasoner,150,126,0.16,0.7222,0.8968,0.9683,0.9603,0.9762,0.881,0.7819,0.969,0.0218,0.9393
classification,synthetic,gemini-2.0-flash,150,0,1.0,,,,,,,,,,
classification,synthetic,gemini-2.5-flash,150,0,1.0,,,,,,,,,,
classification,synthetic,gemini-2.5-pro,150,0,1.0,,,,,,,,,,
classification,synthetic,gpt-4.1-2025-04-14,150,142,0.0533,0.9085,0.8662,0.6972,0.993,0.9718,0.8521,0.9704,0.97,0.0113,0.9725
classification,synthetic,gpt-4.1-mini-2025-04-14,150,132,0.12,0.8712,0.8788,0.5985,0.9773,0.9697,0.8561,0.961,0.9656,0.0093,0.9558
classification,synthetic,gpt-4.1-nano-2025-04-14,150,2,0.9867,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.3125,0.0,0.0
classification,synthetic,gpt-4o,150,0,1.0,,,,,,,,,,
classification,synthetic,gpt-5,150,0,1.0,,,,,,,,,,
classification,synthetic,gpt-5-mini,150,0,1.0,,,,,,,,,,
classification,synthetic,gpt-5-nano,150,0,1.0,,,,,,,,,,
classification,synthetic,gpt-oss:20b,150,0,1.0,,,,,,,,,,
classification,synthetic,grok-3-mini,150,0,1.0,,,,,,,,,,
classification,synthetic,llama3.1:70b,150,0,1.0,,,,,,,,,,
classification,synthetic,llama3.1:8b,150,0,1.0,,,,,,,,,,
classification,synthetic,mistral-small:24b,150,0,1.0,,,,,,,,,,
classification,synthetic,o3,150,0,1.0,,,,,,,,,,
fixing,LC-QuAD,deepseek-chat,150,117,0.22,0.7521,0.7094,0.9231,0.9231,0.9573,0.6667,0.9018,0.9071,0.0337,0.8704
fixing,LC-QuAD,deepseek-reasoner,150,121,0.1933,0.7603,0.7686,0.9008,0.9504,0.9917,0.7603,0.8982,0.927,0.0002,0.9338
